N	3gram	Propp_Morf_1	Myslijsy
1	по отношению к	4	13
2	в том что	3	13
3	не может быть	9	9
4	тем не менее	4	6
5	с другой стороны	4	5
6	потому что в	1	4
7	и т д	39	4
8	подобно тому как	5	3
9	с точки зрения	2	3
10	в противном случае	1	3
11	с одной стороны	1	3
12	может быть названо	3	3
13	с самого начала	1	3
14	что и в	1	3
15	не более как	1	3
16	мы увидим что	1	3
17	таким образом что	1	2
18	все более и	1	2
19	и может быть	1	2
20	а потому что	1	2
21	в таком случае	1	2
22	бы то ни	3	2
23	к тому что	3	2
24	то это не	1	2
25	могут быть названы	1	2
26	не могут быть	2	2
27	для того чтобы	2	2
28	более и более	1	2
29	бы они ни	1	2
30	они ни были	1	2
31	так как во	1	2
32	как и в	2	2
33	том как эти	1	1
34	же может быть	2	1
35	с другой не	1	1
36	быть приведены в	1	1
37	но так как	1	1
38	это было бы	1	1
39	что в других	1	1
40	но то что	1	1
41	на самом деле	4	1
42	это будет видно	1	1
43	а не по	1	1
44	того или другого	1	1
45	с тех пор	1	1
46	и там где	1	1
47	мы не можем	1	1
48	и в какой	1	1
49	не потому что	1	1
50	в этом отношении	1	1
51	то что в	2	1
52	в собственном смысле	3	1
53	до сих пор	1	1
54	но это не	1	1
55	она может быть	1	1
56	ни одна не	1	1
57	будем в состоянии	1	1
58	что бы то	1	1
59	более или менее	2	1
60	можно заметить что	2	1
61	то ни было	2	1
62	там где есть	1	1
63	же в результате	1	1
64	и не с	1	1
65	в связи с	8	1
66	то ни стало	1	1
67	между тем в	1	1
68	друг на друга	2	1
69	во что бы	1	1
70	и в этой	1	1
71	между собою так	1	1
72	во всяком случае	2	1
73	от того как	1	1
74	ни были разнообразны	1	1
75	и независимо от	1	1
76	со стороны их	2	1
77	что несмотря на	1	1
78	и таким образом	2	1
79	но оно имеет	1	1
80	могут быть приведены	1	1
81	ниже мы постараемся	1	1
82	таким образом мы	5	1
83	в то время	3	1
84	если же в	1	1
85	это значит что	1	1
86	заметить что при	1	1
87	после того как	1	1
88	на этом основании	1	1
89	о том что	1	1
90	тем и другим	2	1
91	хотя оно как	1	1
92	но все же	3	1
93	на то что	2	1
94	которые могут быть	1	1
95	в первом случае	3	1
96	друг за другом	2	1
97	это нисколько не	1	1
98	точно так же	1	1
99	т д в	2	1
100	могло бы быть	1	1
101	все органические существа	1	1
