N	4gram	Vygotskiy__3	EvropaiC
1	до сих пор не	1	4
2	в том случае если	1	4
3	которых мы говорили выше	1	4
4	о которых мы говорили	2	4
5	заключается в том что	4	3
6	что до сих пор	1	2
7	одно и то же	2	1
8	мы уже говорили что	1	1
9	в том что оно	1	1
10	только в том случае	1	1
11	то для того чтобы	1	1
12	в том что как	1	1
13	в целом ряде случаев	1	1
14	а на самом деле	1	1
15	в то время как	2	1
16	не в том что	1	1
17	одной и той же	1	1
18	состоит в том что	1	1
19	как и все прочие	1	1
20	в самом деле если	1	1
21	в том что они	1	1
22	есть не более как	1	1
23	вступить в противоречие с	1	1
24	образом мы видим что	2	1
25	таким образом мы видим	1	1
26	указание на то что	1	1
