N	3gram	Berdyaev_O_1	Vladivir
1	у вл соловьева	1	13
2	о том что	1	7
3	в том что	1	7
4	и то что	1	4
5	на то что	1	4
6	том что в	1	3
7	не может быть	2	3
8	н к михайловского	1	2
9	он не только	1	2
10	у него не	2	2
11	все это было	1	2
12	во всяком случае	1	2
13	был для него	1	2
14	что у него	2	2
15	для того чтобы	3	2
16	да и то	1	1
17	и он был	1	1
18	потому что в	1	1
19	в самом деле	1	1
20	так и не	1	1
21	людей но и	1	1
22	и не может	1	1
23	и действительно в	1	1
24	было для него	1	1
25	как это часто	1	1
26	он никогда не	1	1
27	что он был	1	1
28	у него в	5	1
29	того ни с	1	1
30	смысле этого слова	1	1
31	в обычном смысле	1	1
32	и ни с	1	1
33	и в этом	2	1
34	ни с того	1	1
35	совсем не было	1	1
36	с того ни	1	1
37	в силу чего	1	1
38	и в том	1	1
39	и не очень	1	1
40	и когда он	1	1
41	ни с сего	1	1
42	и сразу же	1	1
43	даже и в	1	1
44	и все это	1	1
45	с тем что	2	1
46	и никогда не	2	1
47	он говорит в	1	1
48	о человеке и	5	1
49	в его жизни	1	1
50	но он никогда	1	1
51	в этом отношении	1	1
