N	3gram	Voloshinov_1	VelikijI
1	то что мы	1	3
2	а между тем	1	2
3	все тот же	2	2
4	но и в	1	2
5	том что он	2	2
6	не в силах	2	2
7	в вопросе о	1	2
8	в том что	4	2
9	и т д	1	2
10	сравнению с ними	1	1
11	но все же	1	1
12	так ли это?	1	1
13	то ни стало	1	1
14	природы в человеке	1	1
15	во что бы	1	1
16	есть прежде всего	1	1
17	хотя бы и	2	1
18	бы то ни	1	1
19	по крайней мере	1	1
20	что бы то	1	1
21	связать себя с	1	1
22	что он был	1	1
23	тому что все	1	1
24	потому что оно	1	1
25	не могут быть	3	1
26	как бы в	1	1
27	на этом пути	1	1
28	по сравнению с	1	1
29	раз и навсегда	1	1
30	так и в	2	1
31	и в вопросе	1	1
32	в жизни и	1	1
