N	2gram	Berdyaev_M_1	VrazhdaK
1	в бесах	2	10
2	не только	29	9
3	и достоевского	2	9
4	достоевского с	2	9
5	в этом	20	8
6	и в	28	8
7	достоевский в	5	8
8	и что	2	8
9	достоевский и	3	8
10	достоевского в	9	7
11	достоевского и	10	7
12	но и	25	7
13	и все	10	7
14	то что	5	7
15	что в	10	7
16	все же	2	6
17	но в	7	6
18	в нем	13	6
19	как и	5	6
20	в котором	8	6
21	и с	3	6
22	о нем	2	6
23	к достоевскому	8	6
24	в начале	2	6
25	и даже	1	6
26	– это	1	6
27	об этом	1	5
28	в то	2	5
29	между тем	1	5
30	у него	17	5
31	не было	18	5
32	в россии	2	5
33	и не	11	5
34	в ней	15	4
35	что он	10	4
36	в истории	2	4
37	целый ряд	1	4
38	в россию	1	4
39	что достоевский	4	4
40	это не	5	4
41	в дневнике	2	4
42	все это	6	4
43	в виду	2	4
44	с ним	2	4
45	о том	2	4
46	для нас	3	4
47	у достоевского	42	4
48	уже в	4	4
49	отцов и	1	4
50	может быть	30	4
51	достоевского не	4	4
52	подпольного человека	7	4
53	он считал	1	4
54	как бы	2	4
55	в своих	1	4
56	так же	1	4
57	одним из	2	3
58	из подполья	10	3
59	который был	2	3
60	я не	1	3
61	он был	14	3
62	с его	3	3
63	в своем	10	3
64	и как	2	3
65	ставрогин –	1	3
66	в этот	2	3
67	его в	3	3
68	он не	24	3
69	том что	3	3
70	но он	9	3
71	что есть	5	3
72	сам достоевский	3	3
73	в русской	1	3
74	достоевский не	6	3
75	и его	9	3
76	человека в	13	3
77	и о	1	3
78	достоевского к	5	3
79	достоевского о	2	3
80	и во	2	3
81	в его	9	3
82	в том	6	3
83	давно уже	1	3
84	и у	2	3
85	в конце	7	3
86	тем что	4	3
87	относился к	1	3
88	достоевского на	1	3
89	о себе	3	3
90	эти слова	2	3
91	наряду с	1	3
92	имел в	1	3
93	я хотел	2	3
94	мысль на	1	3
95	т е	2	3
96	ставрогина и	1	3
97	к этому	2	3
98	отношения к	4	2
99	и то	1	2
100	двух великих	1	2
101	петра верховенского	1	2
102	достоевского –	9	2
103	и он	12	2
104	он сам	6	2
105	ответ на	1	2
106	в эти	1	2
107	он пишет	1	2
108	и достоевский	12	2
109	человека с	2	2
110	в той	2	2
111	его на	1	2
112	ставрогина с	1	2
113	в этой	6	2
114	в себе	7	2
115	чувств и	1	2
116	после этого	1	2
117	в нашей	1	2
118	в мире	10	2
119	об этой	1	2
120	достоевского он	7	2
121	в них	4	2
122	рядом с	1	2
123	не мог	3	2
124	во время	1	2
125	точки зрения	4	2
126	в своей	15	2
127	и ее	1	2
128	достоевский всегда	1	2
129	место в	2	2
130	не менее	1	2
131	никогда не	14	2
132	в момент	3	2
133	к себе	1	2
134	великих писателей	2	2
135	его с	2	2
136	на это	1	2
137	время он	1	2
138	и это	12	2
139	же не	1	2
140	так в	1	2
141	еще не	1	2
