N	3gram	Berdyaev_N_1	Mirosoze
1	не может быть	4	17
2	о человеке и	1	6
3	вместе с тем	2	5
4	человеке и его	1	5
5	а не в	1	4
6	но и в	1	4
7	и вместе с	1	4
8	это и есть	1	4
9	заключает в себе	1	3
10	испытание человеческой свободы	1	3
11	то нет и	1	3
12	это значит что	1	3
13	он не может	2	2
14	до сих пор	1	2
15	и не может	1	2
16	в свою противоположность	1	2
17	смысле в каком	1	2
18	нет и человека	1	2
19	в том смысле	1	2
20	то время как	1	2
21	не только в	1	2
22	глубочайшем смысле слова	1	2
23	как будто бы	1	2
24	не могут быть	1	2
25	это не значит	2	2
26	в нем не	1	2
27	переходит в свою	1	2
28	в глубочайшем смысле	1	2
29	в этом он	1	2
30	в то время	1	2
31	в высшей степени	6	2
32	в платоновском смысле	1	1
33	а не к	1	1
34	новой истории в	5	1
35	как формальное право	1	1
36	в ней нет	1	1
37	никогда не было	2	1
38	движения духа в	1	1
39	в конце новой	1	1
40	но она не	1	1
41	смысле слова а	1	1
42	потому что вообще	1	1
43	человек а не	1	1
44	всемирной истории и	1	1
45	и учителей церкви	1	1
46	потому что не	1	1
47	не были еще	1	1
48	том случае если	1	1
49	в зависимости от	1	1
50	в отличие от	1	1
51	в наше время	3	1
52	в принятии истины	1	1
53	и это есть	1	1
54	не знает что	1	1
55	ней нет ничего	1	1
56	нет у него	1	1
57	в нем нет	2	1
58	если есть бог	1	1
59	в том случае	1	1
60	мы говорим что	1	1
61	возврат к старому	1	1
62	обращение к богу	1	1
63	не было такого	3	1
64	том смысле в	1	1
65	вообще не существует	1	1
66	не может уже	2	1
67	слова а не	1	1
68	в значительной степени	1	1
69	в новой истории	6	1
70	по природе своей	1	1
71	не в том	1	1
72	а во имя	1	1
73	во всяком случае	1	1
74	лишь в том	1	1
75	когда мы говорим	2	1
76	становится в центре	1	1
77	человека не может	1	1
78	на протяжении всей	1	1
79	что совершается в	1	1
80	должна быть признана	1	1
81	если нет бога	1	1
82	человека во имя	2	1
83	движения в глубину	1	1
84	о том что	1	1
85	про себя а	1	1
86	обречен на гибель	1	1
87	есть прежде всего	1	1
88	во имя свободы	3	1
89	не значит что	3	1
90	и возвращается к	1	1
91	конце новой истории	1	1
92	можно было бы	1	1
93	он не хотел	1	1
94	если нет у	1	1
95	в том что	1	1
96	выходит за пределы	1	1
97	добро и зло	1	1
98	она не может	2	1
99	до последних пределов	1	1
100	не во имя	4	1
101	есть вместе с	1	1
102	уже нет в	1	1
