N	2gram	Vinokur_Ku_1	Retstnzi
1	не может	7	4
2	и в	24	3
3	если в	2	2
4	общения и	2	2
5	социального общения	3	2
6	один из	4	2
7	и больше	1	1
8	то же	8	1
9	не из	1	1
10	в системе	3	1
11	в ней	6	1
12	понятно не	1	1
13	может быть	13	1
14	из этих	4	1
15	и не	12	1
16	в его	12	1
17	тех же	1	1
18	во второй	1	1
19	от контекста	1	1
20	в лингвистике	3	1
21	может и	1	1
22	связи с	7	1
23	конечно и	1	1
24	на месте	2	1
25	все права	1	1
26	бы на	2	1
27	не только	10	1
28	с точки	9	1
29	в каждом	2	1
30	не менее	7	1
31	культурной истории	2	1
32	для него	1	1
33	ни один	1	1
34	если бы	9	1
35	и лингвистики	1	1
36	языка было	1	1
37	поэтики и	1	1
38	тому что	3	1
39	и социальной	2	1
40	язык как	9	1
41	удовлетворить не	1	1
42	можно и	1	1
43	к тому	5	1
44	в особенности	3	1
45	несмотря на	3	1
46	смысл и	2	1
47	и все	2	1
48	в то	2	1
49	бы в	7	1
50	речь и	1	1
51	так называемая	2	1
52	языка как	5	1
53	но и	6	1
54	точки зрения	14	1
55	и на	4	1
56	истории русского	1	1
57	и должно	2	1
58	на примере	2	1
59	в языке	8	1
60	же время	2	1
61	в анализе	1	1
62	по своим	2	1
63	а не	8	1
