N	3gram	Losev_Vlad_1	Stilisti
1	в то же	4	9
2	то же время	4	7
3	для того чтобы	2	7
4	и то же	1	4
5	в свою очередь	1	4
6	одно и то	1	4
7	и тем самым	1	3
8	не только в	2	3
9	в конце концов	3	3
10	как мы уже	3	3
11	мы уже видели	1	3
12	о том что	7	2
13	одной и той	1	2
14	отношения к нему	1	2
15	и в то	2	2
16	но в то	1	2
17	что иное как	1	2
18	можно сказать что	2	2
19	в разных местах	1	2
20	смысле этого слова	1	2
21	к тому что	1	2
22	и той же	1	2
23	не что иное	1	2
24	в связи с	1	2
25	вместе с тем	1	2
26	есть не что	1	2
27	в этом отношении	1	2
28	как мы увидим	2	2
29	не может быть	3	2
30	не говоря уже	1	1
31	хотя бы на	1	1
32	нашей воли и	1	1
33	к этому предмету	1	1
34	даже и в	1	1
35	содержит в себе	1	1
36	дает нам возможность	1	1
37	и в этом	1	1
38	не только не	1	1
39	и никогда не	1	1
40	это же самое	1	1
41	с другой стороны	3	1
42	вот уже в	1	1
43	в те времена	5	1
44	и в особенности	1	1
45	как раз и	2	1
46	в том что	7	1
47	не может получить	1	1
48	несмотря на свою	1	1
49	и не может	1	1
50	в дальнейшем мы	1	1
51	в жизни и	1	1
52	мысль о том	1	1
53	мы будем называть	1	1
54	с которой мы	1	1
55	но вот уже	1	1
56	мы увидим ниже	3	1
57	же время и	1	1
58	более или менее	3	1
59	дальнейшем мы будем	1	1
60	уже не только	1	1
61	для нас важнее	1	1
62	как к своему	1	1
63	так впоследствии и	1	1
64	но и его	1	1
65	но и вообще	1	1
66	и уже в	1	1
67	нет и не	1	1
68	в самом деле	1	1
69	которой мы сейчас	1	1
70	на вопросе о	1	1
71	так как в	1	1
72	мы уже знаем	1	1
73	уже видели что	1	1
74	тем не менее	2	1
75	заключать в себе	1	1
76	на этом мы	1	1
77	но даже и	2	1
78	необходимо заметить что	1	1
