N	3gram	Losev_Dial_1	slovoVRo
1	и т п	2	33
2	не может быть	3	15
3	с одной стороны	2	5
4	той или иной	3	5
5	то же время	4	4
6	но все же	1	4
7	в то же	4	4
8	в отношении к	1	4
9	в том что	7	4
10	в той или	1	3
11	с точки зрения	12	3
12	сама по себе	8	3
13	в этом отношении	2	3
14	но в то	1	3
15	может быть очень	1	3
16	одной стороны и	2	3
17	в чем не	1	2
18	более или менее	3	2
19	и в особенности	1	2
20	до сих пор	2	2
21	если она не	2	2
22	может быть и	3	2
23	никогда не может	2	2
24	во всяком случае	2	2
25	сих пор не	1	2
26	ни в чем	2	2
27	в новое время	1	2
28	в связи с	1	2
29	для того чтобы	1	2
30	и т д	19	2
31	в данном языке	1	1
32	в этом его	1	1
33	не стремится к	1	1
34	и может быть	1	1
35	точка зрения на	1	1
36	хотя и не	1	1
37	и не в	1	1
38	в какой мере	1	1
39	в чем же	1	1
40	иметь в виду	3	1
41	и как он	1	1
42	а не с	1	1
43	как один из	2	1
44	и даже не	2	1
45	в этих случаях	1	1
46	бы она ни	1	1
47	то прежде всего	1	1
48	как например в	1	1
49	но все это	2	1
50	с которым они	1	1
51	и в то	2	1
52	до известной степени	1	1
53	сами по себе	1	1
54	значение может иметь	1	1
55	и ни в	2	1
56	как бы она	1	1
57	жизни и в	1	1
58	на то что	4	1
59	самого по себе	2	1
60	она может быть	1	1
61	по себе а	2	1
62	свой смысл и	1	1
63	может и не	2	1
64	а не только	1	1
65	все дальше и	1	1
66	и в них	1	1
67	отношении к нему	1	1
68	что он не	2	1
69	с ним и	1	1
70	бы и не	1	1
71	это не значит	1	1
72	если они не	1	1
73	в последнем случае	1	1
74	те или иные	1	1
75	с другой стороны	4	1
76	в нем есть	6	1
77	не было у	1	1
78	тем не менее	1	1
79	о том что	2	1
80	а в том	1	1
81	во всех этих	1	1
82	друг к другу	2	1
83	с той или	2	1
84	вместе с ним	1	1
85	в нем нет	3	1
86	дальше и дальше	1	1
87	и наконец даже	1	1
88	она ни была	1	1
89	это и не	1	1
90	мы можем сказать	2	1
91	точки зрения так	1	1
92	с самого начала	1	1
93	т д если	1	1
94	не с точки	2	1
95	не может и	3	1
96	тех или иных	1	1
97	и в нем	2	1
98	не только два	1	1
99	в них не	1	1
100	она не может	1	1
101	и с другой	2	1
