N	2gram	Vinokur_St_1	Sovremen
1	таким образом	7	8
2	в результате	3	5
3	в этом	21	5
4	не может	8	5
5	мы не	2	4
6	в каждом	3	4
7	как бы	4	4
8	все эти	5	3
9	в наших	2	3
10	в целом	5	3
11	на две	1	3
12	зависимости от	1	3
13	в развитии	1	3
14	состоит из	1	3
15	каждом отдельном	1	3
16	в зависимости	1	3
17	из двух	3	3
18	отдельном случае	1	3
19	из этих	6	2
20	а на	3	2
21	как известно	1	2
22	у нас	11	2
23	это за	1	2
24	в одном	1	2
25	все же	8	2
26	и в	44	2
27	но в	10	2
28	этих двух	3	2
29	же это	3	2
30	что же	6	2
31	в третьем	1	2
32	у каждого	1	2
33	на этот	3	2
34	все это	5	2
35	в первом	2	2
36	с общим	1	2
37	по мнению	3	2
38	каждая из	1	2
39	тот же	1	2
40	если мы	1	2
41	и все	2	2
42	прежде всего	7	2
43	не только	18	2
44	точки зрения	11	2
45	в виде	3	2
46	то же	5	2
47	из которых	1	2
48	не в	12	2
49	с одной	3	2
50	при этом	2	2
51	который как	2	2
52	и не	16	1
53	но очень	1	1
54	как мы	1	1
55	в процессе	1	1
56	и из	1	1
57	может не	2	1
58	которых по	1	1
59	это и	4	1
60	он не	2	1
61	поэтому в	3	1
62	этот раз	2	1
63	только одно	1	1
64	их в	2	1
65	то через	1	1
66	области так	1	1
67	а в	17	1
68	представление о	4	1
69	в то	9	1
70	по его	2	1
71	в своих	2	1
72	как он	1	1
73	но они	1	1
74	со всеми	2	1
75	на другую	1	1
76	в нашем	1	1
77	дело в	6	1
78	должен быть	3	1
79	с другой	9	1
80	в другом	3	1
81	можно назвать	2	1
82	указать на	1	1
83	мы снова	1	1
84	очень часто	3	1
85	но все	4	1
86	как и	9	1
87	в которой	4	1
88	она не	2	1
89	еще не	3	1
90	отметить что	2	1
91	в отдельных	1	1
92	подчеркнуть что	2	1
93	и критика	2	1
94	жизни и	5	1
95	еще более	4	1
96	о том	17	1
97	того же	3	1
98	в очень	3	1
99	и потому	2	1
100	системе и	1	1
101	ничего не	2	1
102	между собой	1	1
103	же время	4	1
104	ясного и	1	1
105	так же	5	1
106	дела не	1	1
107	для нас	7	1
108	всего необходимо	1	1
109	и у	2	1
110	что в	30	1
111	в один	1	1
112	ясно что	10	1
113	утверждает что	1	1
114	чем в	3	1
115	в течение	1	1
116	а не	16	1
117	здесь и	1	1
118	это делает	1	1
119	на них	1	1
120	той же	5	1
121	может быть	15	1
122	он должен	2	1
123	что при	2	1
124	только так	1	1
125	стороны и	1	1
126	мы имеем	2	1
127	тем же	3	1
128	себя самого	1	1
129	которых он	1	1
130	кроме того	1	1
131	но еще	1	1
132	в том	36	1
133	же мы	1	1
134	системы не	1	1
135	это не	8	1
136	уже в	2	1
137	конечно не	2	1
138	в себе	2	1
139	вполне достаточно	1	1
140	одной стороны	2	1
141	он приводит	1	1
142	одна из	1	1
143	к концу	2	1
144	и даже	5	1
145	и от	1	1
146	в этой	11	1
147	но это	6	1
148	у читателя	1	1
149	так как	5	1
150	как видит	1	1
151	у него	2	1
152	этом случае	2	1
153	что это	4	1
154	этот вопрос	4	1
155	он в	1	1
156	только все	1	1
157	же как	3	1
158	не подлежит	1	1
159	в нем	5	1
160	а но	1	1
161	чтобы он	1	1
162	достаточно для	2	1
163	и к	1	1
164	и по	5	1
165	что эта	2	1
166	видит читатель	1	1
167	идет о	2	1
168	и более	2	1
169	в конце	3	1
170	себе очень	1	1
171	они не	1	1
172	на которой	2	1
173	том что	29	1
174	не могут	1	1
175	в своем	2	1
176	которых в	3	1
177	есть такой	1	1
178	на котором	1	1
