N	3gram	Potebnia_M_2	EvropaiC
1	в том что	7	16
2	до сих пор	4	12
3	а между тем	4	7
4	на самом деле	2	7
5	более или менее	8	7
6	мы знаем что	1	7
7	на то что	3	7
8	друг от друга	1	6
9	что касается до	1	6
10	для того чтобы	2	6
11	по сравнению с	1	5
12	в этом случае	1	4
13	том случае если	1	4
14	в том случае	1	4
15	с другой стороны	2	4
16	не может быть	2	4
17	о том что	1	4
18	о которых мы	1	4
19	тем не менее	5	4
20	и того же	6	3
21	одного и того	6	3
22	все же не	1	3
23	в связи с	1	3
24	таким образом в	2	3
25	в том виде	1	2
26	и может быть	2	2
27	не в состоянии	4	2
28	но так как	1	2
29	том что он	1	2
30	что же касается	1	2
31	же касается до	1	2
32	о которой мы	2	2
33	при этом что	1	2
34	бы то ни	1	2
35	большего или меньшего	1	2
36	заключает в себе	4	2
37	то же время	2	2
38	вместе с тем	1	2
39	каждый из этих	1	2
40	то ни было	1	2
41	с одной стороны	3	2
42	друг к другу	1	2
43	во всяком случае	7	2
44	во всех этих	1	2
45	как и в	1	2
46	двух или нескольких	1	2
47	в свою очередь	6	2
48	ничего общего с	1	2
49	но все же	1	2
50	в то же	2	2
51	потому что как	1	1
52	бы не в	1	1
53	не во всех	1	1
54	или лучше сказать	1	1
55	указание на то	1	1
56	не только по	2	1
57	и то же	2	1
58	дело в том	1	1
59	то время как	3	1
60	и для самого	1	1
61	это было бы	1	1
62	что и для	1	1
63	между тем в	1	1
64	только в том	1	1
65	не отличается от	1	1
66	и не может	1	1
67	это не так	1	1
68	бы в состоянии	1	1
69	друг на друга	1	1
70	между тем как	2	1
71	из того что	1	1
72	на каждом шагу	1	1
73	которые не могут	2	1
74	то найдем что	1	1
75	в себе никаких	1	1
76	по крайней мере	5	1
77	одно и то	2	1
78	и в жизни	2	1
79	их отношение к	1	1
80	зависит не от	1	1
81	во-первых потому что	1	1
82	что во всех	1	1
83	может быть не	3	1
84	и при отсутствии	1	1
85	тогда как при	1	1
86	в жизни народов	1	1
87	мы не знаем	1	1
88	этом случае мы	1	1
89	с одной и	1	1
90	состоит в том	1	1
91	и в нашем	1	1
92	в его сознании	1	1
93	во всех отношениях	1	1
94	не в том	2	1
95	столь же мало	1	1
96	что они не	1	1
97	в одно целое	2	1
98	во всем этом	2	1
99	что у него	1	1
100	и той же	1	1
101	что на такой	1	1
102	не совсем в	1	1
103	а в том	1	1
104	том виде в	1	1
105	не есть нечто	1	1
106	в первое время	1	1
107	до тех пор	1	1
108	но с другой	1	1
109	что и сам	1	1
110	в то время	4	1
111	от того же	1	1
112	как бы ни	3	1
113	смысле этого слова	3	1
114	то есть в	1	1
115	есть одно из	1	1
116	с самого начала	2	1
117	при этом не	1	1
118	мысль о том	1	1
119	не менее в	1	1
120	мы видели что	1	1
121	были бы в	1	1
122	которые могут быть	1	1
123	бы при этом	1	1
124	одной и той	1	1
125	но на деле	2	1
126	только тогда когда	2	1
127	и проч но	2	1
128	том что оно	1	1
