N	2gram	Propp_Isto_3	Sotsiolo
1	все это	1	7
2	в том	9	5
3	в этом	17	5
4	и только	1	3
5	более чем	1	3
6	для нас	4	3
7	не только	14	3
8	и в	22	3
9	не в	4	3
10	в его	3	3
11	как только	2	2
12	но и	12	2
13	было бы	3	2
14	она может	1	2
15	должна быть	1	2
16	только в	4	2
17	далеко не	3	2
18	том что	8	2
19	в частности	5	2
20	как будто	2	2
21	то что	7	2
22	главным образом	1	2
23	или даже	1	2
24	и что	2	2
25	еще не	10	2
26	таким образом	10	2
27	это и	1	2
28	отношению к	2	2
29	что в	15	2
30	может быть	11	2
31	как бы	1	2
32	по отношению	2	2
33	то же	6	2
34	друг от	1	1
35	и голова	3	1
36	право на	1	1
37	же не	2	1
38	по себе	1	1
39	даже в	2	1
40	в мире	1	1
41	эти вопросы	1	1
42	в этой	5	1
43	отнюдь не	1	1
44	эти два	3	1
45	даже не	2	1
46	на все	2	1
47	с другой	7	1
48	его в	3	1
49	только для	1	1
50	с ним	1	1
51	это не	6	1
52	на этот	1	1
53	в чем	3	1
54	все же	5	1
55	один из	5	1
56	и есть	2	1
57	перед нами	1	1
58	в то	2	1
59	хотелось бы	2	1
60	только то	1	1
61	тем что	4	1
62	может означать	1	1
63	и как	3	1
64	и затем	1	1
65	на ней	5	1
66	что он	9	1
67	прежде всего	3	1
68	в них	6	1
69	так и	2	1
70	не было	2	1
71	одной стороны	2	1
72	и не	12	1
73	это вовсе	1	1
74	никогда не	3	1
75	он по	2	1
76	мы не	1	1
77	со своими	2	1
78	ничего не	6	1
79	мы еще	3	1
80	и о	2	1
81	все эти	4	1
82	именно на	1	1
83	как и	3	1
84	между собой	1	1
85	или нет	1	1
86	для этого	1	1
87	она должна	1	1
88	что автор	1	1
89	мы должны	7	1
90	в таких	1	1
91	но она	2	1
92	образом в	2	1
93	конечно не	1	1
94	в связи	3	1
95	свойств и	1	1
96	и его	4	1
97	в этих	11	1
98	связи с	6	1
99	от друга	1	1
100	или не	2	1
101	хотя бы	1	1
102	вступает в	3	1
103	в целом	3	1
104	не может	4	1
105	в своей	1	1
106	и должно	1	1
107	а в	6	1
108	него и	2	1
109	что она	5	1
110	можно будет	1	1
111	о том	3	1
112	не дает	2	1
113	и русская	1	1
114	и потому	2	1
115	не успела	1	1
116	в него	2	1
117	в котором	2	1
118	никак не	1	1
119	могут оказаться	1	1
120	столь же	1	1
121	всяком случае	2	1
122	и связь	1	1
123	где же	1	1
124	в силу	2	1
125	мы понимаем	1	1
126	в область	1	1
127	должно было	2	1
128	что это	1	1
129	у которых	1	1
130	вовсе не	2	1
131	с одной	2	1
132	но не	7	1
133	у него	3	1
134	в виде	2	1
135	дело конечно	1	1
136	в данном	4	1
137	между тем	2	1
138	но как	1	1
139	два типа	2	1
140	и по	1	1
141	что на	4	1
142	это происходит	1	1
143	не один	1	1
144	это по	1	1
145	и более	2	1
146	во всяком	2	1
147	что данный	1	1
148	перейти к	2	1
149	они не	4	1
150	это значит	1	1
