N	2gram	Propp_Russ_2	Psycholo
1	в том	22	37
2	и в	29	32
3	и что	5	22
4	том что	22	21
5	потому что	5	21
6	таким образом	6	21
7	то что	5	21
8	что в	22	20
9	может быть	13	18
10	так же	4	18
11	что и	2	17
12	не может	5	17
13	что она	3	16
14	того чтобы	6	14
15	то же	4	13
16	в этом	11	13
17	при этом	6	13
18	для того	6	13
19	что он	1	13
20	в самом	1	12
21	не только	10	12
22	с и	1	12
23	так как	13	12
24	на то	1	11
25	было бы	3	11
26	с тем	6	11
27	в основе	1	11
28	и т	5	10
29	когда он	1	10
30	при помощи	1	10
31	но и	8	10
32	как и	11	10
33	и не	1	10
34	как в	7	9
35	никогда не	2	9
36	что при	2	9
37	тем что	3	9
38	что все	1	9
39	в своих	2	9
40	с таким	1	8
41	что это	3	8
42	не в	4	8
43	не менее	2	8
44	того что	3	8
45	что они	1	7
46	и как	2	7
47	все эти	3	7
48	такой же	1	7
49	и его	1	7
50	как будто	1	7
51	можно было	2	7
52	только в	1	7
53	что для	3	7
54	а не	4	7
55	сказать что	1	7
56	что если	1	6
57	в этой	3	6
58	если бы	1	6
59	о том	9	6
60	все время	1	6
61	тот же	1	6
62	как бы	18	6
63	на самом	2	5
64	показать что	1	5
65	и на	6	5
66	что его	1	5
67	только на	1	5
68	что у	1	5
69	на все	1	5
70	далеко не	4	5
71	все это	10	5
72	в то	2	5
73	в ней	1	5
74	утверждает что	1	5
75	и даже	1	5
76	отнюдь не	1	5
77	как раз	1	5
78	этом отношении	1	5
79	как на	1	5
80	ту же	1	4
81	же как	4	4
82	мы имеем	6	4
83	из которого	1	4
84	с этим	2	4
85	все же	2	4
86	с той	1	4
87	в нем	1	4
88	и по	3	4
89	и с	10	4
90	несмотря на	1	4
91	в данном	6	4
92	которые в	1	4
93	и более	1	4
94	не имеет	3	4
95	того как	2	4
96	ничего не	1	4
97	и до	1	4
98	что на	2	4
99	и для	2	4
100	могут быть	2	4
101	тем не	2	4
102	и это	1	4
103	данном случае	7	4
104	и когда	1	4
105	и поэтому	1	4
106	между тем	3	4
107	из них	4	4
108	а на	9	4
109	как это	4	4
110	указывает что	1	4
111	с этой	2	4
112	и все	4	4
113	а в	9	4
114	совершенно не	2	4
115	из этого	2	4
116	например в	1	3
117	и то	2	3
118	мы не	6	3
119	или же	5	3
120	время как	1	3
121	то это	1	3
122	которое он	1	3
123	во всех	3	3
124	относится к	1	3
125	что именно	1	3
126	но в	5	3
127	та же	2	3
128	он в	1	3
129	главным образом	3	3
130	состоит в	15	3
131	не к	2	3
132	то как	1	3
133	на этом	3	3
134	об этом	2	3
135	показывает что	8	3
136	в своей	2	3
137	это только	1	3
138	в их	2	3
139	представление о	5	3
140	в которых	4	3
141	человеком и	1	3
142	но он	3	3
143	том чтобы	2	3
144	что с	2	3
145	тогда когда	4	3
146	во всем	2	3
147	и другой	3	3
148	само собой	1	3
149	в виду	2	3
150	то время	2	3
151	и совершенно	1	3
152	так и	1	3
153	жизнь и	2	3
154	для этого	5	3
155	образом в	2	3
156	и объяснить	1	3
157	с другой	2	3
158	мы должны	1	3
159	один из	2	3
160	этот вопрос	2	3
161	и так	1	3
162	и ее	2	3
163	так что	4	3
164	и других	3	3
165	в конце	1	3
166	тому как	3	3
167	до конца	3	3
168	того или	1	3
169	по своему	1	3
170	по существу	4	3
171	при всем	1	3
172	только как	2	3
173	в свою	1	3
174	равным образом	1	2
175	этой теории	1	2
176	объясняется и	1	2
177	еще не	6	2
178	с в	8	2
179	в первый	1	2
180	из того	1	2
181	них по	1	2
182	в ее	3	2
183	оно совершенно	1	2
184	но не	5	2
185	это делается	1	2
186	явлений и	1	2
187	значение и	1	2
188	если в	1	2
189	ответ на	1	2
190	очевидно что	2	2
191	отличие от	3	2
192	можно показать	1	2
193	другой материал	1	2
194	что по	4	2
195	но эта	1	2
196	увидим что	1	2
197	моментов в	2	2
198	из самых	1	2
199	в которой	2	2
200	как он	1	2
201	что без	1	2
202	т д	5	2
203	тем и	2	2
204	подобно тому	3	2
205	здесь мы	2	2
206	значение в	1	2
207	с другими	3	2
208	полагает что	2	2
209	это не	5	2
210	должен был	3	2
211	в них	4	2
212	но так	1	2
213	не так	1	2
