N	3gram	Propp_Morf_1	Hudozhes
1	по отношению к	4	10
2	более или менее	2	5
3	с другой стороны	4	5
4	в том что	3	5
5	состоит в том	2	4
6	с точки зрения	2	3
7	одно и то	1	3
8	и то же	1	3
9	тем не менее	4	3
10	можно сказать что	1	3
11	в таком случае	1	2
12	в противном случае	1	2
13	во всех подобных	1	2
14	в коем случае	1	2
15	до известной степени	1	2
16	всех подобных случаях	1	2
17	ни в коем	1	2
18	с одной стороны	1	2
19	приводит к тому	1	2
20	для того чтобы	2	2
21	коем случае не	1	2
22	к тому что	3	2
23	таким образом что	1	1
24	это необходимо для	1	1
25	в е годы	1	1
26	в лес но	1	1
27	и одна ночь	1	1
28	иметь в виду	1	1
29	это было бы	1	1
30	подобно тому как	5	1
31	в настоящее время	3	1
32	в этом случае	8	1
33	может быть определен	1	1
34	в качестве его	1	1
35	том случае если	1	1
36	в таких случаях	2	1
37	в иных случаях	2	1
38	не входит в	1	1
39	бы то ни	3	1
40	лежат в основе	1	1
41	точно так же	1	1
42	во всей своей	1	1
43	в том случае	1	1
44	может быть и	2	1
45	который может быть	1	1
46	то ни было	2	1
47	во втором случае	1	1
48	не могут быть	2	1
49	и в этой	1	1
50	в том или	1	1
51	в связи с	8	1
52	к чему не	2	1
53	может быть названо	3	1
54	а в другом	1	1
55	что несмотря на	1	1
56	в то время	3	1
57	она могла бы	1	1
58	тысяча и одна	1	1
59	в одном случае	1	1
60	на свое место	1	1
61	о том что	1	1
62	тем и другим	2	1
63	ни к чему	2	1
64	мы имеем в	1	1
65	бы они ни	1	1
66	они ни были	1	1
67	в этих случаях	11	1
68	это не форма	1	1
69	с первых же	1	1
70	тех или иных	1	1
71	эти могут быть	1	1
72	дело не в	2	1
73	том что он	1	1
74	не может быть	9	1
75	как и в	2	1
