N	3gram	Tiupa_Hudo_1	VLabPisa
1	и т д	3	15
2	в этом отношении	3	13
3	и т п	8	9
4	в письме к	1	9
5	не может быть	2	8
6	по отношению к	8	7
7	более или менее	1	6
8	то же время	8	5
9	в конечном счете	2	5
10	в то же	8	5
11	в связи с	3	4
12	в том что	6	4
13	о том как	2	3
14	и в то	1	3
15	о том что	9	3
16	к тому что	4	3
17	не может не	1	2
18	одной стороны и	1	2
19	до сих пор	2	2
20	что все эти	1	2
21	можно было бы	4	2
22	в частности к	1	2
23	так и от	2	2
24	с одной стороны	1	2
25	в конце концов	1	2
26	для него в	1	2
27	во всяком случае	1	2
28	этой точки зрения	1	2
29	не только не	1	2
30	реальной действительности как	1	1
31	ф м достоевского	3	1
32	но у него	1	1
33	в самом деле	4	1
34	и по отношению	1	1
35	в этом смысле	1	1
36	что для него	1	1
37	же как и	1	1
38	с этой точки	1	1
39	том как он	1	1
40	как и все	1	1
41	человека а не	1	1
42	именно в этом	1	1
43	в таком случае	1	1
44	сами по себе	1	1
45	что он не	2	1
46	и так или	1	1
47	в его индивидуальной	1	1
48	только в том	2	1
49	т п все	1	1
50	чем иным как	1	1
51	является не чем	1	1
52	сходные с ними	1	1
53	ту или иную	2	1
54	так или иначе	2	1
55	приводит к тому	1	1
56	забывать что в	1	1
57	не чем иным	1	1
58	в данном случае	1	1
59	но в то	3	1
60	не только в	2	1
61	то же самое	1	1
62	имеет ничего общего	1	1
63	как будто бы	1	1
64	каждый из них	1	1
65	не в том	2	1
66	все же не	1	1
67	по наблюдениям в	1	1
68	почти то же	1	1
69	а между тем	1	1
70	на вопрос что	1	1
71	не имеет ничего	1	1
72	того или иного	2	1
73	а в том	1	1
74	между этими двумя	1	1
75	в свою очередь	1	1
76	та или иная	3	1
77	письме к а	1	1
78	ничего общего с	1	1
79	но и для	1	1
80	является для него	1	1
81	пишет например в	1	1
82	в саду и	1	1
83	а порой и	2	1
84	в том смысле	1	1
85	сообщая о том	1	1
86	в себе ту	1	1
87	могло бы быть	1	1
88	не в этом	1	1
89	заключает в себе	1	1
90	не только для	1	1
