N	4gram	Vygotskiy__7	Psycholo
1	заключается в том что	4	4
2	и то и другое	1	3
3	в то время как	2	2
4	все больше и больше	2	2
5	одно и то же	3	2
6	о которых мы говорили	2	2
7	и вместе с тем	2	2
8	мы не можем не	2	2
9	мы могли бы сказать	2	1
10	только в том что	1	1
11	и то же слово	1	1
12	в такой же мере	3	1
13	в какой мере не	2	1
14	в том что они	1	1
15	ни в какой мере	2	1
16	в самом деле если	1	1
17	как мы увидим ниже	1	1
18	в сущности говоря это	1	1
19	с этой точки зрения	4	1
20	одной и той же	2	1
21	состоит в том что	3	1
22	том и заключается что	1	1
23	что то же самое	1	1
24	в том что она	2	1
25	которых мы говорили выше	2	1
26	как это имеет место	1	1
27	в том и заключается	1	1
28	басне стрекоза и муравей	1	1
29	в одной и той	1	1
30	в басне стрекоза и	1	1
31	в той же мере	2	1
