N	4gram	Ircho_Kome_3	StatiiOP
1	в то же время	4	4
2	не имеет ничего общего	1	2
3	в том числе и	1	2
4	и в этом случае	1	2
5	и в самом деле	3	2
6	имеет ничего общего с	1	2
7	для того чтобы не	1	1
8	здесь нет и речи	3	1
9	само собой разумеется что	2	1
10	и в то же	1	1
11	в то время как	2	1
12	время своего пребывания в	1	1
13	до сих пор еще	1	1
14	тем не менее и	1	1
15	до сих пор не	1	1
16	что и в этом	1	1
17	во время своего пребывания	1	1
18	потому что он не	1	1
19	не говоря уже о	1	1
20	и о том что	1	1
