N	3gram	Losev_Vlad_2	Otkroven
1	у него в	3	5
2	для того чтобы	1	3
3	что же это	1	2
4	у него не	1	2
5	не может быть	1	2
6	же это за	1	2
7	хотя и не	2	1
8	совсем не было	1	1
9	не в том	3	1
10	и он был	1	1
11	потому что в	1	1
12	а это было	1	1
13	у него совершенно	1	1
14	свое учение о	1	1
15	у вл соловьева	11	1
16	в самом деле	1	1
17	и в том	1	1
18	он не только	1	1
19	так и не	2	1
20	с вопросом о	1	1
21	у него до	1	1
22	и все же	2	1
23	не было и	1	1
24	во всяком случае	6	1
25	было для него	1	1
26	сам по себе	2	1
27	него до конца	1	1
28	само по себе	2	1
29	после того как	2	1
30	о том что	3	1
31	в этом отношении	1	1
32	ко всему этому	2	1
33	то что в	1	1
34	в этот период	1	1
35	и прежде всего	1	1
36	мужчины и женщины	1	1
37	в том что	9	1
38	на то что	2	1
39	и не в	1	1
40	и то что	5	1
41	он никогда не	2	1
42	что это за	1	1
43	в самом начале	1	1
44	и в его	2	1
