N	2gram	Voloshinov_1	Dialekti
1	и не	8	30
2	и есть	1	19
3	а не	2	18
4	может быть	8	17
5	то что	6	16
6	и в	13	15
7	точки зрения	7	14
8	не имеет	2	14
9	так как	3	14
10	как бы	6	14
11	по себе	1	13
12	и вот	1	11
13	говорить о	3	11
14	не может	8	11
15	и все	3	11
16	в том	2	11
17	в этом	2	11
18	прежде всего	9	11
19	потому что	1	10
20	она есть	1	10
21	с ее	1	10
22	в основе	1	10
23	том что	2	10
24	это и	1	9
25	мы не	4	9
26	то же	4	9
27	было бы	4	9
28	и что	1	9
29	с точки	5	9
30	все это	4	9
31	и пр	7	9
32	в виду	1	9
33	в себе	3	8
34	и ее	2	8
35	не в	3	8
36	и это	1	8
37	иное как	2	8
38	что иное	2	8
39	в чем	2	8
40	и о	1	8
41	не что	2	8
42	не только	6	8
43	как и	3	7
44	или в	1	7
45	что в	3	7
46	и его	12	7
47	только в	6	7
48	теперь мы	1	7
49	что он	1	7
50	что мы	1	7
51	же время	1	6
52	вовсе не	2	6
53	в то	1	6
54	сказать что	1	6
55	если бы	2	6
56	и тем	2	6
57	нет ничего	2	6
58	тем более	1	6
59	и чисто	1	5
60	в вечности	1	5
61	и для	3	5
62	так и	3	5
63	учение о	2	5
64	есть не	2	5
65	таким образом	6	5
66	на то	1	5
67	в нем	2	5
68	утверждаю что	1	5
69	того чтобы	1	5
70	в себя	1	5
71	но если	1	5
72	другими словами	1	5
73	что такое	1	5
74	выйти за	1	5
75	для того	1	5
76	мы имеем	1	5
77	с его	1	5
78	но что	1	5
79	в ней	2	5
80	что она	1	5
81	как же	1	5
82	в своем	1	5
83	бы в	2	4
84	должны быть	1	4
85	что они	2	4
86	так же	2	4
87	лишь как	1	4
88	хотя бы	5	4
89	ничего общего	3	4
90	в одном	3	4
91	еще не	1	4
92	но и	3	4
93	отнюдь не	1	4
94	мы должны	6	4
95	в течение	2	4
96	один из	1	4
97	тому как	1	4
98	с их	1	4
99	с ними	2	4
100	в особенности	1	4
101	в этой	1	4
102	в его	7	4
103	тех или	1	4
104	мы видим	2	4
105	также и	1	4
106	не как	3	4
107	само по	1	4
108	подобно тому	1	4
