N	2gram	Kanaev_Sov_1	Analitik
1	может быть	12	29
2	в том	4	27
3	не может	17	22
4	и не	6	21
5	и в	7	18
6	а не	3	17
7	отнюдь не	3	15
8	не только	4	15
9	не в	3	14
10	в этом	7	13
11	как и	6	13
12	в его	2	13
13	при этом	3	12
14	том что	1	12
15	в себе	3	11
16	но не	1	10
17	то же	3	9
18	в то	1	9
19	а в	4	9
20	есть не	1	8
21	в мире	1	8
22	но в	3	8
23	мы имеем	1	6
24	по отношению	1	6
25	отличие от	2	6
26	в самом	2	6
27	это не	4	6
28	точки зрения	12	6
29	в отличие	2	6
30	той или	1	6
31	должен быть	1	6
32	времени и	2	6
33	же время	1	6
34	только в	1	6
35	или иной	2	6
36	прежде всего	5	6
37	что иное	1	5
38	иное как	1	5
39	в целом	4	5
40	в этой	3	5
41	и его	1	5
42	о том	1	5
43	и т.п	1	5
44	такого рода	2	5
45	как бы	4	5
46	отношению к	1	5
47	что в	2	5
48	того же	1	4
49	не что	1	4
50	все же	3	4
51	с точки	5	4
52	и более	1	4
53	по себе	1	4
54	и соответственно	1	4
55	в области	3	4
56	ни в	1	4
57	могут быть	2	4
58	с ним	1	4
59	в другом	1	4
60	с другой	1	4
61	в конечном	1	4
62	уже не	2	4
63	конечном счете	1	4
64	именно в	1	4
65	вместе с	4	4
66	из которых	2	4
67	не более	1	4
68	ни было	1	4
69	как известно	2	3
70	мере в	1	3
71	для науки	1	3
72	и есть	2	3
73	между двумя	1	3
74	бы то	1	3
75	если в	1	3
76	и к	3	3
77	в нашем	2	3
78	как он	3	3
79	в нем	3	3
80	он не	1	3
81	вследствие этого	1	3
82	таким образом	11	3
83	то ни	2	3
84	не будет	1	3
85	в таком	2	3
86	не могут	2	3
87	оно может	1	3
88	если бы	1	3
89	к нему	1	3
90	с его	1	3
91	еще не	3	3
92	с одной	2	3
93	не случайно	1	3
94	принципиально не	2	3
95	одной стороны	1	3
96	в любом	1	3
97	она может	2	3
98	и все	3	3
99	своего предмета	2	3
100	самом деле	2	2
101	на самом	1	2
102	он может	3	2
103	в первом	3	2
104	иметь место	1	2
105	той же	2	2
106	же мере	1	2
107	между собой	3	2
108	данном случае	1	2
109	то он	1	2
110	нет и	4	2
111	в которой	2	2
112	все эти	5	2
113	из этих	2	2
114	и до	1	2
115	на его	2	2
116	какой бы	1	2
117	и по	2	2
118	на этом	2	2
119	из них	4	2
120	вовсе не	1	2
121	так как	4	2
122	несмотря на	1	2
123	для чего	1	2
124	жизни но	1	2
125	такой же	2	2
126	вопрос о	4	2
127	которые в	1	2
128	свое время	1	2
129	в процессе	1	2
130	только не	1	2
131	никогда не	1	2
132	из четырех	2	2
133	ничто не	1	2
134	отличается от	3	2
135	же самое	2	2
136	как мы	2	2
137	роль в	2	2
138	одного из	1	2
139	еще в	1	2
140	должно быть	1	2
141	и та	1	2
142	целостность и	1	2
143	ним и	1	2
144	может иметь	2	2
145	один из	1	2
146	ли он	1	2
147	в начале	1	2
148	его и	1	2
149	себе в	1	2
150	сами по	1	2
151	случае не	1	2
152	было бы	3	2
153	и составляет	1	2
154	и потому	3	2
155	в данном	1	2
