N	2gram	Bakhtin_sl_2	OGranits
1	и в	39	13
2	и его	33	12
3	прежде всего	8	9
4	может быть	37	8
5	не может	20	8
6	и не	22	8
7	и т.п	2	7
8	в его	7	7
9	и их	5	7
10	точки зрения	8	7
11	только в	5	6
12	как бы	7	6
13	не только	24	6
14	то что	2	6
15	таким образом	8	6
16	языка и	9	5
17	все же	6	5
18	и наконец	5	5
19	в поэзии	2	5
20	с точки	3	5
21	в процессе	13	5
22	хотя бы	3	5
23	мы не	2	4
24	но мы	2	4
25	слов и	3	4
26	на фоне	4	4
27	но в	6	4
28	мы можем	1	4
29	то же	4	4
30	лишь в	3	4
31	в сознании	1	4
32	в своей	1	4
33	все это	16	4
34	только и	2	4
35	в двух	1	4
36	не является	1	4
37	материала в	2	4
38	в каждом	1	4
39	стилистических форм	1	3
40	в пределах	13	3
41	так и	15	3
42	говорить о	3	3
43	в их	2	3
44	по отношению	4	3
45	за пределы	2	3
46	с этим	2	3
47	в себе	2	3
48	к единству	1	3
49	языка как	7	3
50	в одном	2	3
51	так как	4	3
52	одно и	1	3
53	материала и	3	3
54	но и	21	3
55	слово в	11	3
56	как и	6	3
57	и уже	1	3
58	точку зрения	3	3
59	не в	9	3
60	да и	1	3
61	и для	5	3
62	никогда не	7	3
63	и все	5	3
64	превращается в	1	3
65	отношению к	4	3
66	не столько	3	3
67	что в	3	3
68	и наиболее	1	2
69	смысле слова	1	2
70	и др	4	2
71	зависимости от	4	2
72	только его	1	2
73	и может	1	2
74	роль в	2	2
75	которое может	1	2
76	и этот	1	2
77	конечно в	2	2
78	мы уже	2	2
79	те же	2	2
80	есть не	1	2
81	мог бы	1	2
82	человеческой речи	2	2
83	не исчерпывается	1	2
84	языковых форм	1	2
85	и стиль	1	2
86	с самого	1	2
87	и должно	1	2
88	в ней	3	2
89	речи не	2	2
90	а также	3	2
91	в чем	3	2
92	мы понимаем	1	2
93	помимо этого	1	2
94	между тем	3	2
95	нуждается в	2	2
96	в языке	2	2
97	во всей	1	2
98	наконец в	4	2
99	к сожалению	1	2
100	чем же	1	2
101	и следовательно	1	2
102	материалом для	1	2
103	может иметь	3	2
104	его на	1	2
105	как в	13	2
106	в данном	2	2
107	в этом	16	2
108	в высказываниях	1	2
109	в том	5	2
110	двух разных	1	2
111	с ними	5	2
112	или иного	1	2
113	в целом	1	2
114	и тем	1	2
115	все эти	6	2
116	с одной	5	2
117	уже в	2	2
118	в нем	19	2
119	связанные с	4	2
120	при этом	7	2
121	языка но	4	2
122	и социально	1	2
123	для него	7	2
124	в другом	2	2
125	говорить об	1	2
126	вовсе не	10	2
127	в зависимости	4	2
128	тем что	1	2
129	в них	6	2
130	и внутренняя	1	2
131	этой проблемы	1	2
132	в области	2	2
133	литературного языка	12	2
134	с другой	5	2
135	а как	1	2
136	в самом	1	2
137	входит в	4	2
138	того или	1	2
139	может стать	2	2
140	истории языка	1	2
141	одной стороны	5	2
142	материал в	3	2
143	более того	2	2
144	не на	1	2
145	а не	14	2
146	другой стороны	1	2
147	там где	6	2
148	несмотря на	1	2
149	в связи	2	2
150	этот материал	1	2
151	том что	5	2
152	с помощью	4	2
153	и при	2	2
154	разрыв между	3	2
155	языком как	1	2
156	и ее	1	2
157	в отношении	4	2
158	в языковом	2	2
159	но такое	1	2
160	который мы	1	2
161	их внутренней	1	2
162	слова и	8	2
163	не менее	4	2
164	самого начала	1	2
165	об особой	1	2
166	сознания и	1	2
167	наиболее полно	1	2
168	истории литературы	3	2
169	во всем	4	2
170	а в	4	2
171	еще в	1	2
172	приемов но	1	2
173	героя и	5	2
174	и к	6	2
175	могут быть	7	2
176	в своих	1	2
177	поэтического языка	1	2
178	каждое слово	1	2
179	его стилистического	1	1
180	и это	1	1
181	можно говорить	2	1
182	оно может	2	1
183	одним из	2	1
184	также и	2	1
185	xvii века	2	1
186	человека и	3	1
187	слова этот	1	1
188	себя как	1	1
189	в виду	1	1
190	того же	1	1
191	на нем	2	1
192	в некоторых	3	1
193	как известно	1	1
194	в напряженном	1	1
195	науки о	1	1
196	это и	2	1
197	в собственном	3	1
198	и есть	1	1
199	в себя	2	1
200	ту же	3	1
201	включает в	2	1
202	и до	1	1
203	эта социальная	1	1
204	можно лишь	1	1
205	с языком	2	1
206	ведь и	2	1
207	собственном смысле	3	1
208	на том	1	1
209	особенно в	2	1
