N	4gram	Tiupa_Hudo_1	Vvedenie
1	в то же время	5	6
2	той мере в какой	1	5
3	в той мере в	1	5
4	не что иное как	1	4
5	в том отношении что	1	3
6	есть не что иное	1	2
7	и в том отношении	1	2
8	заключается в том что	1	2
9	состоит в том что	4	2
10	в одном и том	1	1
11	одно и то же	3	1
12	в этом втором случае	1	1
13	в той или иной	2	1
14	тем не менее не	1	1
15	одном и том же	1	1
16	с этой точки зрения	1	1
17	мы имеем в виду	3	1
18	в том или ином	1	1
19	не может быть и	1	1
20	по отношению к нему	1	1
21	мы имеем дело с	1	1
22	еще и потому что	1	1
23	то что входит в	1	1
24	точно так же как	1	1
25	бы то ни было	1	1
26	одного и того же	2	1
