N	3gram	Vinokur_Ku_3	PoTuStor
1	с точки зрения	16	6
2	на самом деле	3	4
3	в этом смысле	1	3
4	до сих пор	8	3
5	по крайней мере	1	3
6	во всяком случае	1	3
7	не может быть	3	3
8	и пр и	1	3
9	так же как	1	2
10	в самом деле	11	2
11	не могут быть	2	2
12	о том что	3	2
13	в конечном счете	1	2
14	пр и пр	1	2
15	и в этом	4	2
16	и того же	2	1
17	может повлечь за	1	1
18	одних и тех	1	1
19	форма и содержание	1	1
20	мы имеем в	1	1
21	одного и того	2	1
22	то же самое	1	1
23	может быть совершенно	1	1
24	сих пор еще	3	1
25	коем случае нельзя	1	1
26	ни в коем	1	1
27	крайней мере уже	1	1
28	бы то ни	1	1
29	а может быть	1	1
30	одна на другую	1	1
31	можно было бы	10	1
32	свой смысл и	1	1
33	а то и	1	1
34	все эти понятия	1	1
35	с этой точки	1	1
36	вместе с тем	1	1
37	только для того	1	1
38	и тех же	1	1
39	в коем случае	1	1
40	было до сих	1	1
41	так как он	2	1
42	в данном случае	4	1
43	в классе и	1	1
44	с одной стороны	4	1
45	в связи с	4	1
46	а с другой	3	1
47	но вернемся к	1	1
48	самом деле в	1	1
49	в свое время	2	1
50	в том что	8	1
51	на вопрос о	1	1
52	какое-либо отношение к	1	1
53	этой точки зрения	1	1
54	а вместе с	1	1
55	самом деле есть	1	1
56	мы не можем	1	1
57	на наших глазах	1	1
58	так и в	3	1
59	и прежде всего	1	1
60	на другую и	1	1
61	есть прежде всего	1	1
62	в том смысле	1	1
63	если б не	1	1
64	быть не может	1	1
65	для того чтобы	11	1
66	мы увидим что	1	1
67	той или иной	5	1
