1	в отличие от	3	5
2	в этом отношении	2	5
3	к тому же	1	5
4	в том что	9	4
5	с одной стороны	5	4
6	о том что	7	4
7	в том числе	1	3
8	с точки зрения	2	3
9	не может быть	8	3
10	и в частности	1	2
11	не только в	1	2
12	одной стороны и	1	2
13	на то что	8	2
14	и вместе с	1	2
15	то что я	2	2
16	не удивительно что	1	2
17	в том чтобы	7	2
18	в одном из	2	2
19	как например в	1	2
20	то же самое	2	2
21	том числе и	1	2
22	в самом деле	7	2
23	состоит в том	2	2
24	с другой стороны	5	2
25	подобно тому как	5	2
26	и в самом	2	2
27	не может как	1	1
28	вслед за ним	1	1
29	в области искусства	2	1
30	а также в	1	1
31	может быть в	1	1
32	только в том	3	1
33	вместе с ними	1	1
34	изучалось переживание зрителя	1	1
35	то что в	1	1
36	мы находимся в	1	1
37	и тем не	1	1
38	уже не может	1	1
39	как будто бы	2	1
40	таким расчетом чтобы	2	1
41	хотя и не	2	1
42	что иное как	1	1
43	психологическое исследование искусства	1	1
44	тогда когда оно	1	1
45	и потому не	1	1
46	вызвать эстетическую реакцию	1	1
47	расчетом чтобы вызвать	2	1
48	между искусством и	1	1
49	чтобы вызвать эстетическую	1	1
50	которое может быть	1	1
51	точки зрения искусство	1	1
52	производилось в одном	1	1
53	именно то что	1	1
54	всегда производилось в	1	1
55	и т п	15	1
56	двух направлений либо	1	1
57	так как мы	1	1
58	не что иное	1	1
59	тем не менее	2	1
60	действия художественного произведения	1	1
61	исследование искусства всегда	1	1
62	в связи с	1	1
63	к этой идее	1	1
64	со всеми другими	1	1
65	изучалась психология творца	1	1
66	механизм действия художественного	1	1
67	из двух направлений	1	1
68	едва ли не	1	1
69	сама по себе	2	1
70	выразить то что	1	1
71	с этой точки	4	1
72	направлений либо изучалась	1	1
73	который может быть	1	1
74	вместе с тем	2	1
75	либо изучалось переживание	1	1
76	для того чтобы	5	1
77	самый механизм действия	1	1
78	организованных с таким	1	1
79	я хотел сказать	1	1
80	искусства всегда производилось	1	1
81	и не всегда	1	1
82	как система раздражителей	1	1
83	более или менее	2	1
84	может быть только	1	1
85	весна лето осень	1	1
86	как бы в	1	1
87	потому не может	2	1
88	вопрос о том	1	1
89	переживание зрителя читателя	1	1
90	на самом деле	2	1
91	одном из двух	1	1
92	в свою очередь	1	1
93	в своей основе	1	1
94	ту или иную	1	1
95	и в том	1	1
96	и там где	1	1
97	что я хотел	1	1
98	в конечном счете	3	1
99	либо изучалась психология	1	1
100	с таким расчетом	3	1
101	и то что	1	1
102	мы все время	1	1
103	между тем как	1	1
104	начинается там где	3	1
105	оно в своей	1	1
106	этой точки зрения	5	1
107	в целом ряде	2	1
108	при этом не	2	1
109	это и есть	1	1
110	не только не	3	1
111	в действительности же	1	1
