N	4gram	Losev_Prob_2	Formalny
1	бы то ни было	1	4
2	и не может быть	1	3
3	на самом же деле	1	2
4	и в то же	1	2
5	одним и тем же	1	2
6	и тем не менее	1	1
7	мы имеем в виду	1	1
8	котором мы говорили в	1	1
9	время не может быть	1	1
10	какой бы то ни	1	1
11	в том числе и	2	1
12	один и тот же	2	1
13	но в таком случае	3	1
14	данное время и в	1	1
15	в том или ином	1	1
16	только в связи с	2	1
17	то он был бы	1	1
18	в данное время и	1	1
19	одной и той же	2	1
20	время и в данном	1	1
21	вовсе не потому что	1	1
22	все более и более	1	1
23	о котором мы говорили	1	1
24	не может быть никакого	1	1
25	только один из моментов	1	1
26	и в данном случае	1	1
27	и в данном месте	1	1
28	с нашей точки зрения	1	1
