N	3gram	Losev_Vesc_1	slovoVRo
1	не может быть	6	15
2	с одной стороны	3	5
3	в зависимости от	1	4
4	в то же	1	4
5	в том что	4	4
6	в той или	2	3
7	с точки зрения	3	3
8	сама по себе	3	3
9	в этом отношении	1	3
10	в собственном смысле	2	3
11	одной стороны и	1	3
12	в свою очередь	4	2
13	более или менее	1	2
14	и в особенности	1	2
15	до сих пор	1	2
16	если она не	1	2
17	у него нет	1	2
18	не только в	4	2
19	во всяком случае	2	2
20	в новое время	1	2
21	для того чтобы	2	2
22	отличие его от	1	2
23	и т д	19	2
24	точки зрения и	1	1
25	а следовательно и	1	1
26	и не в	1	1
27	в чем же	3	1
28	хотя бы только	1	1
29	мы уже сказали	1	1
30	и даже не	3	1
31	по самому своему	1	1
32	не может не	1	1
33	и не только	4	1
34	но этот путь	1	1
35	сами по себе	3	1
36	одно и единое	1	1
37	на то что	2	1
38	она может быть	2	1
39	может быть только	3	1
40	по себе а	1	1
41	даже и не	1	1
42	как и вся	1	1
43	в применении к	1	1
44	в себя момент	1	1
45	однако и здесь	1	1
46	и этого мало	1	1
47	в той же	1	1
48	с ним и	1	1
49	и без всякого	2	1
50	общения с ним	2	1
51	из своего внутреннего	1	1
52	это не значит	1	1
53	слов а не	1	1
54	есть не только	2	1
55	с другой стороны	2	1
56	все то что	1	1
57	мы видели что	1	1
58	во-первых все эти	1	1
59	тем не менее	3	1
60	о том что	4	1
61	а в том	1	1
62	один единый и	1	1
63	в нем нет	1	1
64	мы не можем	1	1
65	только одна из	1	1
66	не только не	2	1
67	т д если	1	1
68	нужно сказать что	1	1
69	в пределах самого	1	1
70	мы не знаем	1	1
71	тех или иных	1	1
72	она не может	2	1
73	и с другой	2	1
74	мы еще не	2	1
