N	3gram	Tiupa_Teor_1	Narrotol
1	в том что	8	8
2	с одной стороны	2	7
3	о том что	1	6
4	по отношению к	4	6
5	в том числе	2	6
6	в отличие от	6	5
7	не может быть	4	5
8	можно сказать что	2	4
9	во времени и	1	4
10	в основе своей	1	4
11	той или иной	1	4
12	в данном случае	5	4
13	том числе и	1	4
14	с другой стороны	5	4
15	в то же	5	3
16	бы то ни	1	3
17	обращает на себя	1	3
18	то же время	5	3
19	то ни было	1	3
20	состоит в том	5	3
21	на себя внимание	1	3
22	в свою очередь	2	3
23	тем не менее	3	3
24	и тем самым	2	3
25	подобно тому как	1	2
26	так или иначе	4	2
27	тогда как в	2	2
28	или даже вовсе	1	2
29	вокруг я героя	1	2
30	так и не	4	2
31	значении этого слова	2	2
32	что иное как	1	2
33	кто говорит и	1	2
34	при всей своей	1	2
35	так же как	1	2
36	не что иное	1	2
37	в первом случае	1	2
38	на первый взгляд	1	2
39	того или иного	3	2
40	оказывается всего лишь	1	2
41	в значительной степени	1	2
42	более или менее	2	2
43	то или иное	1	2
44	в конечном счете	6	2
45	по сути дела	1	2
46	в связи с	1	2
47	в известном смысле	1	2
48	художественного высказывания в	1	2
49	в том или	1	2
50	точно так же	1	2
51	с точки зрения	3	2
52	не сводится к	4	2
53	мы имеем дело	2	2
54	в той или	1	2
55	ту или иную	1	2
56	том или ином	1	2
57	присутствия в мире	5	2
58	во всей его	1	1
59	авторской позиции и	1	1
60	это бывает в	1	1
61	уже говорилось выше	1	1
62	следует иметь в	1	1
63	из этих двух	1	1
64	при этом что	1	1
65	или ином отношении	1	1
66	в данный момент	2	1
67	в этом смысле	2	1
68	формах внутренней речи	1	1
69	что в отличие	1	1
70	на две половины	1	1
71	в художественных текстах	1	1
72	так и его	2	1
73	природе суть то	1	1
74	как ценностного центра	1	1
75	далеко не всякий	1	1
76	в этой системе	2	1
77	в его личностности	1	1
78	и в то	1	1
79	что они хотят	1	1
80	представленных в тексте	1	1
81	в мире это	1	1
82	как и в	2	1
83	принципиальное различие между	1	1
84	своей природе суть	1	1
85	в рамках художественного	2	1
86	хотят и свершают	1	1
87	себя в комнате	1	1
88	тех или иных	3	1
89	причастной вненаходимости бахтин	1	1
90	может быть и	2	1
91	облекается в молчание	1	1
92	перерывом во времени	1	1
93	судьба или долг	1	1
94	в системе эпизодов	1	1
95	иметь в виду	1	1
96	и не могло	2	1
97	кадров внутреннего зрения	7	1
98	бахтина облекается в	1	1
99	в организации кадров	1	1
100	в мире на	1	1
101	в силу своей	1	1
102	втором эпизоде в	1	1
103	а с другой	2	1
104	только в присутствии	1	1
105	личностного присутствия в	1	1
106	могли бы быть	1	1
107	и того же	3	1
108	организации кадров внутреннего	1	1
109	до известной степени	2	1
110	то же самое	1	1
111	несут в себе	1	1
112	он ни был	1	1
113	они хотят и	1	1
114	начала и конца	1	1
115	собственно говоря и	1	1
116	по поводу этой	1	1
117	и позволяет говорить	1	1
118	в своем составе	3	1
119	в конце предыдущего	1	1
120	в хх веке	1	1
121	все то что	1	1
122	может выступать в	1	1
123	участок текста характеризующийся	2	1
124	том что в	1	1
125	как это бывает	1	1
126	всех без исключения	3	1
127	говорящего иначе говоря	1	1
128	никогда не бывает	1	1
129	той мере в	1	1
130	себя в другом	1	1
131	в равной степени	3	1
132	одного и того	3	1
133	во втором эпизоде	1	1
134	всего лишь одним	1	1
135	позволяет говорить о	1	1
136	и делает героя	1	1
137	в русской литературе	2	1
138	в маркированном положении	1	1
139	все без исключения	1	1
140	не могло быть	2	1
141	только то что	1	1
142	тексте может быть	1	1
143	литературе нового времени	1	1
144	мере в какой	1	1
145	в данном контексте	1	1
146	в себе самом	1	1
147	у себя в	1	1
148	не только вербальные	1	1
149	содержит в себе	1	1
150	говорит и как	1	1
151	точки зрения не	1	1
152	внутреннего зрения и	1	1
153	не могли бы	1	1
154	тот или иной	2	1
155	и как говорит	1	1
156	есть не что	1	1
157	узком значении этого	1	1
158	по слову бахтина	1	1
159	текста так и	1	1
160	граница между двумя	1	1
161	текста характеризующийся единством	1	1
162	не было и	1	1
163	в тексте может	1	1
164	суть то что	1	1
165	дело в том	1	1
166	друг от друга	1	1
167	мира вокруг я	1	1
168	и является в	1	1
169	единственный в тексте	1	1
170	по своей природе	2	1
171	в соответствии с	2	1
172	состоит в придании	1	1
173	всей его полноте	1	1
174	как уже говорилось	1	1
175	точки зрения и	1	1
176	несет в себе	2	1
177	в рамках которого	2	1
178	в той мере	1	1
179	было и не	1	1
180	имеем дело с	1	1
181	имеем дело не	1	1
182	в литературе нового	1	1
183	а не с	1	1
184	то что они	1	1
185	по крайней мере	1	1
186	в своего рода	1	1
