N	2gram	Tiupa_Vved_1	Problemy
1	и в	13	46
2	чужое слово	1	40
3	то есть	8	40
4	и не	12	27
5	чужого слова	3	23
6	может быть	18	23
7	не может	7	19
8	как бы	4	19
9	в нем	5	17
10	в этом	21	16
11	не только	20	14
12	и т.п	9	14
13	слова в	2	13
14	перед нами	6	12
15	как мы	3	12
16	но и	19	12
17	как и	11	12
18	и на	3	11
19	точки зрения	1	11
20	в одном	1	11
21	а не	15	11
22	в пределах	2	10
23	не в	6	10
24	между ними	1	10
25	и к	2	9
26	в самом	2	9
27	и все	4	9
28	в его	4	9
29	в том	10	9
30	вовсе не	1	9
31	прежде всего	7	9
32	или в	1	8
33	в сущности	1	7
34	еще не	7	7
35	в себе	5	7
36	и с	2	7
37	по себе	2	7
38	как раз	2	7
39	слова и	1	7
40	то же	5	6
41	никогда не	4	6
42	и он	1	6
43	хотя и	7	6
44	но в	6	6
45	к одному	1	6
46	пределах одного	1	6
47	на фоне	2	6
48	что я	1	6
49	но это	3	6
50	и его	5	6
51	на устную	1	6
52	в него	1	6
53	что он	1	6
54	только в	6	6
55	есть в	2	6
56	к себе	1	6
57	все это	1	6
58	в романе	6	6
59	мы увидим	1	6
60	в котором	8	5
61	во всех	2	5
62	по отношению	7	5
63	так сказать	2	5
64	при этом	26	5
65	особенно в	1	5
66	это не	6	5
67	в жизни	4	5
68	в то	4	5
69	в структуре	1	5
70	если же	1	5
71	и сам	1	5
72	о том	5	5
73	же время	3	5
74	к нему	1	5
75	если мы	1	5
76	у него	1	5
77	отношению к	7	5
78	жизни и	7	5
79	например в	2	4
80	самом деле	3	4
81	в их	1	4
82	мы не	4	4
83	на себя	1	4
84	героя и	3	4
85	чужих слов	1	4
86	но не	5	4
87	как в	4	4
88	все же	6	4
89	все эти	1	4
90	он не	3	4
91	людей и	1	4
92	таким образом	4	4
93	и наконец	2	4
94	он и	2	4
95	том что	7	4
96	в этих	3	4
97	своего рода	10	4
98	том же	1	4
99	и время	1	4
100	в процессе	1	4
101	во всем	1	4
102	потому что	5	4
103	в направлении	2	4
104	слова но	2	4
105	здесь не	2	4
106	приводит к	2	4
107	так и	8	4
108	в чужом	1	4
109	по мере	1	4
110	в виду	1	4
111	можно сказать	4	4
112	вся жизнь	1	4
113	уже не	5	4
114	уже в	1	4
115	к ним	2	4
116	мы можем	2	4
117	точек зрения	2	4
118	еще и	1	4
119	до конца	3	4
120	превращается в	1	4
121	себе самому	1	4
122	на границе	1	4
123	да и	1	4
124	и нет	1	4
125	а что	1	4
126	то что	6	4
127	с оглядкой	1	4
128	не знает	1	4
129	что в	3	4
130	но эти	1	4
131	том числе	1	4
