N	3gram	Bakhtin_fo_1	RusskieA
1	в том что	2	18
2	в этот день	1	10
3	в этом случае	1	6
4	в данном случае	1	6
5	для того чтобы	5	6
6	вместе с тем	2	4
7	и в других	4	4
8	так же как	2	4
9	о том что	1	4
10	в отличие от	2	3
11	не может быть	3	3
12	но она не	1	2
13	же как и	2	2
14	может быть только	3	2
15	но вместе с	1	2
16	в этом и	1	2
17	бросается в глаза	1	2
18	в то время	3	2
19	с одной стороны	2	2
20	на другой день	2	2
21	кроме того в	1	2
22	в другом месте	1	1
23	том что в	1	1
24	в одном ряду	1	1
25	в виду что	1	1
26	в тех случаях	1	1
27	одном ряду с	1	1
28	в том же	1	1
29	но все это	1	1
30	по существу не	1	1
31	но и в	2	1
32	как мы увидим	1	1
33	в этом отношении	3	1
34	а как раз	1	1
35	буквальном смысле этого	1	1
36	может быть и	2	1
37	в это время	1	1
38	во всяком случае	1	1
39	смысле этого слова	1	1
40	не входит в	1	1
41	и в этом	1	1
42	во всех этих	1	1
43	то время как	2	1
44	дело в том	2	1
45	этим объясняется и	1	1
46	и в том	1	1
47	все то что	2	1
48	имеет существенного значения	1	1
49	всякой связи с	1	1
50	то увидим что	1	1
51	то же значение	1	1
52	тогда когда они	1	1
53	в свою очередь	1	1
54	к выводу что	1	1
55	не только на	1	1
56	совершенно иной характер	1	1
57	с тем и	1	1
58	или во всяком	1	1
59	не имеет существенного	1	1
60	на третий день	1	1
61	тех случаях когда	1	1
62	как мы уже	8	1
63	мы уже знаем	1	1
64	для нас не	1	1
65	как и в	2	1
