N	2gram	Vygotskiy__7	SlovoVZh
1	делает его	1	2
2	к его	2	2
3	а не	6	2
4	только и	3	1
5	только на	3	1
6	у нас	2	1
7	себе в	5	1
8	слово есть	1	1
9	его и	2	1
10	в процессе	5	1
11	в своей	3	1
12	о чем	4	1
13	может быть	7	1
14	отношению к	5	1
15	на самом	3	1
16	в том	18	1
17	легче всего	1	1
18	по себе	3	1
19	и по	3	1
20	значение и	2	1
21	но сами	1	1
22	и его	12	1
23	не может	11	1
24	для других	15	1
25	образом мы	1	1
26	и делает	2	1
27	выражение и	1	1
28	его значение	2	1
29	как к	3	1
30	в основном	3	1
31	таким образом	23	1
32	свое значение	1	1
33	но это	3	1
34	том же	2	1
35	все они	1	1
36	так и	3	1
37	и для	5	1
38	это же	1	1
39	по отношению	6	1
40	и к	7	1
41	как на	6	1
42	точки зрения	28	1
