N	2gram	Medvedev_V_1	Psycholo
1	в том	15	37
2	и в	26	32
3	и что	1	22
4	то есть	1	21
5	том что	8	21
6	потому что	1	21
7	таким образом	31	21
8	в искусстве	6	21
9	то что	6	21
10	что в	10	20
11	может быть	22	18
12	так же	3	18
13	точки зрения	3	17
14	что и	3	17
15	не может	17	17
16	самом деле	1	16
17	что она	2	16
18	того чтобы	3	14
19	то же	10	13
20	в этом	26	13
21	для того	3	13
22	что он	4	13
23	в самом	4	12
24	заключается в	2	12
25	не только	25	12
26	по себе	2	12
27	на то	1	11
28	было бы	7	11
29	с тем	3	11
30	в основе	1	11
31	и т	23	10
32	когда он	3	10
33	при помощи	3	10
34	но и	10	10
35	как и	7	10
36	и не	19	10
37	как в	1	9
38	никогда не	4	9
39	что при	2	9
40	искусства и	1	9
41	тем что	1	9
42	что все	3	9
43	в своих	2	9
44	не в	6	8
45	не менее	2	8
46	дело с	1	8
47	т п	9	8
48	того что	3	8
49	поэзии и	1	7
50	что они	3	7
51	и как	3	7
52	говорит что	1	7
53	все эти	6	7
54	и его	6	7
55	как будто	1	7
56	к тому	4	7
57	можно было	2	7
58	только в	7	7
59	мы знаем	3	7
60	что для	3	7
61	а не	7	7
62	сказать что	5	7
63	что если	1	6
64	в этой	4	6
65	в художественном	10	6
66	целый ряд	1	6
67	он не	2	6
68	если бы	3	6
69	формы и	2	6
70	о том	10	6
71	и из	1	6
72	как бы	5	6
73	художественное произведение	5	6
74	же самое	2	6
75	художественном произведении	4	5
76	художественного произведения	6	5
77	что его	2	5
78	только на	1	5
79	к искусству	1	5
80	что у	2	5
81	далеко не	2	5
82	сейчас же	1	5
83	все это	10	5
84	в то	6	5
85	в ней	2	5
86	утверждает что	3	5
87	и даже	2	5
88	до сих	1	5
89	вслед за	2	5
90	отнюдь не	3	5
91	он говорит	5	5
92	сих пор	1	5
93	как раз	3	5
94	этом отношении	13	5
95	как на	3	5
96	ту же	2	4
97	же как	2	4
98	сам по	1	4
99	мы имеем	3	4
100	в чем	2	4
101	с этим	3	4
102	все же	5	4
103	в целом	4	4
104	в нем	6	4
105	и по	3	4
106	искусство как	2	4
107	том случае	1	4
108	в жизни	2	4
109	несмотря на	1	4
110	в данном	1	4
111	знаем что	2	4
112	и той	1	4
113	образом и	1	4
114	которые в	2	4
115	тому что	6	4
116	не имеет	1	4
117	того как	1	4
118	но только	1	4
119	в сознании	4	4
120	что на	1	4
121	и для	2	4
122	могут быть	5	4
123	утверждать что	4	4
124	если же	1	4
125	и это	1	4
126	данном случае	1	4
127	и сам	1	4
128	и поэтому	1	4
129	никак не	1	4
130	между тем	5	4
131	говорит он	1	4
132	что искусство	1	4
133	мы видим	1	4
134	из них	9	4
135	от того	2	4
136	в творчестве	3	4
137	как это	12	4
138	указывает что	1	4
139	материал для	1	4
140	с этой	1	4
141	случае если	1	4
142	и все	1	4
143	а в	3	4
144	совершенно не	1	4
145	жизни и	3	4
146	например в	3	3
147	и то	1	3
148	приходит к	1	3
149	время как	1	3
150	то это	2	3
151	и он	2	3
152	во всех	6	3
153	но как	3	3
154	а только	1	3
155	в общем	2	3
156	относится к	2	3
157	которые не	1	3
158	как говорит	5	3
159	и к	3	3
160	но в	2	3
161	формы в	1	3
162	он в	1	3
163	творчества и	1	3
164	главным образом	7	3
165	в поэзии	1	3
166	не как	1	3
167	то как	1	3
168	евгения онегина	1	3
169	на этом	1	3
170	об этом	9	3
171	это было	1	3
172	к области	1	3
173	показывает что	1	3
174	в своей	4	3
175	это только	4	3
176	в их	5	3
177	в которых	3	3
178	но он	1	3
179	том чтобы	2	3
180	тогда когда	2	3
181	видим что	1	3
182	в каком	1	3
183	не могут	7	3
184	и заключается	2	3
185	любопытно что	1	3
186	на это	2	3
187	с ее	1	3
188	в виду	4	3
189	то время	1	3
190	так и	5	3
191	жизнь и	1	3
192	мы в	1	3
193	для этого	1	3
194	образом в	3	3
195	с другой	11	3
196	в конечном	7	3
197	бы и	6	3
198	значит что	2	3
199	один из	5	3
200	этот вопрос	3	3
201	действующих лиц	5	3
202	и так	1	3
203	действительной жизни	3	3
204	и ее	4	3
205	в нашей	4	3
206	существу своему	1	3
207	что не	3	3
208	басни и	1	3
209	конечном счете	5	3
210	и других	1	3
211	и их	3	3
212	представить себе	2	3
213	сами по	1	3
214	в конце	3	3
215	может служить	1	3
216	художника и	7	3
217	были бы	1	3
218	что тот	1	3
219	процесс в	1	3
220	тому как	2	3
221	в частности	11	3
222	того или	2	3
223	по своему	1	3
224	по существу	3	3
225	это значит	1	3
226	должны быть	2	3
227	при всем	3	3
228	еще более	1	3
229	конце концов	2	3
230	хотя бы	19	3
231	когда говорит	1	3
232	в свою	1	3
233	влечения и	1	2
234	также и	2	2
235	и без	1	2
236	все те	1	2
237	и этот	2	2
238	еще не	2	2
239	бессознательное и	1	2
240	из того	1	2
241	но даже	3	2
242	как не	1	2
243	них по	1	2
244	бы с	1	2
245	с его	3	2
246	в ее	4	2
247	но не	2	2
248	явлений и	3	2
249	значение и	1	2
250	если в	2	2
251	ответ на	1	2
252	очевидно что	7	2
253	и приемы	1	2
254	себе и	2	2
255	которые должны	1	2
256	самое понятие	1	2
257	бессознательное в	1	2
258	что по	1	2
259	моментов в	3	2
260	в которой	2	2
261	мы получаем	1	2
262	бы не	2	2
263	так было	1	2
264	в себе	6	2
265	как он	2	2
266	имеем в	1	2
267	что без	2	2
268	т д	14	2
269	они в	1	2
270	как совершенно	1	2
271	на его	1	2
272	подобно тому	2	2
273	заключает в	1	2
274	в каждом	2	2
275	в ход	1	2
276	материала и	1	2
277	с другими	2	2
278	это не	7	2
279	то все	1	2
280	в них	4	2
281	не значит	1	2
282	и при	5	2
283	всяком случае	1	2
284	и эти	1	2
285	их в	6	2
286	и наоборот	1	2
287	том же	6	2
288	в этих	1	2
289	что этот	1	2
290	этой области	3	2
291	произведения как	5	2
292	и охотно	1	2
293	вплоть до	2	2
294	как можно	1	2
295	начинает с	1	2
296	на него	1	2
297	в процессе	16	2
298	значит ли	1	2
299	в самых	2	2
300	и отсюда	1	2
301	имеет свой	1	2
302	его от	2	2
303	казалось бы	1	2
304	это то	1	2
305	в самой	1	2
306	же время	5	2
307	учения о	1	2
308	в русском	1	2
309	не вполне	2	2
310	которая не	2	2
311	ли это	2	2
312	больше того	1	2
313	художественную форму	2	2
314	ни в	1	2
315	отличается от	2	2
316	для такого	1	2
317	что оно	3	2
318	это происходит	1	2
319	она не	3	2
320	на вопрос	2	2
321	и которая	1	2
322	свою очередь	1	2
323	и многие	1	2
324	сводится к	3	2
325	то или	1	2
326	в особенности	2	2
327	роль в	4	2
328	том как	3	2
329	по сравнению	1	2
330	понятно что	1	2
331	в таком	1	2
332	действие этих	1	2
333	художественные произведения	1	2
334	во всяком	1	2
335	в глаза	1	2
336	к действительности	1	2
337	после того	1	2
338	с того	1	2
339	которой мы	1	2
340	что самое	1	2
341	в его	14	2
342	а потому	1	2
343	даже для	1	2
344	в свете	1	2
345	для самого	1	2
346	в него	1	2
347	показывают что	3	2
348	согласиться с	1	2
349	в какой	1	2
350	как нечто	1	2
351	сам собой	1	2
352	к какому	1	2
353	и у	2	2
354	ней не	1	2
355	творчества в	7	2
356	говорит о	7	2
357	роль сознания	1	2
358	могло бы	2	2
359	содержания и	1	2
360	в одном	4	2
361	вовсе не	3	2
362	в состоянии	1	2
363	отношение к	1	2
364	к ним	1	2
365	но что	1	2
366	каждый из	1	2
367	и никогда	1	2
368	не было	7	2
369	зависит от	2	2
370	имеет своей	1	2
371	с бессознательным	1	2
372	вместе с	7	2
373	эта теория	2	2
374	из которых	2	2
375	сравнению с	1	2
376	этого факта	1	2
377	но это	1	2
378	порядка и	1	2
379	форм и	1	2
380	а к	1	2
381	для нас	1	2
382	из себя	2	2
383	у них	2	2
384	бессознательного в	1	2
385	вот этот	1	2
386	в романе	4	2
387	другой стороны	8	2
388	другой в	1	2
389	состоит из	1	2
390	на этот	1	2
391	или иного	1	2
392	и от	3	2
393	заметить что	1	2
394	это в	1	2
395	во сне	21	2
396	этой точки	2	2
397	с новыми	1	1
398	а между	1	1
399	смысле слова	2	1
400	как известно	2	1
401	речь идет	1	1
402	говоря о	1	1
403	одним из	5	1
404	таком случае	1	1
405	чтобы не	2	1
406	человека и	3	1
407	сводится именно	1	1
408	его основной	1	1
409	на наши	1	1
410	таким выводам	1	1
411	он может	2	1
412	всех душевных	1	1
413	фрейд в	1	1
414	же по	1	1
415	или говоря	1	1
416	проявляются в	1	1
417	а об	1	1
418	в основании	1	1
419	в зависимости	6	1
420	и связанное	1	1
421	обойтись без	1	1
422	их и	4	1
423	и художника	3	1
424	в несколько	1	1
425	а как	2	1
426	смотреть на	1	1
427	различных его	1	1
428	имеет свою	3	1
429	почти все	1	1
430	эстетики и	1	1
431	а для	2	1
432	мы и	1	1
433	похожи на	1	1
434	дают возможность	3	1
435	разобраться в	2	1
436	зависимости от	5	1
437	о судьбе	1	1
438	основе этого	1	1
439	среднего человека	1	1
440	на другом	1	1
441	какова же	1	1
