N	3gram	Losev_Dial_4	StatiiOP
1	и т д	15	21
2	в том что	9	17
3	о том что	1	11
4	для того чтобы	5	10
5	с точки зрения	9	8
6	в данном случае	1	6
7	с другой стороны	1	6
8	не может быть	6	5
9	я думаю что	2	4
10	дело в том	1	4
11	и в области	1	4
12	т д но	1	4
13	то же время	6	4
14	не только в	1	4
15	но также и	1	4
16	нужно сказать что	1	4
17	на то что	3	4
18	в то же	6	4
19	сказать что в	1	3
20	то или иное	3	3
21	и в этом	3	3
22	ничего общего с	2	3
23	но все же	1	3
24	не значит что	1	3
25	говорю уже о	1	2
26	и даже не	1	2
27	т д и	3	2
28	в этом случае	1	2
29	хотя бы и	2	2
30	в той же	1	2
31	и то что	1	2
32	по крайней мере	7	2
33	не говорю уже	1	2
34	то обстоятельство что	1	2
35	если бы мы	1	2
36	но в то	2	2
37	имеет ничего общего	2	2
38	так или иначе	1	2
39	не в том	4	2
40	т е в	2	2
41	не имеет ничего	2	2
42	вовсе не в	2	2
43	вопрос о том	1	2
44	речь идет о	1	2
45	что это не	1	2
46	тем не менее	2	2
47	неизвестно кем и	1	2
48	как и вообще	1	1
49	в каком же	1	1
50	не может не	1	1
51	в обоих случаях	1	1
52	выше я уже	1	1
53	оно отличается от	1	1
54	той или иной	1	1
55	а не в	1	1
56	очень и очень	1	1
57	не говоря уже	3	1
58	выйти за пределы	3	1
59	в этом смысле	4	1
60	можно только при	1	1
61	всей его жизни	1	1
62	должно было бы	1	1
63	говорить как о	1	1
64	же как и	1	1
65	одних и тех	2	1
66	что с точки	1	1
67	в лучшем случае	1	1
68	говоря уже о	3	1
69	в зависимости от	1	1
70	кем и неизвестно	1	1
71	это можно сделать	1	1
72	также и то	1	1
73	точно так же	2	1
74	в каждый отдельный	1	1
75	о том кто	1	1
76	и вовсе не	1	1
77	в том случае	1	1
78	некоторые из них	1	1
79	и тех же	2	1
80	ту или иную	2	1
81	но дело в	1	1
82	в это время	1	1
83	о том как	2	1
84	думаю что это	1	1
85	что то что	1	1
86	а не иной	1	1
87	содержит в себе	1	1
88	того что именно	3	1
89	каждый отдельный момент	1	1
90	никаких сомнений в	1	1
91	и в то	2	1
92	то тем самым	1	1
93	то что было	1	1
94	в каком случае	1	1
95	уже о том	2	1
96	я не могу	1	1
97	что это можно	1	1
98	ни в каком	4	1
99	и не имеет	1	1
100	никогда и не	1	1
101	д и т	2	1
102	лежащий в основе	1	1
103	в которой можно	1	1
104	крайней мере он	1	1
105	сказать что этот	1	1
106	хотя бы в	1	1
107	и во всякой	1	1
108	как бы ни	1	1
109	и не может	1	1
110	ни о каком	1	1
111	в данном пункте	1	1
112	может быть иначе	1	1
113	т е не	2	1
114	ни в чем	1	1
115	но я не	1	1
116	лишь в виде	1	1
117	друг от друга	1	1
118	я приведу только	1	1
119	гораздо ближе к	1	1
120	после того как	1	1
121	но это не	1	1
122	заключается вовсе не	1	1
123	в результате которой	4	1
124	мы имеем дело	1	1
125	т д как	1	1
126	т д в	1	1
127	и не в	1	1
128	в конце концов	1	1
