N	3gram	Propp_Isto_3	OGranits
1	с точки зрения	1	5
2	не может быть	1	4
3	по отношению к	2	3
4	что иное как	3	2
5	в данном случае	3	2
6	с одной стороны	2	2
7	с другой стороны	7	2
8	ничего общего с	1	2
9	есть не что	1	2
10	с самого начала	1	2
11	не что иное	3	2
12	в том что	5	2
13	том что в	2	1
14	образом мы можем	1	1
15	что в этом	1	1
16	и вне этой	1	1
17	в чем же	1	1
18	этой точки зрения	1	1
19	с одним из	2	1
20	равно как и	1	1
21	на самом деле	1	1
22	подобно тому как	1	1
23	но далеко не	1	1
24	еще тем что	1	1
25	только то что	1	1
26	можно было бы	1	1
27	может быть и	1	1
28	с этой точки	1	1
29	и тем что	1	1
30	но там где	1	1
31	так же как	1	1
32	состоит в том	2	1
33	тем не менее	5	1
34	и вместе с	1	1
35	в связи с	3	1
36	мы уже видели	3	1
37	в тех случаях	1	1
38	только в связи	2	1
39	с этим же	1	1
40	еще одну особенность	1	1
41	но тем не	2	1
42	таким образом мы	2	1
43	не только на	1	1
44	на эту связь	1	1
45	на то что	1	1
46	тех случаях когда	1	1
47	как и в	2	1
