N	4gram	Propp_Morf_1	Istorich
1	в то время как	3	3
2	в тех случаях когда	2	3
3	даже в тех случаях	1	2
4	комбинируются друг с другом	1	1
5	до сих пор не	1	1
6	весы кто кого перевесит	1	1
7	и т д но	4	1
8	одно и то же	1	1
9	может быть поставлен вопрос	1	1
10	иван-царевич идет со мной	1	1
11	же можно сказать о	1	1
12	случай который может быть	1	1
13	то же можно сказать	1	1
14	похожи друг на друга	1	1
15	на весы кто кого	1	1
16	с другой стороны оно	1	1
17	и т д в	2	1
18	здесь как и в	1	1
19	идет со мной на	1	1
20	в том что он	1	1
21	то это значит что	1	1
22	в сказке о жар-птице	1	1
23	но это еще не	1	1
24	и тем не менее	1	1
25	со мной на весы	1	1
26	и т д здесь	1	1
27	и т д все	1	1
28	такой случай мы имеем	1	1
29	это не значит что	2	1
30	мной на весы кто	1	1
31	с другой стороны у	1	1
32	пусть иван-царевич идет со	1	1
