N	3gram	Tiupa_Anal_1	UchenyiS
1	в конечном счете	4	4
2	не может быть	16	4
3	с другой стороны	2	3
4	то же время	6	3
5	бы то ни	3	3
6	в то же	8	3
7	то ни было	3	3
8	не могут быть	2	2
9	в художественном творчестве	1	2
10	в самом деле	2	2
11	в этом смысле	1	2
12	то же самое	2	2
13	до сих пор	1	2
14	в этом отношении	2	2
15	в художественном произведении	1	2
16	в том что	9	2
17	в противном случае	1	2
18	по крайней мере	1	2
19	и в частности	1	2
20	тех или иных	2	2
21	но прежде всего	1	1
22	в большей или	1	1
23	или меньшей степени	1	1
24	не в том	3	1
25	все же не	1	1
26	более или менее	1	1
27	как нам представляется	1	1
28	по меньшей мере	1	1
29	равно как и	1	1
30	имеем в виду	1	1
31	большей или меньшей	4	1
32	он может быть	1	1
33	в широком смысле	2	1
34	между тем в	1	1
35	сам по себе	1	1
36	в той же	1	1
37	о нем но	1	1
38	мы имеем в	1	1
39	эстетического объекта и	1	1
40	конечном счете только	1	1
41	истории литературы как	1	1
42	друг с другом	1	1
43	быть не может	3	1
44	в данном случае	2	1
45	и т.д в	1	1
46	но в то	2	1
47	не только в	1	1
48	с одной стороны	3	1
49	на первый взгляд	1	1
