N	2gram	Bakhtin_sl_1	Myshleni
1	в этом	12	25
2	письменная речь	1	22
3	потому что	2	21
4	таким образом	9	19
5	точки зрения	16	18
6	в том	3	18
7	не может	14	18
8	того чтобы	1	17
9	не только	16	16
10	и в	41	16
11	того что	3	16
12	так как	3	16
13	том что	2	15
14	так же	2	15
15	для того	2	14
16	в сущности	13	13
17	между собой	2	13
18	в процессе	4	13
19	сказать что	2	13
20	и что	1	12
21	и не	16	12
22	отношение к	7	11
23	в его	13	11
24	но не	2	10
25	было бы	3	10
26	как мы	8	10
27	только в	6	10
28	а не	15	10
29	с помощью	1	10
30	с точки	8	9
31	в отношении	6	9
32	может быть	14	9
33	то же	14	8
34	в известном	2	8
35	должно быть	2	8
36	как и	4	8
37	если бы	1	8
38	в основе	5	8
39	о том	3	8
40	он не	3	8
41	точка зрения	8	8
42	же как	2	7
43	того же	6	7
44	и есть	1	7
45	внутренней речи	3	7
46	в нем	30	7
47	но он	2	7
48	внутренняя речь	1	7
49	приводит к	1	7
50	так и	11	7
51	известном смысле	2	7
52	если мы	2	7
53	с другом	2	7
54	друг с	2	7
55	и на	14	6
56	могли бы	1	6
57	но в	8	6
58	в этой	1	6
59	связанные с	3	6
60	в другом	2	6
61	но если	1	6
62	не в	7	6
63	речи в	4	6
64	что все	2	6
65	языка и	12	6
66	и следовательно	7	6
67	у него	3	6
68	но и	16	6
69	речи и	1	6
70	в той	10	6
71	в какой	1	6
72	к тому	3	6
73	мы и	2	5
74	что они	2	5
75	как в	8	5
76	в своем	3	5
77	в которой	4	5
78	он должен	1	5
79	на все	2	5
80	тому что	2	5
81	с ним	7	5
82	самого начала	1	5
83	в то	14	5
84	никогда не	3	5
85	ничего не	4	5
86	этом отношении	1	5
87	с самого	1	5
88	можно было	2	5
89	можно сказать	2	5
90	заключается в	1	5
91	тот же	1	5
92	хотя бы	3	5
93	для него	3	5
94	как бы	12	5
95	не является	2	5
96	еще более	5	5
97	не знает	1	5
98	как известно	1	4
99	и то	2	4
100	той же	2	4
101	что между	1	4
102	оба эти	1	4
103	время как	2	4
104	а только	1	4
105	за пределы	4	4
106	в самом	5	4
107	все эти	9	4
108	вообще не	3	4
109	при этом	6	4
110	и по	2	4
111	это не	6	4
112	лучшем случае	2	4
113	мышления и	1	4
114	в самых	2	4
115	могут быть	19	4
116	не есть	2	4
117	в пределах	14	4
118	еще не	4	4
119	в качестве	3	4
120	так что	2	4
121	и их	1	4
122	то время	2	4
123	речь и	3	4
124	не могут	3	4
125	точек зрения	5	4
126	с другой	5	4
127	именно в	3	4
128	на этот	1	4
129	что мы	1	4
130	вместе с	1	4
131	в меру	1	4
132	в состоянии	1	4
133	с этой	3	4
134	в целом	2	4
135	мы видим	2	4
136	в результате	3	4
137	бы в	1	4
138	тем более	1	4
139	потребность в	1	4
140	в системе	1	4
141	связей и	1	4
142	в свою	3	4
143	речи как	1	4
144	осознания и	1	4
145	этой точки	1	4
146	в первом	3	3
147	с таким	1	3
148	мы не	2	3
149	и чужого	2	3
150	по своему	2	3
151	он может	2	3
152	но как	1	3
153	с этим	3	3
154	все же	7	3
155	сознания в	1	3
156	в действительности	1	3
157	то в	2	3
158	он в	5	3
159	и тот	1	3
160	чем его	1	3
161	понятий как	1	3
162	на этом	2	3
163	и может	3	3
164	влиять на	1	3
165	не умеет	1	3
166	и тем	2	3
167	устная речь	1	3
168	мы видели	1	3
169	и того	1	3
170	в этих	2	3
171	таким же	1	3
172	в их	4	3
173	сих пор	2	3
174	и более	1	3
175	не менее	1	3
176	до конца	12	3
177	в смысле	4	3
178	но что	1	3
179	только не	1	3
180	по своей	1	3
181	и его	14	3
182	связи с	2	3
183	свою очередь	2	3
184	в себя	1	3
