N	2gram	Potebnia_M_2	Poddanst
1	не только	15	17
2	и в	24	14
3	и не	19	12
4	д е	1	10
5	в этом	8	10
6	но в	4	9
7	то же	12	9
8	в том	18	9
9	хотя бы	2	8
10	только в	11	7
11	в то	6	7
12	же время	2	7
13	в ней	3	6
14	было бы	13	6
15	но и	9	6
16	быть может	7	6
17	отношении к	2	5
18	в которых	1	5
19	с другой	6	5
20	может быть	23	5
21	не в	13	5
22	и о	1	5
23	если бы	11	4
24	как бы	9	4
25	и если	4	4
26	том что	8	4
27	не может	12	4
28	и потому	2	4
29	в котором	4	4
30	по себе	15	4
31	что в	16	4
32	мы должны	2	4
33	же в	5	4
34	а в	8	4
35	то что	20	4
36	в с	1	4
37	и т	6	3
38	мы не	11	3
39	столь же	5	3
40	между тем	6	3
41	это не	3	3
42	вслед за	3	3
43	хотя и	3	3
44	и как	6	3
45	тот же	5	3
46	с ними	3	3
47	с одной	4	3
48	в себе	10	3
49	в нем	9	3
50	сами по	7	3
51	для того	5	3
52	заключается в	1	3
53	прежде всего	7	3
54	одной стороны	3	3
55	с тем	4	3
56	что мы	11	3
57	и без	1	3
58	с точки	1	3
59	но не	12	3
60	она есть	2	3
61	могут быть	8	3
62	тем самым	4	3
63	потому что	49	3
64	в сравнении	2	3
65	сравнении с	2	3
66	я и	1	3
67	и это	2	2
68	отношения к	2	2
69	например в	3	2
70	в ее	1	2
71	переход от	1	2
72	и есть	2	2
73	было в	2	2
74	есть не	5	2
75	начала и	1	2
76	которую мы	1	2
77	по сравнению	1	2
78	есть нечто	3	2
79	только это	1	2
80	которое в	1	2
81	никак не	1	2
82	во всех	7	2
83	если в	3	2
84	в общем	2	2
85	со стороны	3	2
86	с этим	7	2
87	того что	7	2
88	стороны и	1	2
89	помнить что	3	2
90	духа и	1	2
91	к чему	1	2
92	бы ни	5	2
93	и и	1	2
94	думать что	3	2
95	есть в	2	2
96	главным образом	4	2
97	и других	2	2
98	в его	2	2
99	из них	5	2
100	не к	1	2
101	в выборе	1	2
102	по-видимому не	1	2
103	и с	1	2
104	именно в	1	2
105	и тем	3	2
106	в жизни	2	2
107	в них	5	2
108	не было	6	2
109	а не	18	2
110	в ряду	6	2
111	должно быть	2	2
112	в эту	3	2
113	не столько	2	2
114	знать что	2	2
115	не будем	1	2
116	друг другу	1	2
117	что из	1	2
118	не менее	5	2
119	все это	2	2
120	между прочим	4	2
121	не о	1	2
122	одна из	4	2
123	слова но	2	2
124	она ни	1	2
125	мысль о	7	2
126	тем более	1	2
127	для нас	31	2
128	заключает в	4	2
129	может и	1	2
130	взгляда на	2	2
131	как на	3	2
132	которых не	1	1
133	в применении	1	1
134	не исчезнет	1	1
135	также что	2	1
136	здесь быть	1	1
137	менее ясно	2	1
138	но чтобы	1	1
139	которого в	1	1
140	и то	3	1
141	тем же	3	1
142	чем было	1	1
143	в себя	2	1
144	на две	2	1
145	выражается в	2	1
146	применении к	1	1
147	должна быть	1	1
148	собственном смысле	1	1
149	на нее	1	1
150	те же	3	1
151	не с	3	1
152	и само	1	1
153	законченные и	1	1
154	ли их	1	1
155	что дело	1	1
156	для самой	1	1
157	бы что	2	1
158	что уже	1	1
159	в собственном	2	1
160	возможность существования	1	1
161	находится в	3	1
162	оно есть	1	1
163	том виде	1	1
164	не прийти	1	1
165	мы и	1	1
166	и здесь	2	1
167	последней в	1	1
168	и что	4	1
169	еще не	4	1
170	были бы	1	1
171	и на	8	1
172	и силы	2	1
173	виде то	1	1
174	без которой	2	1
175	с его	2	1
176	бы она	1	1
177	к истине	1	1
178	связь между	2	1
179	не все	2	1
180	что и	11	1
181	отличие от	1	1
182	и чем	1	1
183	в истории	1	1
184	что во	2	1
185	тех пор	1	1
186	все же	5	1
187	этой последней	2	1
188	в законченные	1	1
189	мы видим	2	1
190	более или	8	1
191	в какой	2	1
192	должен быть	1	1
193	необходимы и	1	1
194	и такое	1	1
195	в самом	4	1
196	только то	1	1
197	в условиях	1	1
198	но как	1	1
199	в которой	5	1
200	во времени	2	1
201	бы и	1	1
202	что это	3	1
203	их не	1	1
204	могли бы	2	1
205	есть для	1	1
206	из этих	4	1
207	если мы	3	1
208	них самих	1	1
209	именно на	1	1
210	собою как	1	1
211	человека с	1	1
212	в известном	1	1
213	к у	1	1
214	переходит в	1	1
215	что его	3	1
216	только один	4	1
217	уже в	5	1
218	во многих	3	1
219	в большинстве	1	1
220	только на	1	1
221	на то	5	1
222	но на	2	1
223	в наших	1	1
224	как оно	2	1
225	можно думать	2	1
226	т д	3	1
227	мы знаем	2	1
228	вероятно что	1	1
229	при виде	3	1
230	одно из	3	1
231	есть та	1	1
232	не как	3	1
233	значения но	1	1
234	наших глазах	1	1
235	к первой	2	1
236	наиболее общих	1	1
237	к ним	1	1
238	друг друга	2	1
239	чтобы в	1	1
240	мы можем	12	1
241	и только	6	1
242	само по	2	1
243	какой бы	1	1
244	каждый из	1	1
245	при отсутствии	1	1
246	и по	2	1
247	прежде чем	1	1
248	каждого слова	1	1
249	одно и	2	1
250	не хотим	1	1
251	многих других	1	1
252	бы это	1	1
253	в каждом	2	1
254	сходства между	2	1
255	тем в	1	1
256	связанные с	2	1
257	имеют в	1	1
258	не были	1	1
259	из всех	1	1
260	большинстве случаев	1	1
261	его в	3	1
262	в душе	23	1
263	связаны с	1	1
264	и быть	1	1
265	например с	2	1
266	а с	2	1
267	в природе	5	1
268	и истина	1	1
269	что не	5	1
270	из нее	1	1
271	них и	1	1
272	и мертвых	2	1
273	где он	1	1
274	далеко не	3	1
275	отношения в	1	1
276	на основании	1	1
277	как и	7	1
278	и уже	5	1
279	тождественны с	1	1
280	как ни	1	1
281	в развитии	1	1
282	в одно	8	1
283	и еще	1	1
284	или менее	8	1
285	многих что	1	1
286	что если	6	1
287	в ходе	1	1
288	и при	3	1
289	так же	2	1
290	усомниться в	1	1
291	представить себе	1	1
292	всяком случае	7	1
293	многих случаях	1	1
294	прийти к	1	1
295	что именно	1	1
296	место в	4	1
297	на каждом	1	1
298	вспомнить и	1	1
299	в отличие	1	1
300	мысли и	1	1
301	знаем что	1	1
302	вопрос о	2	1
303	сравнению с	1	1
304	прочим потому	1	1
305	он будет	1	1
306	теми же	1	1
307	эти последние	2	1
308	и эти	1	1
309	как к	1	1
310	и более	1	1
311	там где	4	1
312	или что	2	1
313	и наоборот	5	1
314	от не	1	1
315	того кто	3	1
316	распадается на	1	1
317	чувство и	1	1
318	и вся	1	1
319	есть знак	1	1
320	что есть	2	1
321	что происходит	1	1
322	в формах	2	1
323	эта мысль	1	1
324	стремление к	2	1
325	с которой	1	1
326	что с	2	1
327	входят в	3	1
328	есть прежде	2	1
329	но для	1	1
330	для каждого	1	1
331	к другим	3	1
332	которые были	1	1
333	тогда когда	10	1
334	этом смысле	2	1
335	находящееся в	1	1
336	того чтобы	2	1
337	нем в	1	1
338	не имеет	6	1
339	рассматривать как	1	1
340	никогда не	4	1
341	и всегда	1	1
342	о котором	2	1
343	чтобы понять	1	1
344	масс и	1	1
345	находятся в	1	1
346	два различных	1	1
347	этих двух	1	1
348	не более	1	1
349	и притом	3	1
350	в ком	1	1
351	и первое	1	1
352	как она	1	1
353	как явление	1	1
354	что по	1	1
355	другой стороны	2	1
356	только что	3	1
357	в этих	3	1
358	не одну	1	1
359	но возможно	1	1
360	давно уже	1	1
361	до тех	1	1
362	в каком	3	1
363	из тех	1	1
364	только как	6	1
365	они как	1	1
366	что все	2	1
367	этом не	1	1
368	есть и	1	1
369	в других	4	1
370	к характеру	1	1
371	и самих	1	1
372	в трех	1	1
373	мысли но	2	1
374	что то	1	1
375	что оно	4	1
376	ни на	1	1
377	не есть	6	1
378	вместе с	11	1
379	что при	1	1
380	который не	1	1
381	во всяком	7	1
382	многие из	1	1
383	они не	4	1
384	из чего	1	1
