N	3gram	Losev_Vlad_1	StatiiOP
1	и т д	2	21
2	в том что	7	17
3	о том что	7	11
4	для того чтобы	2	10
5	в этом отношении	1	7
6	у нас нет	2	7
7	с другой стороны	3	6
8	во всяком случае	2	6
9	в самом деле	1	5
10	в этой области	1	5
11	не может быть	3	5
12	дело в том	4	4
13	то же время	4	4
14	не только в	2	4
15	так и в	1	4
16	что и в	2	4
17	на то что	4	4
18	в то же	4	4
19	том что в	3	3
20	что же касается	4	3
21	и в этом	1	3
22	заключается в том	1	3
23	пушкина и его	1	3
24	за то что	1	3
25	и только в	1	3
26	в свое время	5	2
27	да и в	1	2
28	так как в	1	2
29	и в том	1	2
30	и то что	4	2
31	видно что он	1	2
32	то обстоятельство что	2	2
33	как раз в	1	2
34	то что у	2	2
35	если бы мы	1	2
36	но в то	1	2
37	с одной стороны	1	2
38	в то время	2	2
39	имеем дело с	1	2
40	так или иначе	1	2
41	а также и	1	2
42	мне кажется что	1	2
43	на этот раз	4	2
44	по этому поводу	1	2
45	тем более что	2	2
46	тем не менее	2	2
47	дело не в	1	2
48	как это делает	1	1
49	в которой он	1	1
50	я никогда не	1	1
51	очень и очень	1	1
52	не говоря уже	1	1
53	не верил в	1	1
54	в настоящее время	1	1
55	также и в	1	1
56	в этом смысле	4	1
57	не выходя за	1	1
58	можно утверждать только	1	1
59	во время своего	1	1
60	том что он	2	1
61	свидетельствует о том	1	1
62	несколько слов о	1	1
63	нет ни одного	1	1
64	в том же	1	1
65	всей его жизни	2	1
66	было время когда	1	1
67	говоря уже о	1	1
68	в таких случаях	1	1
69	вопросе о значении	1	1
70	но только совсем	1	1
71	что он не	3	1
72	также и то	2	1
73	бы то ни	1	1
74	только то что	1	1
75	то что тот	1	1
76	или иначе но	1	1
77	в то что	1	1
78	виде в каком	1	1
79	их в своей	1	1
80	об этом не	1	1
81	и я не	1	1
82	грубо так что	1	1
83	в это время	1	1
84	было вполне естественно	1	1
85	то время как	1	1
86	и что в	1	1
87	и в своих	1	1
88	содержит в себе	1	1
89	то что для	1	1
90	в том чтобы	2	1
91	этому поводу с	1	1
92	и в то	2	1
93	так например он	1	1
94	но даже и	2	1
95	и то обстоятельство	2	1
96	а с другой	1	1
97	в каком случае	1	1
98	уже о том	1	1
99	потому что она	1	1
100	то что он	5	1
101	выходя за пределы	1	1
102	об этом и	2	1
103	а в том	1	1
104	ясно что у	1	1
105	по поводу того	1	1
106	ни в каком	1	1
107	протяжении всей его	1	1
108	и о том	1	1
109	ведь и сам	1	1
110	даже и в	1	1
111	смысле этого слова	1	1
112	и без того	1	1
113	и никогда не	1	1
114	в котором он	1	1
115	и не может	1	1
116	мысль о том	1	1
117	вплоть до последних	1	1
118	ни в чем	1	1
119	каком случае не	1	1
120	на протяжении всей	1	1
121	что в своем	1	1
122	в приведенных выше	1	1
123	что как раз	1	1
124	но это не	1	1
125	к тому что	1	1
126	так что в	2	1
127	мы имеем дело	1	1
128	т д в	1	1
129	в конце концов	3	1
130	том что и	1	1
131	со всеми его	1	1
132	он не только	2	1
