N	3gram	Savitsky_E_1	Problema
1	во всяком случае	3	10
2	и т д	1	6
3	в этом смысле	3	5
4	в данном случае	2	5
5	с одной стороны	8	5
6	в связи с	1	5
7	того или иного	4	5
8	с другой стороны	2	5
9	более или менее	1	4
10	только в том	2	4
11	говоря уже о	1	4
12	на то что	2	4
13	в то же	15	4
14	в том что	6	4
15	не говоря уже	2	4
16	в значительной мере	1	3
17	одной стороны и	6	3
18	хотя бы и	3	3
19	но и в	1	3
20	и в частности	2	3
21	и в этом	4	3
22	не может быть	2	3
23	это значит что	1	3
24	можно сказать что	3	3
25	только тогда когда	1	3
26	или хотя бы	2	2
27	в том числе	1	2
28	бы то ни	4	2
29	том числе и	1	2
30	можно было бы	3	2
31	то или иное	1	2
32	есть то что	1	2
33	в том случае	1	2
34	может быть и	1	2
35	не имеет никаких	1	2
36	для того чтобы	5	2
37	не только в	4	2
38	само по себе	4	2
39	и тот же	1	2
40	друг к другу	1	2
41	в себе в	1	2
42	один и тот	1	2
43	в частности в	2	2
44	заключается в том	2	2
45	та или иная	1	2
46	связи с этим	1	2
47	то есть в	1	2
48	и прежде всего	3	2
49	друг от друга	2	2
50	и все другие	2	1
51	не может не	1	1
52	что в этом	1	1
53	в той или	3	1
54	мы хотели бы	1	1
55	он сам и	1	1
56	того что в	2	1
57	как нам кажется	5	1
58	но как бы	1	1
59	также и в	1	1
60	можно сказать даже	1	1
61	наше внимание на	1	1
62	нам кажется что	2	1
63	же как и	3	1
64	несмотря на то	1	1
65	в виде некоторого	1	1
66	и не только	1	1
67	и во многих	1	1
68	и число их	1	1
69	мы говорили в	1	1
70	том случае если	1	1
71	и со стороны	2	1
72	представление о том	1	1
73	того что мы	1	1
74	в ту или	1	1
75	не будет ли	1	1
76	котором мы говорили	1	1
77	в этом отношении	3	1
78	то что в	2	1
79	и для всех	1	1
80	к тому чтобы	2	1
81	то и другое	1	1
82	и в этих	1	1
83	говорить не о	1	1
84	и в то	8	1
85	это может быть	1	1
86	и в своем	1	1
87	то время как	1	1
88	в самом понятии	1	1
89	так же как	5	1
90	и не имеет	2	1
91	они относятся к	1	1
92	значит ли это	1	1
93	то ни было	4	1
94	и в отношении	1	1
95	но именно о	1	1
96	в известном смысле	3	1
97	в последнее время	1	1
98	уже и теперь	1	1
99	не относится к	1	1
100	мы отнюдь не	1	1
101	гораздо сложнее чем	1	1
102	в каком смысле	1	1
103	даже вовсе не	1	1
104	и даже вовсе	1	1
105	для нас в	1	1
106	это должно быть	1	1
107	отнюдь не означает	1	1
108	мы не можем	1	1
109	в то время	1	1
110	говорить о том	1	1
111	так и в	2	1
112	хотя бы в	2	1
113	и тем самым	1	1
114	и тем более	1	1
115	на то или	1	1
116	и связанного с	1	1
117	той или иной	4	1
118	ту или иную	3	1
119	о котором мы	1	1
120	мы бы сказали	1	1
121	ли это что	1	1
122	и когда мы	1	1
123	в отношении содержания	1	1
124	по нашему мнению	2	1
125	во многих отношениях	1	1
126	или вовсе не	1	1
127	насколько можно судить	1	1
128	на то чтобы	1	1
129	и только в	2	1
