N	2gram	Berdyaev_O_1	Formalny
1	т е	4	34
2	и в	19	24
3	в его	7	23
4	прежде всего	9	22
5	и не	13	20
6	так и	2	18
7	и пр	1	17
8	не может	4	16
9	в этом	12	15
10	в нем	10	14
11	может быть	11	14
12	в своем	2	11
13	как и	6	11
14	в своей	2	11
15	должно быть	2	11
16	в ней	1	10
17	вовсе не	1	10
18	и ее	3	10
19	и его	4	10
20	а не	11	10
21	в процессе	1	9
22	и потому	2	9
23	все это	6	9
24	и на	2	8
25	как в	1	8
26	и с	2	8
27	лишь в	7	8
28	не в	11	8
29	в ее	2	8
30	то что	5	8
31	на самом	1	7
32	должна быть	1	7
33	не только	11	7
34	жизни и	1	7
35	в единстве	2	7
36	до конца	7	7
37	и от	3	7
38	но и	13	7
39	отношения к	1	6
40	еще не	3	6
41	самом деле	1	6
42	все эти	4	6
43	в этой	5	6
44	как бы	3	6
45	она не	1	6
46	и здесь	1	6
47	в том	5	6
48	было бы	3	6
49	как это	1	6
50	и все	10	6
51	а в	5	6
52	бы ни	1	5
53	хотя бы	3	5
54	одним словом	1	5
55	но в	2	5
56	в самом	5	5
57	по себе	2	5
58	и до	1	5
59	у нас	1	5
60	того что	3	5
61	со стороны	1	5
62	на западе	2	4
63	с его	4	4
64	в истории	2	4
65	и к	2	4
66	в которой	2	4
67	учение о	2	4
68	в мире	1	4
69	только и	4	4
70	никогда не	9	4
71	если бы	1	4
72	всяком случае	1	4
73	в частности	1	4
74	что в	4	4
75	к этой	2	4
76	во всяком	1	4
77	мы не	1	3
78	но не	1	3
79	со всеми	1	3
80	отношение к	5	3
81	как к	2	3
82	все же	2	3
83	когда он	3	3
84	и как	1	3
85	в себе	3	3
86	человек не	7	3
87	он не	7	3
88	он должен	1	3
89	в каждом	1	3
90	его в	2	3
91	подходит к	1	3
92	в жизни	1	3
93	в них	1	3
94	со всей	1	3
95	вещей и	1	3
96	в отношении	1	3
97	не по	1	3
98	отличается от	1	3
99	всего в	2	3
100	особенно в	1	3
101	бы в	1	3
102	говорит он	1	3
103	один из	1	3
104	и других	1	3
105	для него	5	3
106	и даже	1	3
107	и чем	1	3
108	не было	9	3
109	его как	1	3
110	в россии	5	3
111	смысле этого	1	3
112	этого слова	1	3
113	но это	1	3
114	она должна	1	3
115	от всех	1	3
116	что он	3	3
117	думать что	1	3
118	чтобы не	1	2
119	и это	1	2
120	науки о	1	2
121	его не	2	2
122	вопрос о	10	2
123	во внешнем	1	2
124	и всякий	1	2
125	от этого	1	2
126	он в	2	2
127	а вовсе	1	2
128	и вот	3	2
129	и более	1	2
130	это не	3	2
131	единство в	1	2
132	в самую	4	2
133	с тем	2	2
134	строгом смысле	1	2
135	нисколько не	1	2
136	не так	1	2
137	что было	1	2
138	мысли в	1	2
139	науку о	1	2
140	ничего не	2	2
141	жизни не	1	2
142	одна из	1	2
143	в самой	9	2
144	к ней	2	2
145	во всем	1	2
146	от того	1	2
147	и заключается	1	2
148	указать на	1	2
149	стремлением к	1	2
150	его с	1	2
151	не есть	2	2
152	в науке	1	2
153	не с	1	2
154	для всякого	2	2
155	с ним	3	2
156	кого не	1	2
157	и что	1	2
158	все в	4	2
159	и лишь	1	2
160	что и	2	2
161	уже не	1	2
162	в душе	2	2
163	его и	1	2
164	в одном	1	2
165	как художник	3	2
166	даже и	2	2
167	лишь для	1	2
168	вопрос об	1	2
169	и самый	1	2
170	все время	1	2
171	была бы	1	2
172	есть лишь	4	2
173	но есть	1	2
174	под влиянием	1	2
175	мира в	1	2
176	ко всем	2	2
177	в строгом	1	2
178	для нашего	1	2
179	места в	1	2
180	в своих	3	2
181	отношении к	1	2
182	жизни в	2	2
183	на своем	1	2
184	смысле слова	1	1
185	ту же	1	1
186	также и	1	1
187	например в	1	1
188	и через	1	1
189	и есть	3	1
190	между двумя	1	1
191	чего не	1	1
192	из самых	1	1
193	вместо того	2	1
194	совсем не	2	1
195	художник и	1	1
196	к которой	1	1
197	ее внутреннее	1	1
198	иногда и	1	1
199	хотя и	2	1
200	в этот	2	1
201	психологии и	1	1
202	то в	1	1
203	та же	1	1
204	бы и	1	1
205	когда человек	1	1
206	самой природе	1	1
207	с их	1	1
208	было дано	1	1
209	на то	1	1
210	сказать в	1	1
211	они в	1	1
212	не являлось	1	1
213	к одному	1	1
214	что нужно	1	1
215	так часто	1	1
216	людей и	1	1
217	в пустыне	1	1
218	лишь с	1	1
219	это конечно	1	1
220	и русский	1	1
221	заключается в	1	1
222	вносит свои	1	1
223	лишь на	1	1
224	должен был	2	1
225	и каждый	1	1
226	только одно	3	1
227	этого она	1	1
228	бытие и	1	1
229	она и	1	1
230	их взаимоотношения	1	1
231	он и	1	1
232	и тогда	1	1
