N	3gram	Tiupa_Narr_1	KulturaY
1	в том что	8	10
2	можно было бы	2	9
3	с точки зрения	2	8
4	в самом деле	1	7
5	с другой стороны	4	7
6	только потому что	1	6
7	по крайней мере	1	6
8	в этом смысле	1	5
9	само по себе	1	5
10	тем не менее	3	5
11	не только в	2	4
12	не может быть	5	4
13	в этом отношении	3	3
14	точно так же	2	3
15	в связи с	2	3
16	то же время	3	3
17	в то же	3	3
18	на самом деле	1	2
19	тем самым мы	1	2
20	в соответствии с	1	2
21	по себе они	1	2
22	с этой точки	1	2
23	то или иное	2	2
24	может быть только	1	2
25	так же как	2	2
26	является ли это	1	2
27	в отличие от	5	2
28	в свое время	1	2
29	по себе не	1	2
30	этой точки зрения	2	2
31	в свою очередь	3	2
32	того или иного	2	2
33	в конечном счете	2	2
34	но все же	4	2
35	можно сказать что	4	2
36	так или иначе	2	2
37	том что в	1	1
38	состоит в том	3	1
39	иметь в виду	1	1
40	а не с	1	1
41	прежде всего в	1	1
42	дело в том	1	1
43	в этом последнем	1	1
44	может и не	1	1
45	это дает нам	1	1
46	что это все	2	1
47	до сих пор	1	1
48	тот или иной	1	1
49	сам по себе	1	1
50	бы то ни	3	1
51	в первую очередь	1	1
52	только то что	1	1
53	все те же	4	1
54	в последние десятилетия	1	1
55	но это не	1	1
56	какой бы то	1	1
57	говорить о разных	1	1
58	в той мере	1	1
59	том или ином	2	1
60	качестве одного из	1	1
61	и не в	4	1
62	и то что	1	1
63	может быть и	1	1
64	из уст в	1	1
65	в значительной степени	2	1
66	в том или	2	1
67	в данном случае	4	1
68	не то что	2	1
69	сами по себе	2	1
70	здесь сводится к	1	1
71	в первый раз	1	1
72	то ни было	3	1
73	с одной стороны	7	1
74	в году в	1	1
75	а также и	1	1
76	в известном смысле	2	1
77	всю свою жизнь	1	1
78	именно это и	1	1
79	и характерное для	1	1
80	он уже не	1	1
81	на протяжении этого	2	1
82	у нас нет	1	1
83	в результате ли	1	1
84	мере в какой	1	1
85	уст в уста	1	1
86	обращается к нему	1	1
87	есть не что	1	1
88	ни одного слова	1	1
89	в том чтобы	1	1
90	как и в	1	1
91	в качестве одного	1	1
92	о том что	6	1
93	и прежде всего	1	1
94	что иное как	2	1
95	речь идет о	2	1
96	к тому чтобы	1	1
97	в этом своем	1	1
98	может быть лучше	1	1
99	в силу своей	1	1
100	не что иное	2	1
101	той мере в	1	1
102	тех или иных	1	1
103	в данный момент	1	1
104	одна за другой	1	1
105	к тому же	4	1
106	то только потому	1	1
107	как мы видели	1	1
