N	3gram	Tiupa_Lite_2	FransuaR
1	то же время	9	8
2	в то же	9	8
3	в конце концов	1	4
4	и в то	1	4
5	в том числе	2	3
6	для того чтобы	1	3
7	с другой стороны	4	3
8	в этой системе	1	3
9	подобно тому как	2	3
10	с точки зрения	3	2
11	том числе и	1	2
12	с одной стороны	6	2
13	о том что	2	2
14	то есть в	1	2
15	как мы видели	1	2
16	то же самое	1	1
17	одной стороны и	1	1
18	по собственному признанию	1	1
19	и не может	1	1
20	нет и не	1	1
21	в этом отношении	3	1
22	и то что	1	1
23	за то что	2	1
24	и вовсе не	1	1
25	в этом же	1	1
26	одно и то	2	1
27	в самом начале	1	1
28	в данном случае	3	1
29	в первый раз	2	1
30	у того же	1	1
31	и то же	2	1
32	в отличие от	1	1
33	а с другой	1	1
34	только и не	1	1
35	в его лице	2	1
36	так и от	1	1
37	и в соответствии	1	1
38	тех кто не	1	1
39	не может быть	7	1
40	не только и	1	1
41	и не столько	1	1
42	в свою очередь	1	1
43	свою судьбу судьбу	1	1
44	в конечном счете	5	1
45	но даже и	1	1
46	и своего рода	1	1
47	как было сказано	1	1
48	тех или иных	1	1
49	на самом деле	1	1
50	не подозревая что	1	1
51	в соответствии с	1	1
52	в том что	5	1
53	в разговоре с	2	1
54	может быть ни	1	1
