N	4gram	Tiupa_Narr_1	Analitik
1	состоит в том что	2	4
2	обращает на себя внимание	3	3
3	в том или ином	2	2
4	в то же время	3	2
5	мы имеем дело с	1	1
6	что вообще характерно для	1	1
7	единственный в тексте случай	1	1
8	мы имеем дело не	1	1
9	мира вокруг я героя	1	1
10	в частности писал что	1	1
11	на себя внимание и	1	1
12	о том что случилось	1	1
13	на себя внимание что	1	1
14	недискурсивных формах внутренней речи	1	1
15	в самом деле не	1	1
16	в литературе нового времени	1	1
17	том что случилось однажды	1	1
18	к тому же в	1	1
19	как уже говорилось выше	1	1
20	не что иное как	2	1
21	в организации кадров внутреннего	1	1
22	субъект объект и адресат	1	1
23	высказывания в том или	1	1
24	не о том что	1	1
25	но о том что	1	1
26	с этой точки зрения	1	1
27	во времени и пространстве	4	1
28	в недискурсивных формах внутренней	1	1
29	организации кадров внутреннего зрения	1	1
30	своего рода ключ к	1	1
31	имеем дело не с	1	1
32	есть не что иное	1	1
