N	3gram	Medvedev_V_1	DiskursI
1	в том что	5	13
2	с одной стороны	2	9
3	по отношению к	7	9
4	о том что	3	5
5	то же время	5	4
6	к тому же	1	4
7	в то же	5	3
8	с другой стороны	8	3
9	той или иной	1	3
10	не в том	2	3
11	быть определена как	1	3
12	в свою очередь	1	3
13	не может быть	8	3
14	а в том	1	2
15	подобно тому как	2	2
16	большей или меньшей	3	2
17	мы имеем дело	1	2
18	можно сказать что	4	2
19	в частности в	2	2
20	то же самое	1	2
21	тот или иной	1	2
22	может быть определена	1	2
23	более или менее	6	2
24	не только в	2	2
25	говоря уже о	1	2
26	в том числе	2	2
27	только в том	2	2
28	том числе и	2	2
29	сами по себе	1	2
30	в том чтобы	2	2
31	не говоря уже	1	2
32	одной стороны и	2	2
33	а не только	1	2
34	не было в	2	2
35	в данном случае	1	2
36	можно определить как	2	2
37	в соответствии с	1	2
38	по крайней мере	2	2
39	в этом же	1	1
40	следует понимать как	2	1
41	может быть в	1	1
42	это и есть	3	1
43	лирических стихотворений и	1	1
44	в таком случае	1	1
45	в которой он	1	1
46	в том случае	1	1
47	о том как	3	1
48	что в них	1	1
49	не заметить что	1	1
50	в новое время	1	1
51	в связи с	3	1
52	том или ином	1	1
53	в которых она	1	1
54	а потому и	1	1
55	до сих пор	1	1
56	в целом и	1	1
57	в этом смысле	1	1
58	и в то	3	1
59	в противном случае	2	1
60	имеем дело с	1	1
61	дело не в	1	1
62	хотя бы и	5	1
63	его таким образом	1	1
64	то все же	1	1
65	что он не	1	1
66	точки зрения на	1	1
67	не имеющих нужды	1	1
68	в основном по	1	1
69	и не может	2	1
70	и то же	1	1
71	или меньшей степени	2	1
72	того или иного	1	1
73	с реальной действительностью	1	1
74	и может быть	1	1
75	во всех его	2	1
76	том случае если	1	1
77	лицом к лицу	1	1
78	наиболее существенные моменты	1	1
79	нет и не	1	1
80	как будто бы	1	1
81	в этом отношении	13	1
82	в конечном счете	5	1
83	только то что	2	1
84	он говорит и	1	1
85	так и от	2	1
86	в результате этого	1	1
87	говорит о том	1	1
88	а порой и	1	1
89	по аналогии с	1	1
90	с работой над	2	1
91	и в другом	2	1
92	именно в том	1	1
93	также и в	2	1
94	для правильного понимания	1	1
95	вместе с тем	3	1
96	каждый из них	1	1
97	к работе над	2	1
98	во всех этих	1	1
99	ту или иную	1	1
100	одно и то	1	1
101	как и все	1	1
102	во всяком случае	1	1
103	в том или	1	1
104	что во всех	1	1
105	в большей или	2	1
106	с большей или	1	1
107	одним из наиболее	1	1
