N	3gram	Bakhtin_sl_2	Komedia
1	до сих пор	2	9
2	в том что	4	9
3	для того чтобы	2	6
4	в свою очередь	2	6
5	в то же	4	4
6	о том что	1	4
7	то же время	4	4
8	с самого начала	1	4
9	по отношению к	4	3
10	с точки зрения	3	3
11	и т п	33	3
12	в связи с	2	3
13	во всяком случае	2	3
14	речь идет о	1	3
15	с одной стороны	5	3
16	тем не менее	1	3
17	иначе обстоит дело	1	2
18	хотя и не	1	2
19	в какой мере	1	2
20	в этом случае	6	2
21	что он не	1	2
22	в этом отношении	3	2
23	вместе с ним	1	2
24	с другой стороны	1	2
25	но все же	4	2
26	в известной степени	1	2
27	том что она	1	1
28	и без всякого	1	1
29	более или менее	2	1
30	здесь правда не	1	1
31	в том числе	1	1
32	одной стороны и	3	1
33	на первый план	1	1
34	как это было	1	1
35	и в то	1	1
36	в зависимости от	4	1
37	в отличие от	12	1
38	и не может	1	1
39	на то что	1	1
40	с которым они	1	1
41	может быть только	1	1
42	его роль в	1	1
43	и в пределах	1	1
44	таким образом на	1	1
45	меньше чем в	2	1
46	здесь не только	1	1
47	сих пор не	2	1
48	так и в	3	1
49	и остается в	1	1
50	не менее в	1	1
51	не с точки	1	1
52	как в пределах	1	1
53	конечно не приходится	1	1
54	несколько иначе обстоит	1	1
55	в отношении к	4	1
56	как и вся	1	1
57	человека и его	2	1
58	выходят за пределы	1	1
59	том числе и	1	1
60	и т д	2	1
