N	3gram	Vygotskiy__3	Sotsiolo
1	и заключается что	1	2
2	в том что	11	2
3	дело не в	1	2
4	не в том	2	2
5	между собой не	1	1
6	конечно не в	1	1
7	в том и	1	1
8	а между тем	1	1
9	и в этом	3	1
10	только то что	2	1
11	и потому его	1	1
12	то что в	2	1
13	в наше время	2	1
14	то же самое	8	1
15	о том как	2	1
16	что это вовсе	1	1
17	в свои права	1	1
18	не было бы	1	1
19	по самому существу	1	1
20	это вовсе не	1	1
21	вступает в свои	1	1
22	а с другой	1	1
23	и только для	1	1
24	что она может	1	1
25	в том именно	1	1
26	а в том	1	1
27	в лучшем случае	2	1
28	с одной стороны	5	1
29	том и заключается	1	1
30	во всяком случае	2	1
