N	3gram	Propp_Isto_4	DiskursI
1	тогда как в	1	5
2	о том что	2	5
3	не в том	1	3
4	не может быть	4	3
5	с другой стороны	4	3
6	и в особенности	1	2
7	подобно тому как	1	2
8	в том числе	1	2
9	то же самое	2	2
10	и не только	1	2
11	в основе своей	1	2
12	а не только	1	2
13	в данном случае	3	2
14	не только в	2	2
15	и в форме	1	2
16	хотя и в	1	2
17	можно сказать что	1	2
18	и может быть	1	1
19	в этом случае	3	1
20	на том что	1	1
21	а не за	1	1
22	не только по	1	1
23	в которых герой	1	1
24	стоит на границе	1	1
25	внимание на то	1	1
26	о том как	1	1
27	себя не только	1	1
28	до сих пор	5	1
29	и не может	1	1
30	как и все	1	1
31	что он ее	1	1
32	что он не	1	1
33	имеет отношение к	1	1
34	в котором нет	1	1
35	тех случаях когда	2	1
36	между собой и	1	1
37	вместе с тем	1	1
38	одно и то	1	1
39	не могло быть	1	1
40	в целом и	1	1
41	как мы видели	3	1
42	таким же образом	1	1
43	на передний план	1	1
44	то что и	1	1
45	содержит в себе	2	1
46	тем что он	2	1
47	именно в этой	1	1
48	имеют к ним	1	1
49	до нас в	1	1
50	как будто бы	1	1
51	во всех этих	1	1
52	перстень на руку	1	1
53	как в сказке	1	1
54	одни и те	1	1
55	в связи с	2	1
56	можно указать на	1	1
57	за тридевять земель	1	1
58	хотя бы на	1	1
59	текста это не	1	1
60	в тех случаях	2	1
61	дошли до нас	1	1
62	так и в	2	1
63	как нечто вторичное	1	1
64	это и есть	1	1
65	легко заметить что	1	1
66	и те же	1	1
67	том что было	1	1
68	то чего не	1	1
69	на то что	3	1
70	в другом случае	2	1
71	и то же	1	1
72	тем не менее	2	1
73	но все же	4	1
74	то что они	1	1
75	сказка никогда не	1	1
76	в большинстве случаев	1	1
77	как и в	1	1
