N	2gram	Tiupa_Anal_3	Poddanst
1	не только	22	17
2	и в	18	14
3	и не	12	12
4	в этом	14	10
5	в качестве	12	9
6	но в	2	9
7	то же	3	9
8	в том	9	9
9	в пределах	4	8
10	хотя бы	1	8
11	только в	2	7
12	в то	3	7
13	же время	3	7
14	в ней	2	6
15	было бы	3	6
16	но и	13	6
17	с другой	7	5
18	может быть	9	5
19	не в	6	5
20	и о	1	5
21	о в	2	5
22	если бы	1	4
23	а также	2	4
24	и е	3	4
25	в своем	4	4
26	и к	4	4
27	как бы	10	4
28	и политического	1	4
29	том что	12	4
30	не может	2	4
31	и потому	2	4
32	по себе	4	4
33	на пути	2	4
34	в гораздо	1	4
35	в русской	7	4
36	что в	9	4
37	мы должны	1	4
38	же в	2	4
39	а в	10	4
40	то что	2	4
41	мы не	3	3
42	сводится к	2	3
43	столь же	4	3
44	между тем	5	3
45	это не	2	3
46	вслед за	1	3
47	хотя и	2	3
48	и как	4	3
49	тот же	1	3
50	с ними	1	3
51	с одной	2	3
52	в себе	2	3
53	в нем	2	3
54	для того	1	3
55	заключается в	1	3
56	прежде всего	5	3
57	одной стороны	2	3
58	с тем	2	3
59	что мы	2	3
60	и без	3	3
61	с точки	2	3
62	но не	7	3
63	могут быть	2	3
64	тем самым	4	3
65	потому что	1	3
66	точки зрения	3	3
67	в сравнении	2	3
68	сравнении с	2	3
69	я и	3	3
70	отношения к	2	2
71	например в	2	2
72	в ее	3	2
73	и есть	1	2
74	в мире	5	2
75	есть не	2	2
76	осуществляется в	2	2
77	в сочетании	3	2
78	является в	1	2
79	никак не	1	2
80	время в	1	2
81	в значительной	2	2
82	во всех	2	2
83	говорить о	3	2
84	если в	3	2
85	в общем	2	2
86	во всей	1	2
87	со стороны	9	2
88	отнюдь не	4	2
89	с этим	3	2
90	того что	1	2
91	к чему	1	2
92	бы ни	1	2
93	теперь в	1	2
94	есть в	1	2
95	но о	1	2
96	в начале	6	2
97	в его	7	2
98	о и	2	2
99	в силу	1	2
100	и вот	2	2
101	как раз	7	2
102	в статье	1	2
103	полной мере	1	2
104	именно в	3	2
105	в жизни	2	2
106	в них	2	2
107	не было	3	2
108	а не	9	2
109	должно быть	1	2
110	в эту	1	2
111	более чем	2	2
112	не столько	3	2
113	не будем	1	2
114	не менее	4	2
115	все это	3	2
116	между прочим	1	2
117	не о	1	2
118	одна из	2	2
119	сколько бы	1	2
120	мысль о	3	2
121	да и	2	2
122	в полной	1	2
123	тем более	1	2
124	в перспективе	1	2
125	может и	1	2
126	в частности	12	2
127	как на	1	2
128	в применении	1	1
129	поскольку не	1	1
130	также что	1	1
131	связана с	1	1
132	которого в	1	1
133	этот спор	1	1
134	как известно	1	1
135	тем же	1	1
136	в себя	2	1
137	определенный и	1	1
138	культуры и	1	1
139	по преимуществу	2	1
140	к жизни	3	1
141	известных в	1	1
142	на две	1	1
143	применении к	1	1
144	отчим домом	1	1
145	те же	2	1
146	не с	2	1
147	особенно в	1	1
148	по природе	1	1
149	в борьбе	2	1
150	и само	1	1
151	русской культуре	1	1
152	к первому	2	1
153	что уже	1	1
154	для этого	1	1
155	внимание к	1	1
156	оно есть	1	1
157	на себя	2	1
158	план в	1	1
159	с ее	3	1
160	и ее	2	1
161	именно потому	1	1
162	мы и	1	1
163	и здесь	2	1
164	церкви в	1	1
165	характер этого	1	1
166	еще не	6	1
167	были бы	3	1
168	и на	4	1
169	он был	1	1
170	она являет	1	1
171	с его	8	1
172	восходит к	3	1
173	спор не	1	1
174	связь между	1	1
175	момента и	1	1
176	не все	1	1
177	что и	5	1
178	отличие от	2	1
179	под покровом	1	1
180	в истории	1	1
181	в соотношении	1	1
182	что во	1	1
183	в рамках	3	1
184	и мир	1	1
185	судить по	1	1
186	человеческого бытия	1	1
187	тех пор	2	1
188	известном смысле	1	1
189	все же	4	1
190	этой последней	1	1
191	не два	1	1
192	обе эти	2	1
193	ничего более	1	1
194	поскольку мы	1	1
195	в самом	5	1
196	пути но	1	1
197	но как	3	1
198	бы и	2	1
199	могли бы	2	1
200	представляет собой	5	1
201	из этих	3	1
202	тот или	2	1
203	них самих	1	1
204	собою как	1	1
205	человека с	1	1
206	себя в	4	1
207	в известном	1	1
208	оказывается в	1	1
209	уже в	3	1
210	во многих	1	1
211	в большинстве	2	1
212	на то	1	1
213	наш взгляд	2	1
214	не могла	2	1
215	к миру	1	1
216	связывается с	1	1
217	только к	2	1
218	мы знаем	1	1
219	судьбы но	1	1
220	при виде	1	1
221	в восприятии	1	1
222	одно из	1	1
223	не как	2	1
224	и творческих	1	1
225	вся в	1	1
226	что каждая	1	1
227	к ним	1	1
228	мы можем	2	1
229	и только	1	1
230	каково же	1	1
231	само по	1	1
232	какой бы	1	1
233	каждый из	1	1
234	и обрести	1	1
235	на наш	2	1
236	и по	2	1
237	бы это	1	1
238	в каждом	3	1
239	а затем	1	1
240	тем в	1	1
241	из двух	1	1
242	или иной	5	1
243	большинстве случаев	1	1
244	его в	3	1
245	сознания к	2	1
246	связаны с	1	1
247	живет в	1	1
248	и иных	1	1
249	было и	1	1
250	а с	1	1
251	что не	3	1
252	на свои	1	1
253	из нее	1	1
254	далеко не	4	1
255	в этой	6	1
256	как и	14	1
257	ведет к	1	1
258	свет его	1	1
259	в одно	1	1
260	и еще	1	1
261	что если	1	1
262	в ходе	1	1
263	усомниться в	1	1
264	всяком случае	2	1
265	все основные	1	1
266	они едины	1	1
267	место в	1	1
268	можно быть	1	1
269	в отличие	2	1
270	мысли и	1	1
271	бы мы	1	1
272	в данном	4	1
273	вопрос о	1	1
274	заключен в	1	1
275	теми же	1	1
276	что было	1	1
277	в отдельности	1	1
278	отдельности и	1	1
279	как к	2	1
280	там где	2	1
281	приобщается к	2	1
282	того кто	1	1
283	ни были	1	1
284	сущности не	1	1
285	исторического бытия	1	1
286	этом смысле	1	1
287	в сферу	1	1
288	случаях когда	1	1
289	мнения о	1	1
290	обратившись к	1	1
291	можно судить	1	1
292	того чтобы	1	1
293	и частной	1	1
294	никогда не	5	1
295	в результате	5	1
296	казалось бы	1	1
297	или иным	2	1
298	этом мире	1	1
299	этих двух	1	1
300	или иная	1	1
301	иными словами	1	1
302	не более	2	1
303	где уже	1	1
304	более что	1	1
305	что по	4	1
306	в наши	1	1
307	в г	1	1
308	другой стороны	5	1
309	голодной смерти	1	1
310	и теперь	1	1
311	до тех	1	1
312	на фоне	1	1
313	промежуток времени	1	1
314	только как	1	1
315	и внутренне	1	1
316	они как	1	1
317	в момент	2	1
318	в иной	2	1
319	по одному	1	1
320	есть и	1	1
321	ли не	4	1
322	в трех	1	1
323	к этой	1	1
324	и другие	1	1
325	пришел в	1	1
326	не есть	4	1
327	вместе с	2	1
328	все еще	1	1
329	о о	4	1
330	что при	1	1
331	который не	2	1
332	во всяком	2	1
333	они не	1	1
334	гораздо более	2	1
