N	2gram	Tiupa_Anal_1	KFilosof
1	может быть	29	43
2	в его	13	39
3	в нем	3	31
4	не может	22	27
5	в бытии	1	26
6	и не	21	26
7	по отношению	6	25
8	и в	18	22
9	в себе	11	21
10	отношению к	5	21
11	в котором	3	21
12	не есть	8	19
13	в ее	1	17
14	и его	5	17
15	а не	17	17
16	только в	6	16
17	точки зрения	6	13
18	в этом	13	13
19	для него	2	12
20	ни в	4	12
21	но не	10	12
22	все эти	2	11
23	к нему	3	11
24	не в	14	11
25	в своей	6	11
26	из себя	1	10
27	во всех	1	10
28	это не	6	10
29	с точки	4	10
30	от себя	3	10
31	и все	3	9
32	и для	1	9
33	но и	17	9
34	в целом	5	9
35	в их	5	9
36	и есть	3	9
37	бытия и	2	9
38	как бы	5	9
39	жизни и	1	8
40	не было	1	8
41	со стороны	2	8
42	лишь в	5	8
43	если бы	3	8
44	единого и	1	8
45	было бы	2	8
46	я должен	1	7
47	вовсе не	2	7
48	в себя	6	7
49	то что	6	7
50	во всем	1	7
51	на основе	2	7
52	что и	3	7
53	должен быть	6	7
54	себя в	6	7
55	смысл и	3	6
56	не значит	1	6
57	отношение к	2	6
58	совершенно не	1	6
59	в том	27	6
60	и только	1	6
61	в мире	8	6
62	отнюдь не	15	6
63	уже не	4	6
64	он не	3	6
65	я не	1	6
66	мира в	2	6
67	но это	1	6
68	ни одно	2	5
69	не знает	1	5
70	все же	4	5
71	бытия в	1	5
72	жизни в	1	5
73	как и	13	5
74	его как	1	5
75	для себя	2	5
76	эстетического созерцания	1	5
77	хотя бы	3	5
78	с ним	4	5
79	но все	1	5
80	никогда не	2	5
81	но как	1	5
82	должно быть	2	5
83	мы имеем	6	5
84	в основе	6	5
85	именно в	4	5
86	то же	9	5
87	ее и	1	5
88	но в	8	5
89	от своей	1	5
90	его в	1	5
91	в событии	1	5
92	не только	15	5
93	познания и	1	4
94	бы быть	3	4
95	входит в	1	4
96	место в	3	4
97	при этом	12	4
98	в каком	1	4
99	видения не	1	4
100	тем самым	7	4
101	в одном	1	4
102	а в	9	4
103	для нас	1	4
104	в категориях	2	4
105	что в	5	4
106	здесь мы	1	4
107	мира и	1	4
108	между тем	5	4
109	в эстетическом	1	4
110	в чем	1	4
111	времени и	6	4
112	могло бы	1	4
113	и т.д	1	4
114	не как	1	4
115	ни было	4	4
116	о нем	3	4
117	во всей	1	4
118	отношению ко	1	4
119	в своих	1	4
120	ценностного центра	1	4
121	быть в	1	4
122	том что	12	4
123	еще не	3	3
124	в другом	4	3
125	этом смысле	1	3
126	могла бы	3	3
127	и тем	1	3
128	тогда когда	2	3
129	не должно	1	3
130	смысл в	1	3
131	здесь не	2	3
132	это единство	1	3
133	в акте	2	3
134	должна быть	1	3
135	не менее	1	3
136	и жизни	1	3
137	где он	1	3
138	события в	2	3
139	что это	1	3
140	независимо от	1	3
141	вступает в	3	3
142	сознания и	1	3
143	ним и	2	3
144	мы не	1	3
145	бы не	2	3
146	других людей	2	3
147	всех своих	1	3
148	от него	1	3
149	моменты и	1	3
150	того или	3	3
151	тем как	1	3
152	мира не	1	3
153	того что	4	3
154	из него	1	3
155	на самом	2	3
156	нет и	2	3
157	в данный	1	3
158	как событие	1	3
159	в современной	1	3
160	что не	3	3
161	в то	9	3
162	только с	1	3
163	этого мира	1	3
164	для того	4	3
165	и отношения	1	3
166	данный момент	1	3
167	ничего не	1	3
168	по своему	1	3
169	в виду	1	3
170	не должен	2	3
171	общих понятий	1	3
172	всех этих	1	3
173	могут быть	4	3
174	о том	5	3
175	и на	5	3
176	культуры и	1	3
177	положения в	1	3
178	быть и	1	3
179	положения и	1	3
180	не я	1	3
181	не изнутри	1	3
182	или иного	3	3
183	самом деле	2	3
184	в ней	1	3
185	не могу	2	3
186	лишь при	4	3
187	в свою	1	3
188	и тот	1	2
189	войти в	1	2
190	и поступка	1	2
191	может не	1	2
192	событие может	1	2
193	или иное	1	2
194	можно и	1	2
195	и того	5	2
196	себя или	1	2
197	же время	6	2
198	его на	1	2
199	вопрос о	2	2
200	бы оно	1	2
201	в него	1	2
202	бы то	3	2
203	его с	1	2
204	было и	1	2
205	принципиально не	3	2
206	прежде всего	6	2
207	не будет	3	2
208	так и	4	2
209	думать что	2	2
210	и просто	2	2
211	как предмет	4	2
212	вокруг него	1	2
213	познания но	1	2
214	в виде	1	2
215	которого и	1	2
216	быть не	3	2
217	в сознании	2	2
218	существенно что	1	2
219	его и	2	2
220	мира произведения	1	2
221	та же	1	2
222	того чтобы	3	2
223	при условии	1	2
224	располагается все	1	2
225	по себе	4	2
226	на нем	1	2
227	вследствие этого	3	2
228	подхода к	3	2
229	то ни	3	2
230	с тем	1	2
231	его к	2	2
232	в принципе	8	2
233	были бы	1	2
234	выход из	1	2
235	сводится к	5	2
236	эстетического субъекта	3	2
237	оно не	1	2
238	оба этих	1	2
239	как предмета	1	2
240	потому что	2	2
241	смысла в	2	2
242	дело с	4	2
243	сознания в	4	2
244	я и	6	2
245	сознания не	1	2
246	случае мы	1	2
247	момент ее	1	2
248	один и	1	2
249	дело не	3	2
250	а как	2	2
251	он может	2	2
252	и эстетический	1	2
253	как в	1	2
254	познания в	1	2
255	его целостности	1	2
256	психический процесс	1	2
257	человек и	1	2
258	тот же	1	2
259	и потому	2	2
260	к которой	1	2
261	едва ли	2	2
262	не о	2	2
263	и может	1	2
264	для другого	1	2
265	может иметь	2	2
266	есть его	1	2
267	для этого	2	2
268	слова в	1	2
269	героя это	2	2
270	этого слова	7	2
271	в этой	5	2
272	и та	2	2
273	тому что	1	2
274	в некое	1	2
275	всей своей	1	2
276	знает и	1	2
277	пространство и	1	2
278	то или	1	2
279	в процессе	2	2
280	себя как	1	2
281	как к	2	2
282	в качестве	31	2
283	соответствии с	2	2
284	и эта	1	2
285	акт и	1	2
286	себя и	4	2
287	с его	3	2
288	если не	1	2
289	смыслу и	1	2
290	не остается	2	2
291	научного мышления	2	2
292	и эти	1	2
293	чтобы быть	1	2
294	этот факт	1	2
295	в области	4	2
296	его жизни	1	2
297	раз и	1	2
298	что он	3	2
299	в ту	1	2
300	и то	2	2
301	к себе	1	2
