N	2gram	Losev_Prob_5	Sovremen
1	не может	5	17
2	может быть	7	12
3	точки зрения	10	12
4	таким образом	13	11
5	мы не	2	9
6	в этом	17	7
7	и в	30	7
8	мы можем	5	6
9	ничего не	2	6
10	как и	7	6
11	и не	12	6
12	в результате	7	6
13	только одна	1	6
14	и наконец	1	5
15	все эти	2	5
16	прежде всего	6	5
17	с точки	8	5
18	в дальнейшем	7	4
19	вопрос о	1	4
20	нет и	1	4
21	мы должны	1	4
22	в том	12	4
23	если мы	1	4
24	из них	2	4
25	же это	1	4
26	так как	6	4
27	не только	18	4
28	с помощью	2	4
29	как бы	6	4
30	вместе с	7	4
31	это не	2	4
32	их в	1	4
33	а в	6	4
34	жизни и	2	4
35	с самого	1	3
36	то же	2	3
37	ясно что	4	3
38	отнюдь не	4	3
39	все же	9	3
40	еще не	3	3
41	но в	9	3
42	он в	3	3
43	в этой	10	3
44	в себе	4	3
45	уже в	2	3
46	что она	1	3
47	в одном	3	3
48	в конце	8	3
49	в нем	6	3
50	при этом	4	3
51	из двух	1	3
52	на этой	1	3
53	было бы	4	3
54	а не	5	3
55	так называемых	1	3
56	и потому	1	3
57	не в	7	3
58	все это	1	3
59	самого начала	1	3
60	а все	1	3
61	для нас	10	3
62	и все	9	3
63	у нас	7	3
64	состоит из	1	3
65	и к	4	3
66	когда мы	1	3
67	к действию	1	3
68	в области	2	3
69	как мы	2	2
70	и есть	1	2
71	тем же	3	2
72	времени и	1	2
73	в и	1	2
74	и даже	14	2
75	настоящее время	3	2
76	и что	6	2
77	самом деле	2	2
78	говорить об	1	2
79	в его	12	2
80	с этим	1	2
81	в самом	5	2
82	по мнению	2	2
83	в которой	5	2
84	или же	2	2
85	что это	1	2
86	в нашем	1	2
87	из этих	1	2
88	с одной	3	2
89	со всеми	2	2
90	и они	2	2
91	уже не	6	2
92	то и	2	2
93	в виде	10	2
94	на его	2	2
95	тем не	5	2
96	который как	1	2
97	всяком случае	2	2
98	у него	11	2
99	и по	1	2
100	но все	4	2
101	то ни	2	2
102	значение в	1	2
103	или иной	1	2
104	а на	1	2
105	такой же	1	2
106	что такое	1	2
107	он должен	1	2
108	всего только	1	2
109	из которых	1	2
110	такого рода	2	2
111	же мы	1	2
112	не менее	5	2
113	на котором	1	2
114	в настоящее	3	2
115	из четырех	1	2
116	в науке	2	2
117	еще более	3	2
118	тот же	3	2
119	в свою	2	2
120	не могут	2	2
121	могут быть	1	2
122	что в	5	2
123	в таком	2	2
124	во всяком	2	2
125	и наиболее	2	1
126	должен быть	1	1
127	новое время	3	1
128	правда не	1	1
129	и это	1	1
130	человека и	4	1
131	с ее	1	1
132	человек же	1	1
133	на другой	1	1
134	на самом	1	1
135	это и	1	1
136	но тем	2	1
137	за все	2	1
138	характерное для	2	1
139	случае только	1	1
140	отношению к	2	1
141	и до	2	1
142	от всяких	2	1
143	что такой	2	1
144	значение но	1	1
145	по аналогии	1	1
146	можно было	2	1
147	мы уже	1	1
148	те же	1	1
149	их и	1	1
150	из всех	2	1
151	здесь нет	1	1
152	мы имеем	2	1
