N	3gram	Vinokur_Vv_1	Russkaja
1	то же время	5	10
2	в то же	5	10
3	с точки зрения	2	9
4	в том что	12	7
5	на самом деле	1	6
6	во всяком случае	3	6
7	для того чтобы	21	6
8	а между тем	1	5
9	до сих пор	5	5
10	бы то ни	1	4
11	не может быть	8	4
12	в этом случае	6	3
13	в лучшем случае	1	3
14	вместе с тем	3	3
15	можно было бы	3	3
16	и то что	2	3
17	в данном случае	4	3
18	в конце концов	2	3
19	той или иной	1	3
20	точно так же	2	2
21	в настоящее время	1	2
22	только в том	2	2
23	в значительной мере	1	2
24	вся эта работа	1	2
25	все что может	1	2
26	тот факт что	1	2
27	не могут не	1	2
28	чтобы понять что	1	2
29	и в том	3	2
30	лишь в том	1	2
31	того или иного	1	2
32	о том что	12	2
33	о котором идет	1	2
34	к тому что	1	2
35	сама по себе	3	2
36	в другом месте	2	1
37	и того же	2	1
38	в том виде	3	1
39	это есть та	1	1
40	том виде как	1	1
41	его можно было	1	1
42	состоит в том	2	1
43	в начале этой	1	1
44	которая как мы	1	1
45	прежде всего в	1	1
46	дело в том	2	1
47	в свою очередь	1	1
48	по отношению к	4	1
49	это то же	1	1
50	одной из этих	1	1
51	в самом деле	5	1
52	то же самое	2	1
53	в том же	1	1
54	мы уже знаем	1	1
55	данном случае и	1	1
56	в нем все	1	1
57	чтобы сделать эти	1	1
58	так смотрят на	1	1
59	от этого не	1	1
60	и те кто	1	1
61	представить себе что	2	1
62	только то что	1	1
63	в этом отношении	3	1
64	у разных народов	1	1
65	что не только	1	1
66	совершенно ясно что	1	1
67	заключает в себе	1	1
68	на этот вопрос	3	1
69	по крайней мере	4	1
70	есть только один	1	1
71	в значительной степени	1	1
72	но не к	1	1
73	в применении к	6	1
74	же время в	1	1
75	в том чтобы	5	1
76	но в то	3	1
77	то ни было	1	1
78	как видно из	1	1
79	ни к какому	1	1
80	лишь к тому	1	1
81	смысле этого слова	2	1
82	в течение очень	1	1
83	и в этом	3	1
84	жизни данного народа	1	1
85	в связи с	2	1
86	также и то	1	1
87	идет речь не	1	1
88	о котором мы	1	1
89	так же как	1	1
90	ее отношения к	1	1
91	потому что и	1	1
92	русского языка и	1	1
93	а в том	1	1
94	народов и в	2	1
95	конкретно представить себе	1	1
96	так чтобы в	1	1
97	от того что	1	1
98	заключается в том	3	1
99	говорить о том	1	1
100	тех или иных	3	1
101	смотреть как на	1	1
102	с самого начала	1	1
103	может оказаться для	1	1
104	вопрос о том	5	1
105	но все же	3	1
106	но ведь в	1	1
107	одного и того	2	1
108	данной национальной культуры	2	1
109	но и обратно	1	1
110	трудно видеть что	5	1
111	было бы обозначить	1	1
112	с идеями национального	1	1
113	только в этом	1	1
114	тем не менее	8	1
115	во многих случаях	1	1
116	и прежде всего	1	1
117	и это особенно	1	1
118	нечего и говорить	1	1
119	течение очень долгого	1	1
120	не трудно видеть	6	1
