N	2gram	Losev_Vesc_1	Literetu
1	не только	36	24
2	при этом	1	19
3	в качестве	1	17
4	но и	18	17
5	в том	8	16
6	а не	19	16
7	в частности	1	15
8	том что	8	14
9	тогда как	1	13
10	может быть	16	13
11	и не	29	12
12	в этом	4	12
13	в своем	6	11
14	прежде всего	9	11
15	то что	27	10
16	или иначе	4	9
17	так или	4	8
18	не в	5	8
19	и в	21	8
20	только в	14	8
21	как это	2	8
22	я и	6	7
23	я не	4	7
24	как бы	12	7
25	в себе	14	7
26	не менее	3	7
27	в его	2	7
28	уже не	9	7
29	и я	1	6
30	как и	8	6
31	точки зрения	5	6
32	того что	8	6
33	в жизни	3	6
34	себя в	10	6
35	то же	6	5
36	отличие от	1	5
37	не столько	1	5
38	в отличие	1	5
39	в то	3	5
40	для себя	5	5
41	искусства и	1	5
42	а также	1	5
43	же в	1	5
44	что он	1	5
45	уже в	1	5
46	не может	17	5
47	в данном	5	5
48	с этой	4	5
49	я в	2	5
50	с его	1	5
51	тем самым	1	5
52	в своей	5	4
53	еще не	8	4
54	но не	5	4
55	в этой	3	4
56	все же	4	4
57	по преимуществу	2	4
58	перестает быть	3	4
59	в силу	3	4
60	с собой	2	4
61	уме своем	1	4
62	для этого	4	4
63	в уме	3	4
64	и его	2	4
65	данном случае	2	4
66	никогда не	2	4
67	так и	3	4
68	и тем	3	4
69	из них	4	4
70	в конце	2	4
71	как раз	9	4
72	со стороны	5	4
73	это не	5	4
74	в своих	1	4
75	в сфере	4	3
76	и есть	26	3
77	также и	6	3
78	самого себя	1	3
79	в самом	9	3
80	в принципе	1	3
81	таким образом	8	3
82	той же	2	3
83	его в	2	3
84	далеко не	1	3
85	он и	1	3
86	несмотря на	1	3
87	не мог	1	3
88	но в	5	3
89	дело в	4	3
90	одна из	5	3
91	в основе	3	3
92	свое собственное	1	3
93	к себе	4	3
94	ли не	1	3
95	в виду	2	3
96	в пределах	1	3
97	приводит к	1	3
98	одного из	1	3
99	сводится к	2	3
100	нуждается в	1	3
101	по своей	2	3
102	один из	3	3
103	и прежде	1	3
104	сознание в	1	3
105	потому что	16	3
106	этом в	1	3
107	одно из	1	3
108	у него	2	3
109	и даже	6	3
110	с другой	6	3
111	еще и	8	3
112	не было	1	3
113	да и	3	3
114	этой точки	1	3
115	жизни и	2	3
116	что в	9	3
117	а в	4	3
118	же и	1	3
119	во всяком	3	3
120	чтобы не	1	2
121	человека и	1	2
122	должно стать	1	2
123	того же	5	2
124	и то	10	2
125	самом деле	4	2
126	от самого	1	2
127	из его	2	2
128	должна быть	4	2
129	для своего	1	2
130	и само	2	2
131	та же	1	2
132	в сущности	4	2
133	на себя	1	2
134	из того	2	2
135	то это	3	2
136	и самого	1	2
137	во имя	1	2
138	могло быть	1	2
139	то он	1	2
140	а только	3	2
141	нет не	1	2
142	мне но	1	2
143	относится к	5	2
144	отнюдь не	5	2
145	и нет	1	2
146	бы я	2	2
147	или иную	2	2
148	только то	2	2
149	все эти	3	2
150	из этих	1	2
151	но без	1	2
152	тому же	1	2
153	с чем	7	2
154	в нем	2	2
155	в нашей	1	2
156	же это	4	2
157	не к	1	2
158	подобно тому	4	2
159	на этом	2	2
160	различие между	2	2
161	здесь как	1	2
162	для нее	2	2
163	было бы	14	2
164	в слове	2	2
165	и того	2	2
166	бы на	1	2
167	что такое	12	2
168	всяком случае	2	2
169	с точки	3	2
170	мы в	1	2
171	от себя	1	2
172	что я	24	2
173	в россии	2	2
174	тем не	3	2
175	однако в	1	2
176	именно так	1	2
177	раз и	1	2
178	дело не	2	2
179	мышления и	1	2
180	жизни не	1	2
181	как будто	1	2
182	этом отношении	1	2
183	могут быть	1	2
184	к тому	3	2
185	должен быть	2	2
186	в себя	13	2
