N	2gram	Tiupa_Narr_1	Vvedenie
1	и в	19	32
2	в том	18	31
3	в этом	17	30
4	том что	14	26
5	может быть	25	26
6	не только	32	22
7	таким образом	1	19
8	также и	1	18
9	то что	11	16
10	потому что	1	15
11	не может	10	14
12	но также	1	14
13	в самом	1	13
14	в нем	4	13
15	о том	6	13
16	со стороны	9	13
17	в их	1	12
18	в общем	1	12
19	представляет собой	13	12
20	в его	9	12
21	того что	1	12
22	только в	4	12
23	и не	20	12
24	как мы	3	11
25	в ее	3	11
26	в данном	5	11
27	языка и	2	10
28	что в	3	10
29	то же	4	9
30	и как	5	9
31	но в	6	9
32	по себе	5	9
33	как об	1	9
34	между тем	3	9
35	в той	6	9
36	этом смысле	1	9
37	это не	2	8
38	не в	14	8
39	тем не	3	8
40	не менее	3	8
41	с другой	8	8
42	именно в	6	8
43	самом деле	2	7
44	но не	5	7
45	все же	7	7
46	было бы	4	7
47	точки зрения	10	7
48	можно было	2	7
49	филологии в	1	7
50	дело с	2	7
51	прежде всего	4	7
52	о котором	1	7
53	из этих	3	6
54	том чтобы	1	6
55	его в	2	6
56	как и	7	6
57	вовсе не	1	6
58	в то	3	6
59	в качестве	21	6
60	же время	4	6
61	тем что	3	6
62	не могут	1	6
63	один из	3	6
64	и его	5	6
65	и даже	3	6
66	до сих	1	6
67	но и	23	6
68	а именно	3	6
69	сих пор	1	6
70	хотя бы	4	6
71	культуры как	1	6
72	одним из	2	5
73	мере в	1	5
74	а как	1	5
75	в целом	1	5
76	иное как	2	5
77	об этом	1	5
78	и тем	4	5
79	данном случае	4	5
80	в них	1	5
81	в которых	1	5
82	сказать что	4	5
83	могут быть	3	5
84	уже в	3	5
85	не есть	3	5
86	представляют собой	2	5
87	что не	4	5
88	а не	12	5
89	по своему	1	5
90	как бы	4	5
91	той мере	1	5
92	другой стороны	4	5
93	в какой	2	5
94	и то	1	4
95	как это	6	4
96	в первом	3	4
97	мы имеем	2	4
98	что иное	2	4
99	по отношению	7	4
100	независимо от	2	4
101	как уже	1	4
102	от этого	1	4
103	уже не	5	4
104	так или	2	4
105	в себе	8	4
106	истории и	2	4
107	должен был	1	4
108	в котором	1	4
109	по крайней	1	4
110	как о	1	4
111	не имеет	2	4
112	в тексте	16	4
113	и т.д	7	4
114	времени и	7	4
115	внимание на	1	4
116	крайней мере	1	4
117	еще не	7	4
118	что он	6	4
119	и ее	2	4
120	с одной	7	4
121	этого понятия	2	4
122	одно из	2	4
123	само по	1	4
124	как раз	2	4
125	этом отношении	3	4
126	в особенности	4	4
127	что могло	1	4
128	одной стороны	7	4
129	знаний и	1	4
130	или иначе	3	4
131	о чем	2	4
132	видит в	1	4
133	с этой	1	4
134	и для	2	4
135	а в	11	4
136	взгляда на	1	4
137	не что	2	4
138	отношению к	6	4
139	и есть	1	3
140	на историю	1	3
141	в сущности	3	3
142	говорить о	2	3
143	в виду	1	3
144	и на	3	3
145	он сам	2	3
146	в различных	1	3
147	в чем	1	3
148	своего рода	12	3
149	совсем не	1	3
150	ответ на	1	3
151	хотя и	3	3
152	и к	1	3
153	за собой	4	3
154	что это	3	3
155	все эти	2	3
156	в этой	5	3
157	в известном	2	3
158	при этом	9	3
159	если бы	1	3
160	не как	2	3
161	отношений между	1	3
162	свое время	1	3
163	на этом	1	3
164	в свое	1	3
165	с прошлым	1	3
166	и уже	1	3
167	мы видели	1	3
168	текст и	1	3
169	однако в	2	3
170	дело в	1	3
171	дело не	1	3
172	своей природе	1	3
173	связи с	4	3
174	как будто	3	3
175	в области	2	3
176	но все	4	3
177	в ней	3	3
178	в собственном	2	3
179	на том	3	3
180	во второй	2	3
181	и вообще	1	3
182	можно сказать	5	3
183	а также	7	3
184	времени в	2	3
185	в конечном	3	3
186	к нему	5	3
187	известном смысле	2	3
188	одной из	4	3
189	может оказаться	2	3
190	до нас	1	3
191	в начале	1	3
192	из них	3	3
193	в конце	1	3
194	что и	1	3
195	отношение к	2	3
196	может служить	1	3
197	именно как	1	3
198	говорит о	2	3
199	зависит от	2	3
200	так же	2	3
201	такого рода	7	3
202	да и	4	3
203	с историей	1	3
204	в своем	2	3
205	к тому	7	3
206	в результате	2	3
207	культуры в	1	3
208	в частности	14	3
209	же как	3	2
210	как наука	1	2
211	наших дней	1	2
212	и до	2	2
213	из его	1	2
214	должна быть	2	2
215	что мы	2	2
216	мы уже	1	2
217	есть не	1	2
218	мы не	1	2
219	что если	1	2
220	а во-вторых	1	2
221	жизни как	3	2
222	и со	1	2
223	которое в	1	2
224	того же	1	2
225	целое и	1	2
226	время в	2	2
227	тогда как	12	2
228	надо было	1	2
229	с текстами	1	2
230	что нет	2	2
231	ни одна	1	2
232	всего к	1	2
233	и совершенно	1	2
234	в принципе	4	2
235	в силу	4	2
236	какой бы	1	2
237	подобно тому	2	2
238	не бывает	1	2
239	в другом	1	2
240	и с	4	2
241	входит в	1	2
242	на протяжении	6	2
243	в соответствии	1	2
244	который по	3	2
245	в прошлом	3	2
246	но уже	1	2
247	соответствии с	1	2
248	несмотря на	2	2
249	как сказано	1	2
250	ни с	1	2
251	и тогда	1	2
252	не мог	4	2
253	и при	1	2
254	и сейчас	2	2
255	с точки	2	2
256	состоит в	13	2
257	не столько	4	2
258	мысли и	1	2
259	не могли	1	2
260	том же	1	2
261	культурной жизни	1	2
262	одна из	3	2
263	это еще	1	2
264	никогда не	3	2
265	ничего не	2	2
266	от того	1	2
267	у нас	1	2
268	художественной литературы	3	2
269	когда мы	2	2
270	истории не	1	2
271	как только	1	2
272	той или	4	2
273	в работах	1	2
274	если же	1	2
275	от филологии	1	2
276	то она	2	2
277	и сам	1	2
278	из двух	3	2
279	так и	9	2
280	не с	3	2
281	мог бы	3	2
282	же самое	1	2
283	к языку	1	2
284	преимущественно в	1	2
285	и здесь	1	2
286	с соответствующими	1	2
287	в значительной	2	2
288	во всех	1	2
289	однако с	1	2
290	во втором	4	2
291	нуждается в	5	2
292	в форме	5	2
293	тем более	2	2
294	все время	1	2
295	если это	1	2
296	которой в	1	2
297	быть и	1	2
298	здесь не	4	2
299	до наших	1	2
300	каждый из	2	2
301	от других	1	2
302	мы можем	1	2
303	или иной	5	2
304	по его	1	2
305	и др	2	2
306	не было	2	2
307	что несмотря	1	2
308	нельзя признать	1	2
309	в связи	2	2
310	историю и	1	2
311	с чисто	1	2
312	из которых	4	2
313	истории в	3	2
314	а если	2	2
315	этого слова	2	2
316	тому как	2	2
317	того не	1	2
318	по существу	2	2
319	еще раз	1	2
320	но это	1	2
321	и развития	1	2
322	и сама	1	2
323	не существует	3	2
324	между ними	2	2
325	это может	1	2
326	но зато	1	2
327	будто бы	3	2
328	идет об	1	2
329	хотя в	2	2
330	нами не	2	2
331	он и	1	2
332	жизни и	3	2
333	точно так	2	2
334	например в	2	1
335	на данный	1	1
336	сам по	1	1
337	на самом	1	1
338	значении этого	3	1
339	только потому	1	1
340	человека к	1	1
341	это и	3	1
342	он почувствовал	1	1
343	как такового	1	1
344	традиции как	1	1
345	отношения между	1	1
346	на две	1	1
347	речь идет	4	1
348	др в	1	1
349	видеть в	1	1
350	отношения к	2	1
351	согласно которой	1	1
352	и за	1	1
353	и могут	1	1
354	обнаруживают за	1	1
355	бы уже	1	1
356	и ничего	1	1
357	уже более	1	1
358	та же	2	1
359	таком случае	2	1
360	тексте не	1	1
361	приводят к	1	1
362	есть нечто	1	1
363	выше но	1	1
364	таковы например	1	1
365	меньшей степени	1	1
366	разумеется не	1	1
367	на них	1	1
368	в уста	1	1
369	этот текст	1	1
370	нам представляется	1	1
371	более того	1	1
372	традиции это	1	1
373	одна за	1	1
374	это бывает	1	1
375	в область	2	1
376	но как	2	1
377	в спальню	1	1
378	в противовес	4	1
379	очевидно что	1	1
380	как в	7	1
381	в новом	1	1
382	отличие от	5	1
383	никакой истории	1	1
384	нет и	2	1
385	или иное	2	1
386	произведение в	1	1
387	что они	3	1
388	форме и	1	1
389	этой системе	1	1
390	от содержания	1	1
391	дает нам	1	1
392	как к	2	1
393	ними и	1	1
394	что по	2	1
395	более или	2	1
396	себе не	2	1
397	как иногда	1	1
398	но смысл	1	1
399	также как	1	1
400	или иную	2	1
401	то в	6	1
402	них как	1	1
403	проблем в	1	1
404	именно такого	1	1
405	и тот	2	1
406	тому же	5	1
407	но на	1	1
408	обоих этих	1	1
409	не могла	1	1
410	различными его	1	1
411	на его	1	1
412	с чем	2	1
413	больше всего	1	1
414	текстах и	1	1
415	в какой-то	1	1
416	быть квалифицированы	1	1
417	слова а	1	1
418	же здесь	1	1
419	без чего	3	1
420	собой не	2	1
421	фактической стороны	1	1
422	уже говорилось	1	1
423	новое и	1	1
424	его от	1	1
425	именно это	2	1
426	объект и	1	1
427	подход к	2	1
428	то ни	3	1
429	как они	1	1
430	что все	1	1
431	различие между	2	1
432	с позиций	1	1
433	зрения на	2	1
434	сообщение о	1	1
435	лишь в	1	1
436	того или	2	1
437	за другой	1	1
438	практически не	1	1
439	сообщениями о	1	1
440	особое отношение	1	1
441	его и	1	1
442	этом качестве	1	1
443	поэтика и	1	1
444	в слове	1	1
445	не всегда	2	1
446	она неизбежно	1	1
447	иначе говоря	6	1
448	и того	1	1
449	процесса то	1	1
450	одного и	1	1
