N	3gram	Bakhtin_KF_1	Problemy
1	с точки зрения	9	9
2	не может быть	11	8
3	в большинстве случаев	1	8
4	по отношению к	22	5
5	то же время	2	5
6	в то же	2	5
7	имеем в виду	2	3
8	а следовательно и	1	2
9	вся жизнь в	1	2
10	нет и не	1	2
11	дело в том	1	2
12	в этом смысле	3	2
13	оно должно быть	1	2
14	рядом с собой	1	2
15	в том что	2	2
16	слово может быть	1	2
17	как если бы	1	2
18	но в то	1	2
19	той или иной	2	2
20	конечно не в	1	2
21	во всех его	1	2
22	и не в	1	2
23	а не я	2	1
24	но прежде всего	1	1
25	в этом его	2	1
26	не может не	1	1
27	а не к	1	1
28	и совершенно не	1	1
29	ровно ничего не	1	1
30	и в определенных	1	1
31	в этом последнем	1	1
32	в котором он	3	1
33	в средние века	1	1
34	в том же	1	1
35	людей и их	1	1
36	друг против друга	1	1
37	себе как к	1	1
38	пространства и времени	1	1
39	точки зрения его	1	1
40	все в этом	1	1
41	не было и	1	1
42	это в корне	1	1
43	и во всех	1	1
44	в его конкретной	1	1
45	и в то	1	1
46	хотя бы и	1	1
47	между тем как	3	1
48	ведь это не	1	1
49	может быть и	1	1
50	в значительной степени	1	1
51	не совпадает с	1	1
52	там где есть	1	1
53	пространство и время	1	1
54	здесь вовсе не	1	1
55	мы будем говорить	1	1
56	если бы оно	1	1
57	никогда не может	1	1
58	а не как	1	1
59	во всяком случае	1	1
60	вместо того чтобы	1	1
61	не в одном	1	1
62	бы оно было	1	1
63	пространственную и временную	1	1
64	к себе как	2	1
65	слово не только	1	1
66	в его мире	1	1
67	что может быть	1	1
68	единого и единственного	9	1
69	но в этом	1	1
70	в нем эта	1	1
71	и не знает	1	1
72	в его собственном	1	1
73	не в этом	1	1
74	если бы не	1	1
75	не я и	1	1
76	времени и пространства	1	1
77	как и всякое	1	1
78	к тому что	1	1
79	в себя как	1	1
80	не о том	1	1
81	дело не в	1	1
82	и в каких	1	1
83	а именно в	1	1
84	бы не было	1	1
85	только в себе	1	1
