N	3gram	Vinokur_St_3	formyVre
1	и т п	6	11
2	с точки зрения	4	8
3	в связи с	3	7
4	для того чтобы	1	7
5	не только в	3	5
6	в том же	1	4
7	то же время	3	4
8	в то же	3	4
9	но и в	2	3
10	к вопросу о	1	3
11	и в этом	2	3
12	во всех этих	2	3
13	в том что	11	3
14	и т д	2	3
15	прежде всего в	3	2
16	то же самое	1	2
17	до сих пор	2	2
18	в этом отношении	4	2
19	у него есть	2	2
20	связи с этим	1	2
21	на протяжении всего	1	2
22	мы имеем в	2	2
23	тем более что	2	2
24	каждая из этих	1	1
25	во время чумы	2	1
26	даже там где	1	1
27	не может не	1	1
28	в той или	1	1
29	и для самого	1	1
30	там где они	1	1
31	на самом деле	1	1
32	и так сказать	1	1
33	каждой из них	1	1
34	том что он	1	1
35	тот или иной	1	1
36	важно подчеркнуть что	1	1
37	в конце концов	3	1
38	между тем как	2	1
39	то что в	1	1
40	в частности на	1	1
41	с этой точки	1	1
42	вместе с тем	1	1
43	то время как	4	1
44	в них как	1	1
45	с одной стороны	2	1
46	в значительной мере	1	1
47	время чумы и	1	1
48	прежде всего необходимо	1	1
49	все более и	2	1
50	объясняется тем что	1	1
51	прежде всего образ	1	1
52	все это было	1	1
53	с другой стороны	4	1
54	в наибольшей степени	1	1
55	не может быть	5	1
56	свое место в	1	1
57	этой точки зрения	1	1
58	самом деле может	1	1
59	но в конце	1	1
60	из этих форм	1	1
61	такие слова как	1	1
62	в то время	4	1
63	в свою очередь	1	1
64	в этом выражении	1	1
65	ни для кого	1	1
66	о том что	4	1
67	в одном из	1	1
68	в которой проявляется	1	1
69	с тем что	3	1
70	с самого начала	2	1
71	более и более	2	1
72	т п в	1	1
73	но все же	2	1
74	можно сказать что	1	1
75	и в результате	1	1
76	в данном отношении	1	1
77	и у шекспира	1	1
78	в другом случае	1	1
79	к тому что	2	1
80	вовсе не является	1	1
81	форма в которой	1	1
82	как мы видели	1	1
83	той или иной	1	1
84	и в другом	1	1
85	то есть с	1	1
