N	3gram	Propp_Morf_1	NovoeSre
1	в высшей степени	1	6
2	не может быть	9	4
3	подобно тому как	5	3
4	в наши дни	1	3
5	не значит что	2	3
6	с одной стороны	1	2
7	это не значит	2	2
8	с другой стороны	4	2
9	ни одна из	1	2
10	по своему строению	1	1
11	нужно помнить что	1	1
12	то время как	3	1
13	до сих пор	1	1
14	что он может	1	1
15	том случае если	1	1
16	наряду с этим	3	1
17	но наряду с	1	1
18	в том случае	1	1
19	совсем не означает	1	1
20	не могут быть	2	1
21	то что он	1	1
22	этого не знает	1	1
23	во всяком случае	2	1
24	смысле слова а	1	1
25	о том что	1	1
26	в то время	3	1
27	то что в	2	1
28	это значит что	1	1
29	как будто не	2	1
30	которые могут быть	1	1
31	в большинстве случаев	3	1
32	от вопроса о	1	1
33	в том что	3	1
34	как и в	2	1
