N	2gram	Voloshinov_1	VrazhdaK
1	не только	8	9
2	в этом	16	8
3	лишнего человека	2	8
4	и в	19	8
5	и что	1	8
6	но и	8	7
7	и все	5	7
8	то что	8	7
9	что в	4	7
10	все же	8	6
11	но в	7	6
12	в нем	10	6
13	как и	12	6
14	в котором	3	6
15	и с	2	6
16	о нем	1	6
17	в начале	5	6
18	и даже	2	6
19	– это	8	6
20	в романе	2	6
21	то же	7	5
22	в то	3	5
23	же время	3	5
24	между тем	3	5
25	не было	3	5
26	в россии	1	5
27	и не	26	5
28	в ней	4	4
29	что он	2	4
30	в истории	3	4
31	целый ряд	3	4
32	при этом	8	4
33	это не	1	4
34	все это	3	4
35	в виду	2	4
36	о том	2	4
37	уже в	1	4
38	может быть	26	4
39	как бы	15	4
40	в своих	2	4
41	так же	7	4
42	одним из	2	3
43	в чем	2	3
44	с его	1	3
45	в своем	2	3
46	и как	3	3
47	его в	3	3
48	он не	3	3
49	далеко не	4	3
50	том что	3	3
51	что есть	1	3
52	в русской	2	3
53	и его	19	3
54	связи с	11	3
55	человека в	2	3
56	и во	2	3
57	в его	6	3
58	в том	6	3
59	чтобы он	1	3
60	в конце	5	3
61	тем что	2	3
62	в связи	7	3
63	к этому	5	3
64	же как	2	2
65	и то	1	2
66	сознания своей	1	2
67	и он	2	2
68	он сам	1	2
69	столь же	1	2
70	но как	1	2
71	ответ на	1	2
72	в эти	2	2
73	отнюдь не	6	2
74	в известном	1	2
75	в той	1	2
76	его на	1	2
77	в этой	1	2
78	в себе	2	2
79	после этого	1	2
80	их в	1	2
81	нашего времени	1	2
82	таким образом	17	2
83	об этой	1	2
84	рядом с	5	2
85	лишних людей	1	2
86	мы знаем	5	2
87	на первый	2	2
88	во время	1	2
89	точки зрения	34	2
90	в своей	3	2
91	и ее	3	2
92	с точки	20	2
93	место в	3	2
94	не менее	4	2
95	одна из	2	2
96	никогда не	2	2
97	и это	3	2
98	же не	1	2
99	на основе	1	2
100	еще не	4	2
101	этот момент	2	2
102	пришел к	1	2
103	уже не	1	2
104	при помощи	1	2
105	из них	3	2
106	для него	9	2
107	от сознания	1	2
108	отношение к	1	2
109	как раз	2	2
110	и т.п	10	2
111	как же	4	2
112	о чем	1	2
113	не может	24	2
114	что я	1	2
115	а в	4	2
116	в свою	2	2
117	а между	1	1
118	от этой	1	1
119	этого в	1	1
120	ко всем	1	1
121	также и	1	1
