N	3gram	Nazirov_Tr_1	Problema
1	тем не менее	1	10
2	в том что	2	8
3	сам по себе	1	6
4	в данном случае	2	5
5	во всяком случае	1	4
6	не только не	1	4
7	точно так же	2	3
8	в связи с	1	3
9	о том что	2	3
10	хотя бы и	1	2
11	все эти образы	1	2
12	и в частности	2	2
13	это не просто	1	2
14	в то же	5	2
15	искусством для искусства	1	2
16	искусство для искусства	1	1
17	но все же	2	1
18	не так ли	1	1
19	ни за что	1	1
20	в таком виде	1	1
21	том что он	1	1
22	по сравнению с	1	1
23	униженных и оскорбленных	16	1
24	эти образы и	1	1
25	что он с	1	1
26	и не может	1	1
27	преступлении и наказании	2	1
28	что он не	1	1
29	во французской литературе	1	1
30	униженные и оскорбленные	9	1
31	за то что	1	1
32	и то что	1	1
33	отнюдь не является	1	1
34	как и его	1	1
35	за что не	1	1
36	все эти черты	1	1
37	и потому как	1	1
38	в конце концов	1	1
39	никто не скажет	1	1
40	в чем же	1	1
41	это тот самый	1	1
42	и оскорбленных и	1	1
43	романа униженные и	1	1
44	у достоевского не	1	1
45	и как бы	2	1
46	не скажет что	1	1
47	бы и не	1	1
48	в преступлении и	2	1
49	бросается в глаза	2	1
50	так и в	3	1
51	и вместе с	1	1
52	это и есть	1	1
53	и т п	1	1
54	с самого начала	1	1
55	несмотря на всю	1	1
56	несмотря на все	1	1
57	в братьях карамазовых	1	1
58	об этом свидетельствует	1	1
59	к тому что	1	1
60	как и в	1	1
