N	2gram	Propp_Russ_1	Formalny
1	т е	17	32
2	и не	6	30
3	и в	36	27
4	может быть	8	25
5	не может	4	24
6	так и	7	21
7	и его	1	19
8	в этом	12	18
9	таким образом	6	18
10	а не	2	17
11	самом деле	1	16
12	точки зрения	3	16
13	то же	3	15
14	в нем	2	15
15	и пр	2	15
16	между ними	1	15
17	на самом	2	14
18	как и	10	14
19	с точки	3	14
20	если бы	1	12
21	и т	10	11
22	в жизни	2	11
23	не могут	1	10
24	место в	1	10
25	но и	16	10
26	не только	22	9
27	так как	15	9
28	так же	3	9
29	отнюдь не	2	8
30	как бы	5	8
31	при этом	6	8
32	входит в	4	8
33	ни в	1	8
34	как мы	10	8
35	в пределах	1	8
36	только в	4	8
37	то что	6	8
38	и все	1	8
39	что в	19	8
40	тем же	1	7
41	с тем	8	7
42	не менее	3	7
43	потому что	10	7
44	его в	1	7
45	между тем	7	7
46	в его	2	7
47	в том	17	7
48	для них	3	7
49	там где	2	7
50	все это	6	7
51	в то	1	7
52	еще не	4	6
53	но в	2	6
54	все эти	2	6
55	т д	9	6
56	и ее	1	6
57	всяком случае	1	6
58	и теперь	1	6
59	было бы	1	6
60	что он	1	6
61	вместе с	10	6
62	в данном	1	6
63	все же	5	6
64	и для	2	6
65	в своих	2	6
66	во всяком	1	6
67	зависимости от	1	5
68	совсем не	1	5
69	но не	2	5
70	в истории	1	5
71	независимо от	2	5
72	что именно	2	5
73	в каждом	2	5
74	если же	1	5
75	в ней	2	5
76	что они	7	5
77	в дальнейшем	2	5
78	связи с	4	5
79	большинстве случаев	2	5
80	и их	4	5
81	т п	1	5
82	тем что	4	5
83	и потому	2	5
84	тому как	1	5
85	не является	1	5
86	можно говорить	2	4
87	мы не	6	4
88	смысл и	1	4
89	он был	2	4
90	как в	5	4
91	и как	2	4
92	в целом	2	4
93	и те	3	4
94	бы ни	1	4
95	подобно тому	1	4
96	данном случае	1	4
97	мы знаем	1	4
98	том что	19	4
99	она не	2	4
100	тогда когда	1	4
101	мы можем	2	4
102	могут быть	2	4
103	к тому	4	4
104	следовательно и	1	4
105	о том	8	4
106	связь между	2	4
107	уже в	1	4
108	в большинстве	2	4
109	только на	3	4
110	до конца	2	4
111	в связи	4	4
112	мы видели	1	4
113	как это	8	4
114	между собой	2	4
115	жизни и	1	4
116	они не	1	4
117	к материалу	2	3
118	же как	1	3
119	того же	1	3
120	должна быть	1	3
121	мы уже	1	3
122	в виду	1	3
123	и на	10	3
124	в которых	5	3
125	во всех	4	3
126	а и	5	3
127	что это	3	3
128	в себе	1	3
129	сливаются в	1	3
130	и с	2	3
131	те же	1	3
132	это не	10	3
133	и тем	1	3
134	он и	1	3
135	в этих	3	3
136	и более	2	3
137	по отношению	1	3
138	тому что	4	3
139	в основе	1	3
140	для нас	6	3
141	этом отношении	1	3
142	они и	2	3
143	оно не	1	3
144	еще в	4	3
145	жизнь и	1	3
146	никак не	1	3
147	и что	4	3
148	можно сказать	1	3
149	их в	3	3
150	в них	6	3
151	и следовательно	1	3
152	в какой	2	3
153	одни и	1	3
154	уже не	6	3
