N	3gram	Losev_Vesc_1	Dialekti
1	и т д	19	23
2	это значит что	19	21
3	с точки зрения	3	14
4	тем не менее	3	10
5	не только не	2	7
6	т д и	5	6
7	что иное как	7	6
8	не может быть	6	6
9	не что иное	7	6
10	от всего прочего	5	5
11	вовсе не есть	6	5
12	в самом деле	4	5
13	сам по себе	3	5
14	по крайней мере	4	5
15	есть то что	4	5
16	д и т	5	5
17	само по себе	1	5
18	о том что	4	5
19	то это значит	2	4
20	подобно тому как	4	4
21	значит что мы	5	4
22	то время как	1	4
23	т е в	7	4
24	в то время	1	4
25	я утверждаю что	2	4
26	и больше ничего	8	4
27	сама по себе	3	4
28	т е не	2	4
29	не есть просто	4	4
30	крайней мере в	1	3
31	и не только	4	3
32	то ясно что	1	3
33	имеется в виду	1	3
34	что она есть	2	3
35	как раз и	1	3
36	сами по себе	3	3
37	ни в коем	1	3
38	е не есть	1	3
39	в коем случае	1	3
40	даже и не	1	3
41	с одной стороны	3	3
42	не есть ни	3	3
43	в том что	4	3
44	есть не что	5	3
45	не есть нечто	1	3
46	то что мы	2	3
47	и что такое	1	3
48	коем случае не	1	3
49	ничего не говорит	1	3
50	на то что	2	3
51	я не буду	1	3
52	только тогда когда	2	3
53	ни от чего	2	3
54	по себе отнюдь	1	2
55	но что это	1	2
56	она и есть	1	2
57	всего прочего и	1	2
58	хотя бы только	1	2
59	это было бы	1	2
60	но это значит	1	2
61	но то что	1	2
62	но даже и	2	2
63	– чтобы быть	2	2
64	тот или иной	1	2
65	не есть материя	1	2
66	что мы воспринимаем	1	2
67	будет все время	1	2
68	из того что	2	2
69	эти две сферы	1	2
70	в одинаковой мере	1	2
71	с тех пор	1	2
72	и можно ли	1	2
73	с этой точки	1	2
74	и тем не	1	2
75	в зависимости от	1	2
76	одно и то	4	2
77	отнюдь не есть	1	2
78	не говорит о	1	2
79	и есть подлинная	1	2
80	так же как	1	2
81	вещь не есть	1	2
82	что не есть	3	2
83	и то же	4	2
84	можно только тогда	1	2
85	того что она	2	2
86	с другой стороны	2	2
87	руки и ноги	2	2
88	чтобы она была	1	2
89	и не просто	3	2
90	во всяком случае	2	2
91	случае не есть	1	2
92	есть не только	2	2
93	по себе совершенно	1	2
94	что же такое	3	2
95	мыслить и воспринимать	1	2
96	этой точки зрения	1	2
97	не может существовать	1	2
98	только на то	1	2
99	мы не можем	1	2
100	это и есть	1	2
101	должна быть не	1	2
102	что это есть	3	2
103	и что она	1	2
104	что это значит?	2	2
105	к тому что	2	2
106	но это –	3	2
107	так или иначе	4	2
108	не только одно	1	1
109	не только то	1	1
110	мы о ней	1	1
111	может быть или	1	1
112	таким образом что	1	1
113	мы ведь и	1	1
114	больше ничего то	1	1
115	уже перестает быть	1	1
116	и есть то	2	1
117	а следовательно и	1	1
118	тех пор как	1	1
119	что же тогда	1	1
120	было бы и	3	1
121	и не состоит	1	1
122	как же она	1	1
123	ничем не отличаются	1	1
124	мы говорим что	3	1
125	вещи что же	1	1
126	тут мы переходим	1	1
127	что существует не	1	1
128	и у людей	1	1
129	не есть вещь	4	1
130	и во всяком	1	1
131	исторического процесса но	1	1
132	я не хочу	1	1
133	мы уже сказали	1	1
134	то как же	1	1
135	и в особенности	1	1
136	и даже не	3	1
137	т д словом	1	1
138	так что в	3	1
139	себе отнюдь не	1	1
140	то же самое	1	1
141	сказали мы есть	1	1
142	и значит что	1	1
143	одной стороны и	1	1
144	и вот когда	1	1
145	то что является	1	1
146	т д теперь	1	1
147	себе не содержит	1	1
148	о котором я	1	1
149	до сих пор	1	1
150	быть не просто	2	1
151	ничего не известно	1	1
152	и мыслить и	1	1
153	что мы имеем	1	1
154	вещь должна быть	2	1
155	потому что мне	1	1
156	необходимо должно быть	1	1
157	он и не	1	1
158	на что не	1	1
159	этого мы ведь	1	1
160	если она не	1	1
161	в этом отношении	1	1
162	от всего иного	3	1
163	и во всех	1	1
164	значит что она	3	1
165	значит не только	4	1
166	не значит ли	5	1
167	уже сказали что	1	1
168	слово слово –	1	1
169	и говорить о	1	1
170	пусть даже я	1	1
171	если оно не	1	1
172	и всякой иной	1	1
173	никто никогда не	1	1
174	тем или другим	1	1
175	вовсе даже не	1	1
176	это и значит	2	1
177	может быть только	3	1
178	есть стало быть	1	1
179	этих двух сфер	1	1
180	а это значит	1	1
181	в ней не	1	1
182	и делает ее	1	1
183	только потому что	1	1
184	и в частности	1	1
185	в применении к	1	1
186	ощущения и восприятия	1	1
187	а так как	2	1
188	в данном случае	2	1
189	что есть еще	1	1
190	есть не больше	1	1
191	и что он	1	1
192	т е чисто	1	1
193	прежде всего сама	1	1
194	у нее нет	1	1
195	с другой –	1	1
196	не значит что	1	1
197	только в виде	1	1
198	тому как и	1	1
199	взятая сама по	1	1
200	так что из	1	1
201	не содержит в	1	1
202	они должны быть	1	1
203	тех или других	4	1
204	и как бы	1	1
205	а не сама	1	1
206	не в том	1	1
207	уж во всяком	1	1
208	и без всякого	2	1
209	ни на что	1	1
210	так как мы	1	1
211	– что же	1	1
212	это не значит	1	1
213	это – не	1	1
214	имеем дело не	2	1
215	уже и не	1	1
216	т д на	1	1
217	существует не только	1	1
218	вообще но и	2	1
219	сказать что она	2	1
220	что все вещи	1	1
221	только история и	1	1
222	когда мы говорим	1	1
223	однако не только	1	1
224	но так как	1	1
225	– пустое и	1	1
226	и пр –	1	1
227	вовсе еще не	1	1
228	или ничем не	1	1
229	– об этом	1	1
230	содержит в себе	4	1
231	не мог бы	1	1
232	есть момент в	1	1
233	есть не просто	2	1
234	значит что в	1	1
235	быть не только	2	1
236	и кроме того	1	1
237	более или менее	1	1
238	в нем нет	1	1
239	мы оперируем не	1	1
240	только одна из	1	1
241	от того что	1	1
242	том смысле что	1	1
243	это потому что	1	1
244	уже не просто	2	1
245	что в ней	1	1
246	что это –	2	1
247	и это потому	1	1
248	что у него	1	1
249	еще даже и	1	1
250	с полной очевидностью	1	1
251	бы то ни	4	1
252	своих частей и	1	1
253	простым указанием на	1	1
254	то ни было	4	1
255	с этой стороны	1	1
256	от самой вещи	3	1
257	если бы я	2	1
258	вещи и больше	1	1
259	наиболее существенной и	1	1
260	в то же	1	1
261	в том смысле	1	1
262	тех или иных	1	1
263	и это –	3	1
264	ни от кого	1	1
265	и притом как	1	1
266	т е от	1	1
267	оперируем не с	1	1
268	своего собственного существования	1	1
269	шкаф не есть	1	1
270	в себе не	1	1
271	что и в	1	1
272	но еще и	3	1
273	не будет спорить	1	1
274	того или другого	1	1
275	метафизика т е	1	1
276	и есть только	1	1
277	я и хочу	2	1
