N	2gram	Medvedev_V_1	Vladivir
1	вл соловьева	1	152
2	с м	1	31
3	и в	26	30
4	в году	6	24
5	в этом	26	20
6	то что	6	20
7	у него	6	19
8	и не	19	18
9	в том	15	18
10	а н	1	14
11	что он	4	13
12	в конце	3	13
13	не только	25	12
14	том что	8	12
15	у вл	1	12
16	что в	10	12
17	как мы	1	11
18	в его	14	11
19	а в	3	11
20	сказать что	5	11
21	а также	1	10
22	не было	7	10
23	и даже	2	10
24	все же	5	9
25	кроме того	1	9
26	было бы	7	9
27	не в	6	9
28	в то	6	9
29	не может	17	9
30	для него	8	9
31	н н	2	9
32	потому что	1	9
33	в своем	8	8
34	но в	2	8
35	н в	1	8
36	связи с	4	8
37	в письме	13	8
38	но и	10	8
39	в связи	3	8
40	вместе с	7	8
41	к с	2	7
42	то есть	1	7
43	ни в	1	7
44	точки зрения	3	7
45	никогда не	4	7
46	не менее	2	7
47	может быть	22	7
48	а не	7	7
49	как это	12	7
50	между прочим	2	7
51	для нас	1	7
52	и все	1	7
53	также и	2	6
54	он был	1	6
55	хотя и	2	6
56	и к	3	6
57	в себе	6	6
58	об этом	9	6
59	и его	6	6
60	у нас	2	6
61	то время	1	6
62	только в	7	6
63	всяком случае	1	6
64	а именно	1	6
65	еще и	2	6
66	прежде всего	13	6
67	о чем	2	6
68	года в	1	6
69	к этому	9	6
70	жизни и	3	6
71	во всяком	1	6
72	и то	1	5
73	н ф	2	5
74	с этим	3	5
75	декабря года	1	5
76	то в	1	5
77	все эти	6	5
78	как и	7	5
79	в своей	4	5
80	в котором	3	5
81	по себе	2	5
82	в дальнейшем	1	5
83	это мы	3	5
84	так и	5	5
85	с ним	1	5
86	и что	1	5
87	к н	3	5
88	того что	3	5
89	но что	1	5
90	в течение	2	5
91	как бы	5	5
92	в основном	5	5
93	о его	2	5
94	все это	10	5
95	в результате	5	5
96	то же	10	4
97	то это	2	4
98	и он	2	4
99	в ней	2	4
100	что его	2	4
101	с его	3	4
102	отношение к	1	4
103	не очень	1	4
104	в которой	2	4
105	в целом	4	4
106	в этой	4	4
107	и если	1	4
108	на его	1	4
109	в нем	6	4
110	он не	2	4
111	его в	3	4
112	это было	1	4
113	эти годы	1	4
114	несмотря на	1	4
115	мы знаем	3	4
116	в этих	1	4
117	по крайней	2	4
118	вот что	9	4
119	здесь не	1	4
120	и вл	1	4
121	можно сказать	4	4
122	с а	1	4
123	о том	10	4
124	конечно не	1	4
125	вовсе не	3	4
126	крайней мере	2	4
127	что пишет	2	4
128	именно в	2	4
129	марта года	2	4
130	так же	3	4
131	с этой	1	4
132	но это	1	4
133	в начале	1	4
134	письме к	9	4
135	и наконец	2	4
136	на этот	1	4
137	него в	3	4
138	по поводу	2	4
139	это время	1	4
140	можно говорить	1	3
141	говоря о	1	3
142	именно к	1	3
143	быть в	1	3
144	во всех	6	3
145	но не	2	3
146	как в	1	3
147	и как	3	3
148	более или	6	3
149	так или	1	3
150	из этих	7	3
151	всех этих	2	3
152	таким образом	31	3
153	в них	4	3
154	должно быть	2	3
155	или менее	6	3
156	не столько	2	3
157	но он	1	3
158	том же	6	3
159	вплоть до	2	3
160	же время	5	3
161	учения о	1	3
162	к ней	1	3
163	в области	2	3
164	он и	2	3
165	и это	1	3
166	никак не	1	3
167	июня года	1	3
168	что и	3	3
169	января года	3	3
170	уже не	1	3
171	уже в	1	3
172	в виде	1	3
173	даже и	3	3
174	или иначе	1	3
175	наконец в	1	3
176	не говоря	1	3
177	конце концов	2	3
178	нет ничего	1	3
179	в данном	1	3
180	октября года	1	3
181	да и	1	3
182	по существу	3	3
183	и для	2	3
184	еще более	1	3
185	хотя бы	19	3
186	но вот	1	3
187	в свою	1	3
188	от декабря	1	3
189	в таком	1	3
190	это в	1	3
191	и особенно	1	3
192	также что	2	2
193	увидим ниже	1	2
194	сам по	1	2
195	и есть	5	2
196	очень много	1	2
197	из его	3	2
198	что эти	1	2
199	московского университета	1	2
200	приходит к	1	2
201	его не	3	2
202	что если	1	2
203	единство и	1	2
204	время как	1	2
205	не вполне	2	2
206	но то	2	2
207	а другие	1	2
208	есть для	1	2
209	не был	1	2
210	по своему	1	2
211	письмо к	1	2
212	только тогда	1	2
213	в общем	2	2
214	себе и	2	2
215	он пишет	7	2
216	за эти	2	2
217	мая года	2	2
218	есть его	1	2
219	в самом	4	2
220	бы с	1	2
221	как он	2	2
222	на то	1	2
223	а к	1	2
224	три года	2	2
225	в статье	4	2
226	том чтобы	2	2
227	и сам	1	2
228	и по	3	2
229	на этом	1	2
230	это значит	1	2
231	в работе	3	2
232	и может	2	2
233	заключается в	2	2
234	это не	7	2
235	кажется что	1	2
236	он же	5	2
237	этого не	1	2
238	с тем	3	2
239	которой он	1	2
240	мы видели	3	2
241	к а	1	2
242	еще в	1	2
243	и при	5	2
244	в их	5	2
245	говорил о	1	2
246	их в	6	2
247	даже в	5	2
248	а вот	2	2
249	с которой	1	2
250	она не	3	2
251	не имеет	1	2
252	тогда когда	2	2
253	того как	1	2
254	к этим	2	2
255	в самых	2	2
256	того чтобы	3	2
257	казалось бы	1	2
258	не о	2	2
259	в русском	1	2
260	как будто	1	2
261	от июня	1	2
262	больше того	1	2
263	уже о	1	2
264	начиная с	2	2
265	в совокупности	1	2
266	к тому	4	2
267	будто бы	2	2
268	вероятно в	1	2
269	можно и	1	2
270	но по	1	2
271	в виду	4	2
272	свою очередь	1	2
273	говоря уже	1	2
274	данном случае	1	2
275	и ту	1	2
276	вот это	2	2
277	о нем	1	2
278	прямо и	1	2
279	после того	1	2
280	в чем	2	2
281	и во	1	2
282	или как	1	2
283	которой мы	1	2
284	в теории	1	2
285	он сам	2	2
286	его и	1	2
287	себе в	1	2
288	друг друга	1	2
289	для того	3	2
290	у которого	1	2
291	видно из	3	2
292	июля года	1	2
293	и из	1	2
294	как у	2	2
295	бытия в	1	2
296	что не	3	2
297	что для	3	2
298	и психологии	1	2
299	на эту	1	2
300	если не	1	2
301	нет никаких	2	2
302	в частности	11	2
303	здесь можно	1	2
304	к его	2	2
305	и потому	2	2
306	в ноябре	1	2
307	в той	1	2
308	бы его	1	2
309	с очень	1	2
310	с бытием	1	2
311	можно было	2	2
312	в более	1	2
313	в стихотворении	1	2
314	и от	3	2
315	собственно говоря	1	2
316	у достоевского	1	2
317	к этой	1	2
318	же в	6	2
319	о своем	2	2
320	от июля	1	2
321	есть и	1	2
322	же и	2	2
323	можно назвать	1	2
324	в своих	2	2
325	во сне	21	2
326	с новыми	1	1
327	общих и	1	1
328	смысле слова	2	1
329	как известно	2	1
330	и т	23	1
331	одним из	5	1
332	например в	3	1
