1	в то же	5	9
2	то же время	5	9
3	в том что	11	6
4	но в то	1	5
5	в этом отношении	2	5
6	в связи с	4	5
7	в том числе	1	4
8	а также и	1	4
9	на самом деле	1	4
10	до сих пор	1	3
11	и прежде всего	3	3
12	и внешнее и	1	2
13	не нуждается в	1	2
14	по тому же	1	2
15	дело в том	2	2
16	с точки зрения	2	2
17	в отличие от	5	2
18	внешнее и внутреннее	1	2
19	к тому же	1	2
20	можно было бы	1	2
21	в одной из	1	2
22	в сущности не	1	2
23	не может быть	1	2
24	в другом месте	1	2
25	в данном случае	4	2
26	здесь как и	1	2
27	в большинстве случаев	1	2
28	как и во	1	2
29	и в частности	1	1
30	одним из первых	1	1
31	у него прямо	1	1
32	а потому и	1	1
33	в эту минуту	1	1
34	и того же	1	1
35	для этой цели	1	1
36	внутренней свободы от	1	1
37	но дело в	1	1
38	жизни прежде всего	1	1
39	казалось бы не	1	1
40	в дальнейшем эта	1	1
41	как раз и	1	1
42	по этому поводу	1	1
43	никак не мог	1	1
44	не подлежит сомнению	1	1
45	по ту сторону	1	1
46	в этой книге	1	1
47	одного и того	1	1
48	в себя и	1	1
49	в значительной степени	1	1
50	сознания в своем	1	1
51	не могло быть	2	1
52	никогда и нигде	1	1
53	теми или иными	1	1
54	ничего общего с	1	1
55	по отношению к	2	1
56	самой жизни на	1	1
57	произведение в целом	1	1
58	тем не менее	2	1
59	как это ни	1	1
60	в самом деле	1	1
61	еще и в	1	1
62	в свою очередь	1	1
63	так было и	1	1
64	в полной мере	1	1
65	о том что	2	1
66	в конечном счете	4	1
67	между тем как	1	1
68	ему в том	1	1
69	в это время	1	1
70	существует как бы	1	1
