N	2gram	Losev_Vlad_2	Vvedenie
1	и т	1	42
2	т д	1	36
3	и в	30	32
4	в том	18	31
5	в этом	20	30
6	может быть	7	26
7	том что	12	26
8	не только	12	22
9	для того	2	21
10	того чтобы	2	20
11	таким образом	3	19
12	также и	6	18
13	то что	20	16
14	потому что	9	15
15	так как	5	15
16	не может	9	14
17	в нем	4	13
18	в самом	2	13
19	со стороны	4	13
20	о том	4	13
21	того что	5	12
22	и не	18	12
23	только в	6	12
24	в их	2	12
25	в его	11	12
26	в общем	2	12
27	как мы	11	11
28	ясно что	1	11
29	что такое	1	11
30	в данном	3	11
31	что в	12	10
32	по себе	5	9
33	этом смысле	1	9
34	в той	2	9
35	то же	4	9
36	но в	8	9
37	и как	3	9
38	не менее	7	8
39	не в	9	8
40	а только	1	8
41	тем не	6	8
42	именно в	4	8
43	это не	2	8
44	но не	3	7
45	все же	9	7
46	прежде всего	6	7
47	точки зрения	7	7
48	как нечто	1	7
49	дело с	1	7
50	только как	1	7
51	выводу что	1	7
52	самом деле	1	7
53	было бы	9	7
54	уже и	2	7
55	к выводу	1	7
56	можно было	2	7
57	же время	3	6
58	вовсе не	4	6
59	к истории	1	6
60	сих пор	1	6
61	до сих	1	6
62	с тем	2	6
63	его в	4	6
64	а именно	6	6
65	но и	8	6
66	и даже	10	6
67	как и	5	6
68	и его	6	6
69	в качестве	1	6
70	в то	9	6
71	смысле слова	1	6
72	хотя бы	3	6
73	как он	2	6
74	тем что	1	6
75	не могут	1	6
76	все это	5	6
77	и это	3	6
78	из этих	3	6
79	этот вопрос	1	6
80	том чтобы	2	6
81	одним из	1	5
82	данном случае	2	5
83	и тем	1	5
84	как например	1	5
85	т п	1	5
86	на этот	4	5
87	в какой	1	5
88	иное как	1	5
89	а не	7	5
90	об этом	6	5
91	она есть	1	5
92	так что	5	5
93	но если	1	5
94	а как	1	5
95	в целом	4	5
96	что не	2	5
97	сказать что	11	5
98	вместе с	8	5
99	в течение	5	5
100	по своему	2	5
101	в них	3	5
102	мере в	1	5
103	есть и	2	5
104	имеет дело	1	5
105	в которых	1	5
106	быть в	3	5
107	в г	1	5
108	уже в	3	5
109	так например	1	5
110	как бы	5	5
111	не есть	4	5
112	в себе	6	4
113	еще не	1	4
114	во всяком	6	4
115	и для	3	4
116	еще и	6	4
117	и ее	1	4
118	крайней мере	4	4
119	по крайней	4	4
120	как раз	1	4
121	независимо от	1	4
122	в виде	3	4
123	как это	7	4
124	в своей	5	4
125	само по	2	4
126	а в	11	4
127	с этой	4	4
128	в чисто	2	4
129	что он	13	4
130	здесь нет	1	4
131	как уже	1	4
132	что иное	1	4
133	этом случае	1	4
134	на вопрос	1	4
135	только с	1	4
136	не имеет	2	4
137	всяком случае	6	4
138	даже и	3	4
139	о чем	6	4
140	времени и	1	4
141	не просто	1	4
142	уже не	3	4
143	мы имеем	1	4
144	в котором	5	4
145	этом отношении	1	4
146	не что	1	4
147	и что	5	4
148	той же	4	4
149	и то	5	4
150	должен был	3	4
151	или иначе	3	4
152	так или	3	4
153	как о	1	4
154	все эти	5	3
155	но с	1	3
156	в в	1	3
157	и вот	3	3
158	в свое	1	3
159	в собственном	1	3
160	говорить о	1	3
161	можно сказать	4	3
162	знания и	1	3
163	на том	1	3
164	так же	4	3
165	при этом	5	3
166	связи с	8	3
167	гораздо более	2	3
168	к нему	2	3
169	свое время	1	3
170	и вообще	10	3
171	раньше чем	1	3
172	если бы	1	3
173	в конце	13	3
174	дело не	1	3
175	нисколько не	2	3
176	что это	4	3
177	и есть	2	3
178	ответа на	1	3
179	в одном	1	3
180	совсем не	4	3
181	но все	2	3
182	в начале	4	3
183	что же	8	3
184	в области	3	3
185	уже после	1	3
186	отношение к	4	3
187	до нас	1	3
188	здесь все	1	3
189	собственном смысле	1	3
190	что даже	1	3
191	отчет в	2	3
192	к тому	2	3
193	мы видели	2	3
194	хотя и	6	3
195	и других	1	3
196	во второй	2	3
197	и к	6	3
198	есть еще	1	3
199	тогда когда	2	3
200	за собой	1	3
201	в чем	2	3
202	своего рода	1	3
203	дело в	3	3
204	в сущности	2	3
205	да и	3	3
206	в очень	3	3
207	такого рода	2	3
208	на историю	1	3
209	на основании	1	3
210	чтобы понять	1	3
211	в этой	4	3
212	бы и	1	3
213	не вполне	2	3
214	в этих	4	3
215	что и	3	3
216	и на	4	3
217	до конца	7	3
