N	2gram	Propp_Isto_1	Retstnzi
1	не может	15	4
2	и в	28	3
3	один из	4	2
4	больше ничего	1	1
5	в особенности	2	1
6	лучше всего	2	1
7	и не	9	1
8	тому что	1	1
9	не только	12	1
10	ни один	6	1
11	художественного произведения	1	1
12	связи с	4	1
13	себя от	1	1
14	на примере	1	1
15	сил которые	1	1
16	так называемая	3	1
17	но и	10	1
18	и должно	3	1
19	не менее	6	1
20	в системе	1	1
21	тех же	1	1
22	не из	1	1
23	именно с	1	1
24	в ней	7	1
25	с теми	1	1
26	в то	3	1
27	если один	1	1
28	истории но	1	1
29	и на	4	1
30	для него	2	1
31	и социальной	1	1
32	мы видим	11	1
33	может не	1	1
34	и больше	1	1
35	в языке	1	1
36	на нее	2	1
37	из крупнейших	1	1
38	к тому	6	1
39	а не	15	1
40	его от	1	1
41	может быть	25	1
42	несмотря на	1	1
43	в его	5	1
44	он в	2	1
45	то же	12	1
46	и все	1	1
47	из этих	1	1
48	можно назвать	2	1
49	если бы	8	1
50	бы в	2	1
